ticker,name,source,reason
MOON.V,Blue Moon Metals,watchlist:commodities,non AU/US listing
5713.T,Sumitomo Metal Mining Co Ltd,watchlist:commodities,non AU/US listing
FDY.TO,Faraday Copper,watchlist:commodities,non AU/US listing
GLEN.L,Glencore,watchlist:commodities,non AU/US listing
KRY.V,Koryx Copper,watchlist:commodities,non AU/US listing
2362.HK,JInchuan Group Interntional,watchlist:commodities,non AU/US listing
GLAD.V,Gladiator Metals,watchlist:commodities,non AU/US listing
NDA.DE,Aurubis AG,watchlist:commodities,non AU/US listing
OM.TO,Osisko Metals,watchlist:commodities,non AU/US listing
3939.HK,Wanguo Gold Group,watchlist:commodities,non AU/US listing
ALS.TO,Altius Minerals,watchlist:commodities,non AU/US listing
ANTO.L,Antofagasta,watchlist:commodities,non AU/US listing
BOL.ST,Boliden,watchlist:commodities,non AU/US listing
LUN.TO,Lundin Mining,watchlist:commodities,non AU/US listing
2899.HK,Zijin Mining Group H,watchlist:commodities,non AU/US listing
PUCOBRE.SN,Sociedad Punta Del Cobre,watchlist:commodities,non AU/US listing
1515.T,Nittetsu Mining,watchlist:commodities,non AU/US listing
SAG.V,Sterling Metals,watchlist:commodities,non AU/US listing
0358.HK,Jiangxi Copper H,watchlist:commodities,non AU/US listing
LA.V,Los Andes Copper,watchlist:commodities,non AU/US listing
SLS.TO,Solaris Resources,watchlist:commodities,non AU/US listing
NGEX.TO,NGEX Minerals,watchlist:commodities,non AU/US listing
CNL.TO,Collective Mining,watchlist:commodities,non AU/US listing
ARG.TO,Amerigo Resources,watchlist:commodities,non AU/US listing
FOM.TO,Foran Mining,watchlist:commodities,non AU/US listing
MMA.V,Midnight Sun Mining,watchlist:commodities,non AU/US listing
BIG.V,Hercules Metals,watchlist:commodities,non AU/US listing
FM.TO,First Quantum Minerals,watchlist:commodities,non AU/US listing
1208.HK,MMG Ltd.,watchlist:commodities,non AU/US listing
KGH.WA,KGHM Polska Miedz,watchlist:commodities,non AU/US listing
1258.HK,China Nonferrous Mining,watchlist:commodities,non AU/US listing
CAML.L,Central Asia Metals PLC,watchlist:commodities,non AU/US listing
MARI.TO,Marimaca Copper,watchlist:commodities,non AU/US listing
HBM.TO,Hudbay Minerals,watchlist:commodities,non AU/US listing
ATYM.L,Atalaya Mining Copper SA,watchlist:commodities,non AU/US listing
0661.HK,China Daye Non-Ferrous Metals Mining,watchlist:commodities,non AU/US listing
VISC.ST,Gruvaktiebolaget Viscaria Class B,watchlist:commodities,non AU/US listing
ERO.TO,Ero Copper,watchlist:commodities,non AU/US listing
GCU.TO,Gunnison Copper,watchlist:commodities,non AU/US listing
ATX.V,ATEX Resources,watchlist:commodities,non AU/US listing
LUCA.V,Luca Mining Ord Shs,watchlist:commodities,non AU/US listing
KDK.V,Kodiak Copper Class B,watchlist:commodities,non AU/US listing
FFM.TO,Firefly Metals,watchlist:commodities,non AU/US listing
2099.HK,China Gold International Resources,watchlist:commodities,non AU/US listing
FTZ.V,Fitzroy Minerals,watchlist:commodities,non AU/US listing
REG.V,Regulus Resources,watchlist:commodities,non AU/US listing
CS.TO,Capstone Copper,watchlist:commodities,non AU/US listing
IVN.TO,Ivanhoe Mines Class A,watchlist:commodities,non AU/US listing
AHR.V,Amarc Resources,watchlist:commodities,non AU/US listing
ALDE.V,Aldebaran Resources,watchlist:commodities,non AU/US listing
III.TO,Imperial Metals,watchlist:commodities,non AU/US listing
KCP.V,King Copper Discovery,watchlist:commodities,non AU/US listing
NDM.TO,Northern Dynasty Minerals,watchlist:commodities,non AU/US listing
AEC.V,Anfield Energy Inc.,watchlist:commodities,non AU/US listing
FUU.V,F3 Uranium Corp,watchlist:commodities,non AU/US listing
LI.V,American Lithium Ord Shs,watchlist:commodities,non AU/US listing
PUR.V,Premier American Uranium Inc.,watchlist:commodities,non AU/US listing
SYH.V,Skyharbour Resources Ltd.,watchlist:commodities,non AU/US listing
