date,value,positions,cash,hedge,income_cum,withdrawn_cum,spy,bench,all_in
2023-07-21,100020.83,0.0,100020.83,0.0,0.0,0.0,100000.0,100020.83,100020.83
2023-07-24,100041.66,0.0,100041.66,0.0,0.0,0.0,100446.73,100041.66,100041.66
2023-07-25,100062.56,0.0,100062.56,0.0,0.0,0.0,100720.95,100062.56,100062.56
2023-07-26,100083.48,0.0,100083.48,0.0,0.0,0.0,100736.44,100083.48,100083.48
2023-07-27,100104.4,0.0,100104.4,0.0,0.0,0.0,100068.56,100104.4,100104.4
2023-07-28,100125.28,0.0,100125.28,0.0,0.0,0.0,101048.26,100125.28,100125.28
2023-07-31,100146.13,0.0,100146.13,0.0,0.0,0.0,101240.66,100146.13,100146.13
2023-08-01,100167.03,0.0,100167.03,0.0,0.0,0.0,100950.95,100167.03,100167.03
2023-08-02,100187.94,0.0,100187.94,0.0,0.0,0.0,99546.64,100187.94,100187.94
2023-08-03,100208.85,0.0,100208.85,0.0,0.0,0.0,99261.36,100208.85,100208.85
2023-08-04,100229.74,0.0,100229.74,0.0,0.0,0.0,98812.42,100229.74,100229.74
2023-08-07,100250.66,0.0,100250.66,0.0,0.0,0.0,99674.91,100250.66,100250.66
2023-08-08,100271.64,0.0,100271.64,0.0,0.0,0.0,99241.45,100271.64,100271.64
2023-08-09,100292.65,0.0,100292.65,0.0,0.0,0.0,98578.0,100292.65,100292.65
2023-08-10,100313.62,0.0,100313.62,0.0,0.0,0.0,98613.39,100313.62,100313.62
2023-08-11,100334.58,0.0,100334.58,0.0,0.0,0.0,98555.89,100334.58,100334.58
2023-08-14,100355.56,0.0,100355.56,0.0,0.0,0.0,99099.91,100355.56,100355.56
2023-08-15,100376.58,0.0,100376.58,0.0,0.0,0.0,97945.51,100376.58,100376.58
2023-08-16,100397.64,0.0,100397.64,0.0,0.0,0.0,97226.77,100397.64,100397.64
2023-08-17,100418.66,0.0,100418.66,0.0,0.0,0.0,96485.92,100418.66,100418.66
2023-08-18,100439.7,0.0,100439.7,0.0,0.0,0.0,96532.36,100439.7,100439.7
2023-08-21,100460.74,0.0,100460.74,0.0,0.0,0.0,97160.42,100460.74,100460.74
2023-08-22,100481.85,0.0,100481.85,0.0,0.0,0.0,96897.25,100481.85,100481.85
2023-08-23,100502.96,0.0,100502.96,0.0,0.0,0.0,97976.47,100502.96,100502.96
2023-08-24,100524.11,0.0,100524.11,0.0,0.0,0.0,96618.61,100524.11,100524.11
2023-08-25,100545.31,0.0,100545.31,0.0,0.0,0.0,97299.75,100545.31,100545.31
2023-08-28,100566.55,0.0,100566.55,0.0,0.0,0.0,97916.76,100566.55,100566.55
2023-08-29,100587.78,0.0,100587.78,0.0,0.0,0.0,99332.13,100587.78,100587.78
2023-08-30,100609.0,0.0,100609.0,0.0,0.0,0.0,99741.26,100609.0,100609.0
2023-08-31,100630.15,0.0,100630.15,0.0,0.0,0.0,99595.3,100630.15,100630.15
2023-09-01,100651.19,0.0,100651.19,0.0,0.0,0.0,99781.06,100651.19,100651.19
