date,holdings,n_picks,income,withdrawn,hedged
2023-10-02,CASH,0,0.0,0.0,False
2024-01-02,"CONY, JEPQ, DIVO, MSFO, AMZY",5,8220.02,0.0,False
2024-04-01,"NVDY, AMZY, JEPQ, MSFO, DIVO",5,10463.74,0.0,False
2024-07-01,"YMAG, NVDY, GOOY, JEPQ, QQQI",5,9734.34,0.0,False
2024-10-01,"PYPY, DIVO, SPYI, XYLD, JEPI",5,6010.04,0.0,False
2025-01-02,"TSLY, JEPQ, QYLD, QQQI, CONY",5,9363.73,0.0,False
2025-04-01,"DIVO, XOMO",2,4529.66,0.0,False
2025-07-01,"MSFO, QQQI, JEPQ, DIVO, CONY",5,7136.39,0.0,False
2025-10-01,"GOOY, QQQI, JEPQ, DIVO, APLY",5,8301.7,0.0,False
2026-01-02,"GOOY, QYLD, JEPQ, AMDY, SPYI",5,7095.51,0.0,False
2026-04-01,"MRNY, XOMO, DIVO",3,10850.39,0.0,False
2026-07-01,"AMDY, QQQI, JEPQ, QQQY, RYLD",5,2181.65,0.0,False
