ticker,rank,name,underlying,freq,price,score,qualified,chg_3m,chg_12m,total_ret_12m,sharpe,yield_ttm,dist_slope,dist_consist,underlying_rs,n_dists
RYLD,1,Global X R2K Covered Call,RUT,monthly,15.97,83.0,True,4.24,8.79,21.48,2.19,11.7,0.52,0.97,6.46,12
AMDY,2,YieldMax AMD,AMD,weekly,49.95,80.33333333333334,True,31.31,14.43,98.46,1.85,73.63,-2.24,0.06,139.79,43
QQQI,3,NEOS Nasdaq High Income,NDX,monthly,54.27,72.33333333333333,True,0.85,2.24,16.61,0.27,14.09,0.1,0.98,3.33,12
JEPQ,4,JPM Nasdaq Premium Income,NDX,monthly,58.59,70.83333333333334,False,-0.14,6.74,18.15,0.05,10.72,2.95,0.88,3.33,12
QYLD,5,Global X Nasdaq Covered Call,NDX,monthly,17.66,70.5,False,-0.17,6.0,18.67,0.03,11.99,0.59,0.97,3.33,12
XYLD,6,Global X S&P Covered Call,SPX,monthly,40.77,69.5,True,2.23,5.43,16.64,1.35,10.66,1.29,0.9,-0.78,12
SPYI,7,NEOS S&P High Income,SPX,monthly,53.01,68.83333333333333,True,0.99,3.64,15.94,0.42,11.9,0.18,0.99,-0.78,12
APLY,8,YieldMax AAPL,AAPL,weekly,12.48,68.83333333333333,True,2.89,-4.73,28.16,0.59,34.62,-3.07,0.19,24.86,43
SVOL,9,Simplify Volatility Premium,VIX-short,monthly,16.06,67.33333333333333,True,0.82,-7.17,13.18,0.33,21.98,-0.76,0.97,0.0,12
QQQY,10,Defiance Nasdaq Income,QQQ,weekly,22.4,62.33333333333333,False,-0.71,-14.31,16.84,-0.02,36.45,-1.0,0.75,3.7,52
RDTE,11,Roundhill R2K 0DTE,IWM,weekly,28.61,60.66666666666667,False,-2.08,-15.91,21.36,-0.45,44.45,-0.86,0.46,7.36,52
DIVO,12,Amplify CWP Enhanced Div,diversified,monthly,46.23,58.166666666666664,False,-0.09,8.09,15.03,0.01,6.44,-0.9,0.14,0.0,12
QDTE,13,Roundhill Nasdaq 0DTE,QQQ,weekly,29.22,56.666666666666664,False,-1.22,-17.87,19.9,-0.11,46.11,-0.77,0.0,3.7,52
SPYT,14,Defiance S&P Target Income,SPY,monthly,17.18,56.49999999999999,False,-0.64,-5.19,14.91,-0.14,21.26,-1.29,0.94,0.0,12
XOMO,15,YieldMax XOM,XOM,weekly,11.09,53.583333333333336,False,-6.96,-7.66,25.3,-1.06,35.8,-1.36,0.45,9.26,43
GOOY,16,YieldMax GOOGL,GOOGL,weekly,12.94,52.916666666666664,False,-8.23,3.27,58.02,-1.06,53.16,-3.38,0.12,32.88,43
IWMY,17,Defiance R2K Income,IWM,weekly,19.04,52.83333333333333,False,-3.01,-20.03,14.04,-0.68,42.72,-2.08,0.61,7.36,52
MRNY,18,YieldMax MRNA,MRNA,weekly,15.98,52.25,False,-14.22,-32.0,28.23,-0.81,88.82,-1.6,0.42,38.38,43
JEPI,19,JPM Equity Premium Income,SPX,monthly,56.39,50.66666666666666,False,-2.37,-0.81,7.23,-1.2,8.13,1.24,0.91,-0.78,12
YMAG,20,YieldMax Mag7 FoF,mag7,weekly,11.63,48.5,False,-9.98,-24.77,13.66,-2.2,51.23,-0.92,0.65,3.7,52
XDTE,21,Roundhill S&P 0DTE,SPY,weekly,38.44,47.5,False,-1.06,-13.05,15.57,-0.3,33.01,-1.09,0.0,0.0,52
YMAX,22,YieldMax Universe FoF,diversified,weekly,7.52,40.833333333333336,False,-12.35,-46.02,-6.2,-1.71,73.97,-1.6,0.67,0.0,52
PYPY,23,YieldMax PYPL,PYPL,weekly,30.81,35.16666666666667,False,-2.57,-51.71,-24.33,-0.08,56.86,-4.56,0.11,-18.46,43
ULTY,24,YieldMax Ultra,diversified,weekly,27.25,33.833333333333336,False,-15.53,-56.95,-7.69,-2.64,114.74,-2.44,0.61,0.0,52
NVDY,25,YieldMax NVDA,NVDA,weekly,12.41,30.0,False,-11.61,-26.26,17.94,-1.39,60.12,-3.82,0.04,-2.41,43
AMZY,26,YieldMax AMZN,AMZN,weekly,10.9,27.833333333333332,False,-11.45,-33.46,2.44,-2.04,54.09,-3.71,0.1,-7.3,43
MSFO,27,YieldMax MSFT,MSFT,weekly,10.89,25.16666666666667,False,-14.05,-40.33,-14.75,-1.95,42.98,-2.93,0.27,-24.19,43
TSLY,28,YieldMax TSLA,TSLA,weekly,25.07,22.916666666666668,False,-17.42,-37.56,20.57,-1.71,93.36,-5.0,0.0,-8.82,43
AIYY,29,YieldMax AI,AI,weekly,7.68,16.16666666666667,False,-25.22,-83.27,-56.58,-2.29,159.96,-6.12,0.0,-51.06,43
CONY,30,YieldMax COIN,COIN,weekly,19.72,14.000000000000002,False,-33.87,-80.69,-43.66,-2.89,192.21,-7.19,0.0,-54.86,43
