rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
106,0,LEU,CENTRUS ENERGY CORP CLASS A,Energy,,mid,186.76,90.91,-0.1473,-0.1262,-0.5615,FLAT,-36.58,152.31,352.31,-57.52,50.4,98.51,1.5884,HIGH,EARLY,203.6105,244.0602,249.4558,0,77.9254,LAGGARD,39.3498
136,0,INSM,Insmed Incorporated,Health Care,Biotechnology,large,136.0,77.04,-0.0331,-0.106,-0.1173,STRONG_UP,-6.05,70.17,416.32,-35.67,55.6,49.89,1.6194,HIGH,EARLY,145.456,152.6754,147.7676,0,78.2013,LAGGARD,36.6143
154,0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,large,105.92,93.33,-0.0316,-0.1127,-0.1975,STRONG_UP,11.19,58.68,-16.74,-27.42,53.2,37.54,1.5027,HIGH,EARLY,117.067,123.6246,110.7546,0,83.161,LAGGARD,34.3569
159,0,UEC,URANIUM ENERGY CORP,Energy,,mid,12.09,82.95,-0.1292,-0.2989,-0.3612,STRONG_UP,-2.11,118.63,74.71,-39.97,50.4,78.42,2.6068,HIGH,EARLY,14.3225,15.8746,12.2358,0,76.2399,LAGGARD,33.9641
163,0,NG,NOVAGOLD RESOURCES INC,Materials,,mid,7.75,92.75,-0.1774,-0.1284,-0.1939,FLAT,2.92,128.61,187.04,-45.42,52.0,95.9,1.5596,HIGH,EARLY,11.301,10.6286,8.157,0,69.7383,LAGGARD,33.5094
231,0,RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,,mid,87.45,76.65,-0.0074,-0.0543,-0.1512,STRONG_UP,-8.96,68.04,115.18,-27.0,51.6,47.49,3.9861,HIGH,EARLY,92.09,99.0104,96.1786,0,73.9326,LAGGARD,28.8285
251,0,USAR,USA RARE EARTH INC CLASS A,Materials,,mid,16.24,66.67,-0.1077,0.0948,0.2088,STRONG_DOWN,-0.06,46.31,55.26,-69.23,45.6,116.37,1.5681,HIGH,EARLY,19.256,20.1501,17.1382,0,18.1453,LAGGARD,27.91
254,0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,large,65.47,94.68,-0.0298,-0.0359,0.1029,FLAT,0.91,51.84,140.95,-19.81,56.8,40.13,1.8727,HIGH,EARLY,69.1764,72.0908,65.5565,0,73.3676,LAGGARD,27.7931
303,0,TMDX,TRANSMEDICS GROUP INC,Health Care,,mid,113.9,74.71,-0.0602,-0.0823,0.0069,FLAT,-6.86,64.95,53.96,-27.57,50.0,50.16,2.12,HIGH,EARLY,131.304,134.3295,125.909,0,64.7457,LAGGARD,25.8216
311,0,FSS,FEDERAL SIGNAL CORP,Industrials,,mid,105.57,62.81,0.0131,0.0078,-0.0338,STRONG_UP,-15.51,40.83,29.64,-18.59,50.8,28.1,1.5184,HIGH,EARLY,111.4736,113.4804,114.5903,0,73.8075,LAGGARD,25.5926
312,0,SPXC,SPX TECHNOLOGIES INC,Industrials,,large,186.77,61.16,-0.0563,-0.1126,-0.0966,FLAT,-0.68,39.1,53.95,-23.15,54.0,34.94,1.6326,HIGH,EARLY,214.062,217.8488,197.383,0,60.4298,LAGGARD,25.5921
315,0,DDOG,Datadog,Information Technology,Application Software,large,125.08,49.47,0.0028,0.1234,-0.0235,FLAT,-9.9,19.09,1.81,-48.62,45.2,63.46,1.8524,HIGH,SHIFT,120.3822,122.7741,139.3487,0,13.5969,WEAK,25.5037
325,0,CEG,Constellation Energy,Utilities,Electric Utilities,large,281.99,82.69,-0.0275,-0.0134,-0.2766,FLAT,-14.57,27.39,63.88,-38.77,50.8,53.62,1.6966,HIGH,EARLY,314.0236,300.9055,328.7609,0,25.9504,LAGGARD,25.2664
335,0,FTDR,FRONTDOOR INC,Consumer Discretionary,,mid,57.14,84.25,-0.0899,0.1352,0.0966,FLAT,-14.56,50.01,80.48,-29.23,53.2,46.3,3.7072,HIGH,EARLY,63.23,60.3546,59.7406,0,57.4665,LAGGARD,24.9473
352,0,SPY,SPDR S&P500 ETF,index,index,large,648.57,50.0,-0.0279,-0.0567,-0.0358,FLAT,-1.72,16.32,27.22,-13.72,55.6,12.01,1.6545,HIGH,EARLY,673.9211,682.0635,656.5213,0,75.5394,LAGGARD,24.4389
359,0,LIF,LIFE360 INC,Information Technology,,mid,39.83,41.05,-0.015,-0.1719,-0.2965,STRONG_UP,-61.3,4.49,47.52,-64.59,54.0,81.89,10.1055,HIGH,EARLY,45.313,52.3818,73.5546,0,2.9581,WEAK,24.0323
361,0,GPGI,GPGI INC CLASS A,Information Technology,,mid,17.06,64.21,0.0283,-0.2129,-0.0525,FLAT,-13.7,50.99,214.57,-36.49,52.8,60.69,8.984,HIGH,EARLY,20.292,22.4633,19.1825,0,44.3626,LAGGARD,24.0193
387,0,SIG,SIGNET JEWELERS LTD,Consumer Discretionary,,mid,89.05,87.67,0.0832,0.0297,0.1625,FLAT,-7.11,54.8,1.31,-25.69,50.8,51.74,1.6289,HIGH,EARLY,90.968,91.7268,89.6361,0,53.8067,LAGGARD,23.0438
389,0,ARM,Arm Holdings,Technology,Semiconductors,large,132.35,62.5,0.1287,0.0946,0.3793,FLAT,-7.39,11.15,-0.94,-41.47,50.8,45.23,2.094,HIGH,SHIFT,123.713,118.4924,138.1317,0,12.5266,LAGGARD,22.9855
