rank,delta_rank,ticker,name,commodity,type,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
43,1,1258.HK,China Nonferrous Mining,copper,producer,large,11.41,1.1726,0.9553,0.9736,0.8029,FLAT,-7.61,103.35,87.81,-42.02,55.92,71.98,1.6246,HIGH,EARLY,13.001,14.462,12.1578,0,80.2921,WEAK,38.3229
60,1,BRMS.JK,"ticker
BRMS.JK    Bumi Resources Minerals
BRMS.JK    Bumi Resources Minerals
Name: name, dtype: str",copper,producer,large,680.0,1.2028,0.8309,0.8053,0.6738,STRONG_UP,33.33,108.59,347.37,-48.47,44.78,98.03,2.9102,HIGH,EARLY,902.0,1051.5,783.04,0,49.6033,WEAK,35.4099
123,2,RMS.AX,Ramelius Resources,gold,producer,large,3.43,0.8723,0.8959,0.9407,0.8949,FLAT,-7.36,62.97,108.44,-33.84,51.19,57.45,2.2739,HIGH,EARLY,4.1473,4.4169,3.5536,0,56.109,WEAK,28.0737
126,3,GMD.AX,Genesis Minerals,gold,producer,large,5.72,0.8481,0.9782,1.0532,0.8474,FLAT,1.06,58.45,217.78,-36.46,53.57,64.71,3.251,HIGH,EARLY,6.6625,7.0688,5.8649,0,48.3866,WEAK,27.5339
179,5,MARI.TO,Marimaca Copper,copper,producer,mid,8.15,0.8438,0.9682,1.0352,0.7195,FLAT,-12.18,46.32,130.88,-35.64,47.6,47.39,2.0958,HIGH,EARLY,9.368,10.596,10.2482,0,46.5248,WEAK,22.7241
189,5,AMMN.JK,"ticker
AMMN.JK    Amman Mineral Internasional
AMMN.JK    Amman Mineral Internasional
Name: name, dtype: str",copper,producer,large,4630.0,0.521,0.8641,0.7844,0.7137,STRONG_UP,-43.36,-9.66,-47.24,-48.75,48.7,79.64,4.1929,HIGH,EARLY,6494.5,7127.3,7414.95,0,-5.9062,WEAK,21.7438
190,0,NST.AX,Northern Star Resources,gold,producer,large,17.57,0.5371,0.885,0.7891,0.712,STRONG_UP,-23.35,0.35,35.3,-45.32,55.56,68.76,1.5972,HIGH,EARLY,24.9363,26.6033,22.9382,0,0.2823,WEAK,21.7156
231,5,OBM.AX,ORA Banda Mining,gold,explorer,mid,1.05,0.5483,0.7436,1.1364,0.734,FLAT,-4.98,2.44,296.23,-50.0,50.4,91.37,2.2166,HIGH,EARLY,1.3062,1.3489,1.1308,0,1.3454,WEAK,17.3611
250,5,IVN.TO,Ivanhoe Mines Class A,copper,producer,large,11.2,0.4277,1.0067,0.9481,0.7039,STRONG_UP,-14.5,-25.83,-29.11,-42.05,50.0,58.94,1.535,HIGH,EARLY,13.171,15.3858,13.5066,0,-21.9103,WEAK,15.2181
251,5,BGL.AX,Bellevue Gold,gold,producer,mid,1.265,0.6073,0.8317,0.9422,0.8084,FLAT,17.67,13.45,-31.06,-36.93,48.41,60.23,2.0186,HIGH,EARLY,1.6315,1.7195,1.2777,0,10.8128,WEAK,15.1574
261,6,1211.HK,BYD CO LTD-H,lithium,producer,large,107.0,0.4762,1.0279,1.1508,1.0555,FLAT,-5.14,-16.61,56.15,-41.32,47.35,40.56,1.748,HIGH,SHIFT,99.09,97.851,107.2934,0,-19.3923,WEAK,14.3623
