rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
44,0,1258.HK,China Nonferrous Mining,copper,producer,large,11.41,72.5,-0.0094,-0.0077,-0.1265,FLAT,-7.61,103.35,87.81,-42.02,55.92,71.98,1.6246,HIGH,EARLY,13.001,14.462,12.1578,0,80.2921,LAGGARD,38.8179
57,0,BRMS.JK,"ticker
BRMS.JK    Bumi Resources Minerals
BRMS.JK    Bumi Resources Minerals
Name: name, dtype: str",copper,producer,large,680.0,73.75,-0.1305,-0.1392,-0.2595,STRONG_UP,33.33,108.59,347.37,-48.47,44.78,98.03,2.9102,HIGH,EARLY,902.0,1051.5,783.04,0,49.6033,LAGGARD,35.9324
118,0,RMS.AX,Ramelius Resources,gold,producer,large,3.43,31.43,-0.0886,-0.0384,-0.1009,FLAT,-7.36,62.97,108.44,-33.84,51.19,57.45,2.2739,HIGH,EARLY,4.1473,4.4169,3.5536,0,56.109,WEAK,28.2152
124,0,RRL.AX,Regis Resources,gold,producer,mid,5.95,35.24,-0.0936,-0.0731,-0.1436,FLAT,2.53,66.28,228.11,-39.58,55.56,59.49,2.2329,HIGH,EARLY,7.8864,7.9645,6.198,0,61.9031,WEAK,27.8082
126,0,GMD.AX,Genesis Minerals,gold,producer,large,5.72,29.52,-0.0105,0.0475,-0.1449,FLAT,1.06,58.45,217.78,-36.46,53.57,64.71,3.251,HIGH,EARLY,6.6625,7.0688,5.8649,0,48.3866,WEAK,27.6333
177,0,MARI.TO,Marimaca Copper,copper,producer,mid,8.15,37.5,0.004,0.0429,-0.2124,FLAT,-12.18,46.32,130.88,-35.64,47.6,47.39,2.0958,HIGH,EARLY,9.368,10.596,10.2482,0,46.5248,WEAK,22.9991
189,0,AMMN.JK,"ticker
AMMN.JK    Amman Mineral Internasional
AMMN.JK    Amman Mineral Internasional
Name: name, dtype: str",copper,producer,large,4630.0,5.0,-0.0982,-0.1556,-0.2184,STRONG_UP,-43.36,-9.66,-47.24,-48.75,48.7,79.64,4.1929,HIGH,EARLY,6494.5,7127.3,7414.95,0,-5.9062,WEAK,21.3038
190,0,NST.AX,Northern Star Resources,gold,producer,large,17.57,1.9,-0.0989,-0.1527,-0.2703,STRONG_UP,-23.35,0.35,35.3,-45.32,55.56,68.76,1.5972,HIGH,EARLY,24.9363,26.6033,22.9382,0,0.2823,WEAK,21.2074
194,0,PNR.AX,Pantoro Gold,gold,producer,mid,3.11,6.67,-0.1381,-0.172,-0.3088,STRONG_UP,-46.66,14.34,185.85,-52.82,51.98,81.96,1.6724,HIGH,EARLY,4.435,4.8376,4.7015,0,9.0935,WEAK,20.7628
236,0,OBM.AX,ORA Banda Mining,gold,explorer,mid,1.05,2.86,-0.2329,0.1102,-0.2499,FLAT,-4.98,2.44,296.23,-50.0,50.4,91.37,2.2166,HIGH,EARLY,1.3062,1.3489,1.1308,0,1.3454,WEAK,16.874
258,0,BGL.AX,Bellevue Gold,gold,producer,mid,1.265,5.71,-0.1494,-0.0373,-0.181,FLAT,17.67,13.45,-31.06,-36.93,48.41,60.23,2.0186,HIGH,EARLY,1.6315,1.7195,1.2777,0,10.8128,WEAK,14.733
259,0,IVN.TO,Ivanhoe Mines Class A,copper,producer,large,11.2,2.5,0.0415,-0.0276,-0.2284,STRONG_UP,-14.5,-25.83,-29.11,-42.05,50.0,58.94,1.535,HIGH,EARLY,13.171,15.3858,13.5066,0,-21.9103,WEAK,14.7231
267,0,1211.HK,BYD CO LTD-H,lithium,producer,large,107.0,7.5,0.0578,0.1472,0.1071,FLAT,-5.14,-16.61,56.15,-41.32,47.35,40.56,1.748,HIGH,SHIFT,99.09,97.851,107.2934,0,-19.3923,WEAK,13.9773
