rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
163,8,EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,,mid,25.14,1.699,0.9497,1.0057,0.9748,FLAT,-11.91,96.1,13.45,-19.77,52.4,47.38,1.7566,HIGH,EARLY,27.309,27.278,25.9669,0,106.2818,WEAK,32.0053
248,63,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,,mid,12.41,1.4018,0.939,0.8358,0.8068,STRONG_UP,-6.13,61.8,286.6,-39.35,50.0,62.59,2.4174,HIGH,EARLY,14.1945,15.8826,14.5545,0,49.3683,WEAK,26.8684
344,64,RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,,mid,75.82,1.1987,0.9258,0.8822,0.7483,STRONG_UP,-23.54,38.36,74.98,-35.54,50.8,50.55,1.7649,HIGH,EARLY,88.3215,96.7118,96.5626,0,38.5474,WEAK,23.1362
366,16,WVE,WAVE LIFE SCIENCES LTD,Health Care,,mid,6.365,0.6397,0.5662,0.493,0.3889,STRONG_UP,-6.4,-26.16,3.16,-70.91,50.8,110.83,3.2155,HIGH,EARLY,12.1787,12.9597,10.1901,0,-11.9907,WEAK,22.306
457,113,ZS,Zscaler,Technology,EDP Services,large,133.16,0.557,0.9067,0.9774,0.6272,FLAT,-54.81,-35.71,-30.87,-60.4,51.2,56.75,1.6113,HIGH,EARLY,152.0875,171.1898,254.2499,0,-32.2221,WEAK,19.8932
464,133,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,24.19,1.0596,0.9824,0.8272,0.8594,FLAT,-20.63,22.3,48.73,-29.3,51.6,51.03,1.685,HIGH,EARLY,25.713,28.8528,28.7216,0,22.5532,WEAK,19.6194
494,119,RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary,,mid,53.89,1.1433,0.959,0.9646,0.9512,FLAT,-10.58,31.97,-2.95,-17.7,54.0,33.68,1.9111,HIGH,EARLY,58.2178,60.4032,57.6421,0,51.2529,WEAK,18.9513
533,94,WGS,GENEDX HOLDINGS CORP CLASS A,Health Care,,mid,57.09,0.5365,0.8179,0.7727,0.4633,STRONG_UP,-51.29,-38.08,525.3,-65.92,48.4,74.14,1.5624,HIGH,EARLY,75.7585,85.918,110.9591,0,-24.8595,WEAK,17.7494
534,123,CRWD,CrowdStrike,Information Technology,Systems Software,large,369.58,0.8966,0.9242,1.0719,0.8339,FLAT,-23.23,3.49,15.28,-37.18,52.0,51.19,1.5801,HIGH,EARLY,415.9655,418.1608,465.6901,0,3.5472,WEAK,17.7269
632,-9,BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,,mid,32.08,1.0309,1.0727,1.0047,0.9441,STRONG_UP,-2.55,18.98,34.84,-21.01,54.0,38.58,2.998,HIGH,EARLY,32.2075,34.2562,33.6196,0,26.5714,WEAK,15.6565
656,45,ADMA,ADMA BIOLOGICS INC,Health Care,,mid,9.25,0.3956,0.7035,0.641,0.5209,STRONG_UP,-40.74,-54.34,40.15,-66.18,48.0,71.52,4.9091,HIGH,EARLY,14.3165,15.6298,16.8386,0,-36.4722,WEAK,15.2044
678,83,ZETA,ZETA GLOBAL HOLDINGS CORP CLASS A,Information Technology,,mid,14.55,0.9161,0.8516,0.9261,0.7631,FLAT,-29.09,5.74,33.12,-40.37,53.6,72.86,1.7201,HIGH,EARLY,17.58,17.8394,18.1357,0,4.2236,WEAK,14.8662
687,177,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,large,105.02,0.7934,1.0741,0.9588,0.9139,STRONG_UP,-22.42,-8.42,-27.8,-34.84,47.2,40.47,1.7251,HIGH,EARLY,107.2127,123.1068,126.8769,0,-9.8183,WEAK,14.7517
706,114,VCYT,VERACYTE INC,Health Care,,mid,30.01,0.8632,0.9248,0.8849,0.7668,STRONG_UP,-10.26,-0.37,35.42,-39.23,46.4,46.04,1.6614,HIGH,EARLY,33.197,36.0802,34.8012,0,-0.3681,WEAK,14.4737
712,-7,BRZE,BRAZE INC CLASS A,Information Technology,,mid,23.0,0.5312,1.2565,1.3067,0.7054,FLAT,-27.17,-38.68,-48.08,-57.9,47.2,79.56,1.7927,HIGH,SHIFT,19.65,19.9529,26.6748,0,-22.9492,WEAK,14.4072
743,71,META,Meta Platforms,Communication Services,Interactive Media & Services,large,525.72,0.7922,0.8995,0.8758,0.8613,STRONG_UP,-29.2,-8.56,9.0,-33.3,48.8,38.76,1.925,HIGH,EARLY,620.7869,643.1117,686.485,0,-10.7797,WEAK,13.8796
820,59,BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,,mid,37.76,0.9437,1.0043,0.8167,0.893,FLAT,-6.11,8.92,13.72,-25.28,54.4,29.73,2.0392,HIGH,EARLY,43.9925,46.1666,43.0441,0,16.3224,WEAK,12.571
857,171,FUL,HB FULLER,Materials,,mid,59.17,0.951,1.1754,0.9714,1.0602,FLAT,2.54,9.77,-23.69,-26.97,46.8,38.82,1.6602,HIGH,PROGRESS,56.874,60.8821,59.4768,0,11.7819,WEAK,12.0499
905,-20,NNI,NELNET INC CLASS A,Financials,,mid,126.55,0.9918,1.0158,1.0547,1.0149,FLAT,0.84,14.47,36.41,-10.11,51.2,22.59,1.5064,HIGH,EARLY,129.9245,130.5569,127.6866,0,32.8056,WEAK,11.1804
1023,98,HAE,HAEMONETICS CORP,Health Care,,mid,54.04,0.7409,0.9554,0.9208,0.7308,STRONG_UP,12.19,-14.48,-36.68,-39.02,50.8,32.06,1.6485,HIGH,EARLY,60.3505,62.602,65.2892,0,-22.9442,WEAK,9.424
1136,84,QLYS,QUALYS INC,Information Technology,,mid,85.63,0.5833,0.9092,0.9991,0.6723,FLAT,-37.34,-32.67,-48.68,-44.32,48.8,48.59,1.6819,HIGH,EARLY,95.464,107.8334,129.4308,0,-32.8114,WEAK,7.8001
1185,48,MGRC,MCGRATH RENT,Industrials,,mid,110.0,0.8541,1.046,1.0697,1.1101,STRONG_DOWN,-6.37,-1.42,-7.76,-24.87,47.6,27.15,1.8407,HIGH,PROGRESS,107.1945,111.7321,112.9027,0,-2.4895,WEAK,7.0768
1315,104,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,mid,21.99,0.504,1.0823,0.8803,0.8609,STRONG_UP,-29.56,-41.83,-46.24,-45.63,43.2,35.77,1.6652,HIGH,EARLY,22.82,25.639,29.1342,0,-50.5189,WEAK,5.3349
1445,21,MZTI,MARZETTI,Consumer Staples,,mid,137.13,0.6956,0.9911,0.9058,0.9032,STRONG_UP,-19.41,-19.72,-31.05,-27.25,48.8,27.34,1.5369,HIGH,EARLY,150.856,157.9654,167.1338,0,-35.1934,WEAK,2.8
