rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
5,0,VTM.AX,Victory Metals Limited,Gold,small,1.55,94.12,0.018,0.2497,0.3724,STRONG_DOWN,22.53,302.6,507.84,-46.36,45.93,80.03,2.8825,HIGH,-,1.4037,1.3153,1.2403,1,173.6636,LEADER,52.3125
9,0,AQI.AX,Alicanto Minerals Limited,Gold,small,1.725,94.77,0.047,-0.0414,-0.0177,FLAT,205.85,349.22,460.06,-47.03,35.71,108.56,1.6838,HIGH,-,1.6158,1.8825,0.9529,1,114.8729,LEADER,40.733
12,0,EVN.AX,Evolution Mining Limited,Gold,large,13.65,69.93,0.014,-0.0135,0.1477,FLAT,23.82,96.97,278.19,-34.17,54.76,62.12,1.5415,HIGH,-,13.2595,14.4077,11.0354,1,85.484,CONTENDER,36.9588
40,0,CMM.AX,Capricorn Metals Ltd,Gold,mid,11.7,45.75,0.0421,-0.0631,-0.1315,STRONG_UP,-13.22,47.79,120.85,-41.12,55.95,63.36,1.3165,MED,PROGRESS,11.4984,13.1198,12.3522,0,42.2016,WEAK,22.942
41,0,NST.AX,Northern Star Resources Limited,Gold,large,22.1,37.25,0.1122,-0.1245,-0.0331,FLAT,-10.26,25.17,57.23,-45.32,55.95,73.25,1.3413,MED,PROGRESS,21.7695,25.7377,22.9102,0,19.2286,WEAK,22.8789
45,0,PNR.AX,Pantoro Gold Limited,Gold,mid,3.66,41.18,0.0638,-0.1998,-0.2358,STRONG_UP,-40.58,34.56,207.56,-52.82,52.38,85.23,1.0521,MED,EARLY,3.712,4.5916,4.696,0,21.2389,WEAK,22.0794
75,0,SMI.AX,Santana Minerals Limited,Gold,mid,0.715,38.56,-0.0452,-0.0167,-0.1417,FLAT,-10.06,26.55,62.5,-43.16,47.22,60.69,0.8918,LOW,EARLY,0.7843,0.913,0.7913,0,20.6563,WEAK,16.136
82,0,CYL.AX,Catalyst Metals Limited,Gold,mid,6.72,31.37,0.0541,-0.0343,-0.0346,STRONG_UP,-19.62,17.48,820.55,-41.6,48.81,77.46,0.881,LOW,PROGRESS,6.438,7.5356,7.0326,0,11.0163,WEAK,14.7318
93,0,BC8.AX,Black Cat Syndicate Limited,Gold,mid,1.06,25.49,0.0499,-0.1515,-0.1105,FLAT,-25.35,8.16,341.67,-41.51,49.6,69.45,0.8696,LOW,EARLY,1.1275,1.3143,1.1271,0,5.8301,WEAK,12.7417
123,0,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.995,24.84,-0.0667,0.1386,0.2295,STRONG_DOWN,-2.93,5.75,0.13,-26.41,20.24,25.25,0.0,LOW,PROGRESS,0.995,1.0166,1.0197,0,4.606,WEAK,9.6366
