rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
38,4,DRO.AX,DroneShield Limited,Electronic technology,Aerospace & defense,mid,3.45,96.88,-0.1489,-0.0701,0.0216,STRONG_DOWN,-43.07,308.28,328.57,-74.02,50.4,108.7,3.1921,HIGH,EARLY,4.011,3.6614,3.5324,0,142.9394,LAGGARD,58.8155
96,25,CSC.AX,Capstone Copper Corp. Shs Chess Depository Interests Repr 1 Sh,Non-energy minerals,Other metals/Minerals,mid,12.45,67.52,0.1508,0.1298,-0.0959,STRONG_UP,-8.79,101.78,25.5,-45.27,54.8,70.31,1.9489,HIGH,PROGRESS,10.9855,13.4774,12.4745,0,79.3301,LAGGARD,36.0278
120,12,APE.AX,Eagers Automotive Limited,Retail trade,Specialty stores,mid,24.0,97.06,0.0403,0.1804,0.1286,FLAT,-29.1,62.93,94.01,-40.79,53.2,44.19,1.6897,HIGH,SHIFT,21.8995,23.4257,24.8107,0,75.7586,LAGGARD,33.125
121,53,ZIP.AX,Zip Co Ltd.,Finance,Finance/Rental/Leasing,mid,1.995,89.54,0.2739,0.1884,-0.3011,STRONG_UP,-57.19,64.88,52.87,-69.96,48.4,113.22,2.1455,HIGH,PROGRESS,1.6062,1.9969,3.1822,0,27.7336,LAGGARD,33.0759
219,111,HUB.AX,HUB24 Limited,Technology services,Packaged software,mid,91.0,81.63,0.0824,0.0717,0.165,FLAT,-11.29,59.72,117.11,-35.43,56.4,63.82,1.6069,HIGH,SHIFT,82.6161,87.9721,98.5703,0,52.7803,LAGGARD,25.9826
252,28,VNT.AX,Ventia Services Group Limited,Industrial services,Engineering & construction,mid,5.29,46.51,-0.0235,-0.0478,-0.0658,STRONG_UP,2.79,38.88,53.32,-19.0,58.0,31.5,1.9067,HIGH,EARLY,5.4415,5.5055,5.3843,0,71.5949,WEAK,24.4032
332,141,QAN.AX,Qantas Airways Limited,Transportation,Airlines,large,9.29,76.47,0.0789,0.1371,-0.03,FLAT,-12.82,21.43,72.29,-29.51,52.4,39.82,2.6574,HIGH,PROGRESS,8.556,9.3283,10.0559,0,28.198,LAGGARD,21.541
439,256,GMG.AX,Goodman Group,Finance,Real estate investment trusts,large,28.1,42.48,0.087,0.0434,0.0084,STRONG_UP,-16.49,8.78,-10.1,-30.44,50.0,34.53,1.6811,HIGH,PROGRESS,25.98,28.2616,31.4766,0,12.7134,WEAK,18.2637
495,233,NWL.AX,Netwealth Group Ltd.,Finance,Investment managers,mid,24.0,41.18,0.0989,0.0228,0.0265,FLAT,-19.74,7.77,21.54,-44.6,52.4,62.89,1.8784,HIGH,SHIFT,21.781,23.2027,28.8742,0,6.472,WEAK,17.1084
759,426,FLT.AX,Flight Centre Travel Group Limited,Consumer services,Other consumer services,mid,11.9,40.43,0.0923,0.041,-0.0737,STRONG_UP,3.97,-0.75,-40.78,-35.54,50.0,46.31,1.8022,HIGH,PROGRESS,11.2551,12.8179,12.8145,0,-0.8096,WEAK,13.5362
891,230,NWSLV.AX,News Corporation Shs A Chess Depository Interests repr 1 Sh,Consumer services,Publishing: newspapers,large,34.0,25.53,-0.026,0.0959,0.0462,FLAT,-25.86,-18.61,-11.93,-31.46,14.4,38.09,1.7681,HIGH,SHIFT,32.6,33.7654,39.6061,0,-7.0343,WEAK,12.383
927,-153,PXA.AX,PEXA Group Limited,Finance,Real estate development,mid,12.39,47.71,-0.1992,-0.1819,0.0167,STRONG_DOWN,-22.37,10.23,2.74,-28.55,52.4,44.89,2.1382,HIGH,EARLY,14.679,14.4952,14.7138,0,11.943,WEAK,12.07
974,-102,SGP.AX,Stockland,Finance,Real estate investment trusts,large,4.04,11.11,-0.0764,-0.1383,-0.1959,STRONG_UP,-34.13,-14.97,-4.44,-39.93,46.4,21.22,2.7615,HIGH,EARLY,4.3635,4.823,5.5933,0,-32.7356,WEAK,11.6063
985,-37,RGN.AX,Region Group,Finance,Real estate investment trusts,mid,2.24,47.06,-0.027,0.0533,0.0389,FLAT,-2.31,10.12,11.15,-12.78,44.8,15.87,1.5681,HIGH,PROGRESS,2.19,2.2442,2.3016,0,28.5545,WEAK,11.522
1196,256,RWC.AX,Reliance Worldwide Corp. Ltd.,Producer manufacturing,Building products,mid,3.1,23.81,-0.0253,0.058,-0.0629,FLAT,-22.03,-15.6,-41.83,-38.86,44.4,43.5,2.4535,HIGH,PROGRESS,3.05,3.3365,3.8714,0,-15.9218,WEAK,9.7146
1286,153,MCY.AX,Mercury NZ Ltd.,Utilities,Electric utilities,mid,5.23,61.11,-0.0138,-0.0237,-0.0286,STRONG_UP,-7.93,1.52,-7.32,-17.68,44.4,42.19,2.9034,HIGH,EARLY,5.303,5.3162,5.498,0,1.5996,LAGGARD,9.1258
1367,209,AMC.AX,Amcor PLC Shs Chess Depository Interests,Process industries,Containers/Packaging,large,59.51,40.0,0.0572,-0.0111,0.0491,FLAT,0.87,-10.52,-4.67,-25.29,49.2,31.88,1.9317,HIGH,PROGRESS,57.5415,63.0212,63.661,0,-16.2359,WEAK,8.3806
1525,14,SDF.AX,Steadfast Group Limited,Finance,Insurance brokers/Services,mid,4.27,8.5,-0.0091,0.0233,-0.1008,FLAT,-27.96,-19.08,-20.66,-37.14,44.8,33.37,3.3113,HIGH,PROGRESS,4.181,4.3954,5.2955,0,-25.6132,WEAK,6.6672
1550,96,MGR.AX,Mirvac Group,Finance,Real estate investment trusts,mid,1.765,16.99,-0.0166,-0.034,-0.0613,STRONG_UP,-21.82,-11.38,-14.98,-28.5,42.0,23.75,1.8004,HIGH,EARLY,1.7992,1.9037,2.1155,0,-20.1327,WEAK,6.3115
1656,-27,TPG.AX,TPG Telecom Limited,Communications,Wireless telecommunications,mid,4.04,11.11,0.0031,0.0004,0.0477,FLAT,-19.77,-12.17,-1.29,-35.15,52.8,18.59,14.6889,HIGH,SHIFT,4.0035,3.9013,4.4941,0,-34.5725,WEAK,4.2152
1683,36,MEZ.AX,Meridian Energy Limited,Utilities,Alternative power generation,large,4.52,33.33,-0.0354,-0.0365,-0.0166,FLAT,-10.76,-12.81,-8.53,-17.02,45.2,27.28,3.3467,HIGH,EARLY,4.5385,4.6701,4.9127,0,-21.2297,WEAK,3.4423
