rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
4,0,047040.KS,Daewoo Eng & Co,uranium,producer,large,24300.0,98.39,0.3796,1.0398,5.6671,STRONG_DOWN,570.34,659.38,555.87,-27.11,50.42,142.31,2.0219,HIGH,-,17314.0,11465.4,5747.775,1,233.6146,LEADER,68.9441
8,2,002709.SZ,GUANGZHOU TINCI MATERIALS -A,lithium,producer,large,46.72,65.0,0.0214,-0.1057,-0.0793,FLAT,36.88,176.01,97.51,-21.71,52.92,45.15,1.9139,HIGH,-,44.94,43.4258,34.2018,1,206.3036,CONTENDER,58.2758
31,-1,002738.SZ,SINOMINE RESOURCE GROUP CO-A,lithium,producer,large,77.76,60.0,0.0238,-0.052,-0.1286,STRONG_UP,74.51,167.28,110.46,-34.96,51.25,62.19,1.5453,HIGH,-,72.1455,80.1152,58.5522,1,137.8537,CONTENDER,49.98
42,-2,ANTO.L,Antofagasta,copper,producer,large,3788.0,62.5,0.0383,0.0143,0.136,FLAT,40.66,149.58,67.22,-29.45,55.42,63.15,3.3693,HIGH,-,3452.925,3703.35,2870.1933,1,131.2713,CONTENDER,45.0305
43,3,CXU.AX,Cauldron Energy,uranium,producer,small,0.062,100.0,0.4177,1.2817,1.3851,STRONG_DOWN,195.24,675.0,29.17,-44.44,34.14,170.94,3.3354,HIGH,-,0.0326,0.0313,0.0202,1,134.8104,LEADER,44.9806
48,2,GGP.L,"ticker
GGP.L    Greatland Resources
GGP.L    Greatland Resources
Name: name, dtype: object",copper,producer,mid,764.0,67.5,0.0962,0.22,0.3371,STRONG_DOWN,94.4,176.81,516.13,-35.27,54.22,71.5,2.7204,HIGH,-,605.35,643.196,449.599,1,134.0801,CONTENDER,43.4461
54,6,OKLO,Oklo Inc.,uranium,producer,large,50.25,67.74,0.0064,-0.0942,-0.5294,STRONG_UP,-63.62,122.84,293.81,-73.83,50.0,86.6,0.7373,LOW,EARLY,52.3705,61.1786,85.4836,0,70.9227,LAGGARD,42.3564
58,-2,ATYM.L,Atalaya Mining Copper SA,copper,producer,mid,794.0,57.5,0.0097,-0.1166,-0.0954,FLAT,21.04,138.47,84.49,-36.5,51.0,57.82,1.5799,HIGH,-,756.425,883.61,705.7055,1,122.1344,CONTENDER,41.8998
63,-2,29M.AX,29Metals,copper,producer,mid,0.39,83.75,0.0411,0.0114,-0.3192,STRONG_UP,-26.42,225.0,-23.53,-51.91,49.0,86.33,0.345,LOW,PROGRESS,0.3588,0.3969,0.4111,0,127.7076,LAGGARD,40.6616
72,5,LEU,Centrus Energy -A,uranium,producer,mid,187.22,83.87,-0.0066,-0.0661,-0.3952,STRONG_UP,-49.55,188.61,331.28,-61.35,52.02,91.21,0.4791,LOW,EARLY,190.9155,209.8598,250.9171,0,107.5692,LAGGARD,39.4838
109,28,JLL.AX,Jindalee Lithium,uranium,producer,small,0.685,90.32,0.6068,0.3599,0.0383,STRONG_UP,24.55,218.6,0.74,-60.94,44.4,133.51,8.0852,HIGH,-,0.4512,0.5242,0.5216,1,72.699,LEADER,35.0379
113,-6,GROY,Gold Royalty Corp,gold,royalties_financial_services,mid,3.65,58.49,-0.0267,-0.0686,-0.1906,STRONG_UP,-1.62,131.01,80.69,-39.54,53.23,59.3,0.4314,LOW,PROGRESS,3.5185,4.0376,3.6878,0,117.6021,LAGGARD,34.7477
114,-19,AMG.AS,AMG CRITICAL MATERIALS N.V.,lithium,producer,mid,33.08,52.5,-0.1309,-0.144,-0.1007,FLAT,12.06,134.72,40.83,-24.89,52.59,66.07,2.6369,HIGH,-,33.825,35.0436,29.4855,1,107.2361,CONTENDER,34.6819
130,-9,SLI.V,STANDARD LITHIUM LTD,lithium,producer,mid,4.73,57.5,-0.0664,-0.2675,-0.3914,STRONG_UP,-22.71,150.26,203.21,-43.01,54.44,81.94,0.4404,LOW,EARLY,4.9855,5.5786,5.198,0,99.8341,LAGGARD,32.5488
135,8,GTWO.TO,G2 Golfields,gold,producer,mid,11.29,81.13,0.9116,0.9032,0.6274,STRONG_UP,180.85,218.93,840.83,-39.35,49.19,174.85,2.4006,HIGH,-,5.9645,6.3086,4.7466,1,61.5899,LEADER,32.0245
