rank,delta_rank,ticker,name,commodity,type,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
5,0,KCP.V,King Copper Discovery,copper,producer,small,1.02,2.5812,1.182,1.0202,0.9642,STRONG_UP,18.6,537.5,500.0,-47.77,44.18,92.33,4.026,HIGH,-,0.842,0.958,0.7127,1,257.1943,TREND+LEAD,73.2431
8,0,OKLO,Oklo Inc.,uranium,producer,large,66.81,1.2569,1.157,1.0556,0.6852,STRONG_UP,-58.79,227.66,427.31,-73.83,51.0,89.72,2.4542,HIGH,SHIFT,53.216,59.6062,85.646,0,129.4103,WEAK,64.7182
9,0,CXO.AX,Core Lithium,lithium,producer,mid,0.38,2.3702,1.2598,1.4266,1.1359,FLAT,181.48,467.16,162.07,-41.79,40.0,89.07,2.6866,HIGH,-,0.2635,0.2408,0.1846,1,209.7964,TREND+LEAD,64.6414
11,0,ALB,ALBEMARLE CORP,lithium,producer,large,197.75,1.586,1.0253,1.0004,1.0177,FLAT,108.67,279.52,83.22,-20.05,57.83,69.8,1.591,HIGH,-,179.7,173.2138,123.2589,1,231.5849,TREND+LEAD,63.8367
15,0,300450.SZ,WUXI LEAD INTELLIGENT EQUI-A,lithium,producer,large,56.0,1.2078,1.0118,0.9602,0.8334,STRONG_UP,0.0,189.01,147.55,-32.4,50.21,48.5,1.538,HIGH,-,49.9765,52.274,46.5107,1,195.678,TREND+LEAD,61.9891
22,0,IGO.AX,IGO LTD,lithium,producer,large,9.25,1.1303,1.0832,1.038,0.8718,STRONG_UP,72.57,170.47,34.2,-27.32,57.2,49.94,1.8536,HIGH,-,7.956,8.0212,6.5629,1,195.2495,TREND+LEAD,59.6549
40,2,APM.TO,Andean Precious Metals,gold,producer,mid,7.34,1.9956,0.9791,0.9703,0.6496,STRONG_UP,-1.87,290.43,672.63,-51.34,55.82,90.3,0.2273,LOW,PROGRESS,6.8495,8.0932,7.4035,0,179.5299,WEAK,49.5251
42,2,002466.SZ,TIANQI LITHIUM CORP-A,lithium,producer,large,66.65,1.0117,1.0319,1.125,0.91,FLAT,33.92,142.1,43.46,-23.05,55.19,48.79,1.6361,HIGH,-,57.4395,54.6654,49.3845,1,160.7394,TREND+LEAD,48.937
62,3,066970.KS,L&F CO LTD,lithium,producer,large,185600.0,1.2863,0.9821,1.3674,1.3438,FLAT,124.97,207.79,25.07,-36.6,50.21,94.65,2.141,HIGH,-,161845.0,133574.0,103813.0,1,110.2309,TREND+LEAD,44.0214
66,3,PMET.TO,PMET RESOURCES INC,lithium,producer,mid,5.96,1.1531,1.1506,1.2399,0.7918,FLAT,54.01,175.93,,-45.14,46.99,72.28,1.6074,HIGH,-,4.6505,4.9666,4.5415,1,114.3713,TREND+LEAD,43.5489
