rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
372,53,HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,,mid,31.01,0.8603,1.4226,1.2887,0.9704,STRONG_UP,-37.71,20.01,161.03,-78.06,45.2,124.15,1.7597,HIGH,SHIFT,21.771,20.079,38.2862,0,7.2843,WEAK,29.0476
700,105,PJT,PJT PARTNERS INC CLASS A,Financials,,mid,158.16,0.8984,0.9537,1.1027,0.8062,FLAT,-10.44,25.33,68.11,-32.47,54.4,34.09,1.6957,HIGH,SHIFT,146.5,146.0142,168.1112,0,40.4184,WEAK,20.317
703,-20,PATK,PATRICK INDUSTRIES INC,Consumer Discretionary,,mid,103.73,0.9684,0.9125,0.8772,0.7773,STRONG_UP,7.08,35.08,52.45,-31.66,46.0,43.89,1.5809,HIGH,EARLY,110.725,119.8179,110.566,0,36.771,WEAK,20.2978
918,-205,AGIO,AGIOS PHARMACEUTICALS INC,Health Care,,mid,27.07,0.7098,0.7966,0.8892,0.9674,STRONG_DOWN,-36.05,-0.99,-10.39,-50.89,53.2,63.16,5.844,HIGH,EARLY,32.2905,29.942,33.7462,0,-0.8318,WEAK,16.0916
940,36,FRSH,FRESHWORKS INC CLASS A,Information Technology,,mid,8.78,0.5215,1.1002,1.0006,0.7652,STRONG_UP,-19.3,-27.26,-51.65,-56.95,46.4,62.34,2.6419,HIGH,SHIFT,8.1,7.9929,11.2856,0,-20.288,WEAK,15.8206
1156,67,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,large,44.81,0.659,0.9753,0.8959,0.842,STRONG_UP,-18.1,-8.08,-8.6,-29.73,49.2,33.88,1.5276,HIGH,EARLY,45.079,48.6729,53.6345,0,-11.7298,WEAK,12.1063
1206,23,BMI,BADGER METER INC,Information Technology,,mid,113.41,0.4103,0.6887,0.7015,0.654,FLAT,-36.66,-42.76,-36.46,-55.06,48.8,62.35,4.853,HIGH,EARLY,149.9545,151.2324,175.0642,0,-33.4658,WEAK,11.156
1309,107,HOMB,HOME BANCSHARES INC,Financials,,mid,27.18,0.7616,0.9525,0.9523,0.9157,STRONG_UP,1.59,6.24,18.27,-14.34,50.4,23.6,1.8358,HIGH,EARLY,27.244,27.6907,27.9739,0,13.3363,WEAK,9.3481
1394,12,CPRT,Copart,Industrials,Diversified Support Services,large,33.76,0.4121,0.9937,0.9402,0.7907,STRONG_UP,-23.86,-42.52,-36.66,-49.2,48.0,28.67,1.6359,HIGH,PROGRESS,33.1125,35.2478,41.4741,0,-71.1823,WEAK,7.4288
1416,13,MRSH,Marsh McLennan,Financials,Insurance Brokers,large,174.59,0.6014,0.9897,0.91,0.9291,FLAT,-6.97,-16.11,-10.37,-27.03,48.8,31.58,1.55,HIGH,PROGRESS,173.3655,175.4252,187.6501,0,-24.8916,WEAK,6.883
1521,11,MGEE,MGE ENERGY INC,Utilities,,mid,78.34,0.6401,0.9609,0.9671,0.9465,FLAT,-6.0,-10.71,5.56,-20.77,48.4,21.87,1.5615,HIGH,PROGRESS,78.1275,78.4741,81.1285,0,-23.6936,WEAK,2.1268
