rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,0,G11.AX,G11 Resources Limited,Non-energy minerals,Other metals/Minerals,small,0.325,99.85,0.0156,0.0068,0.0317,FLAT,47.73,2066.67,1254.17,-32.05,34.58,70.94,2.1639,HIGH,-,0.3035,0.3129,0.2043,1,1007.4053,LEADER,241.4506
10,1,RMI.AX,Resource Minerals International Ltd,Non-energy minerals,Other metals/Minerals,small,0.037,98.84,0.2333,0.217,0.5727,FLAT,27.59,825.0,54.17,-58.62,27.38,57.14,6.2586,HIGH,-,0.0318,0.0298,0.0257,1,395.3185,LEADER,107.0721
14,-1,SPL.AX,Starpharma Holdings Limited,Health technology,Pharmaceuticals: major,small,0.72,100.0,0.0588,0.5652,1.2301,STRONG_DOWN,132.26,665.96,433.33,-28.09,43.25,87.41,1.6901,HIGH,-,0.5745,0.4991,0.327,1,329.5122,LEADER,84.2784
36,-1,ELT.AX,Elementos Limited,Non-energy minerals,Other metals/Minerals,small,0.46,95.5,0.3143,0.2015,0.2219,FLAT,64.29,513.33,155.56,-31.65,39.68,103.43,1.5478,HIGH,-,0.362,0.3844,0.2836,1,196.9358,LEADER,56.185
40,-1,GLN.AX,Galan Lithium Limited,Process industries,Chemicals: agricultural,small,0.495,97.96,0.0313,0.3921,0.1465,FLAT,241.38,371.43,59.68,-36.17,42.06,86.88,2.0103,HIGH,-,0.424,0.3914,0.2587,1,179.8145,LEADER,52.8687
44,-1,CXO.AX,Core Lithium Ltd,Non-energy minerals,Other metals/Minerals,small,0.325,93.61,-0.1333,0.4184,0.2972,FLAT,209.52,364.29,,-41.79,38.89,88.74,1.8695,HIGH,-,0.301,0.2552,0.1908,1,159.647,LEADER,49.5062
45,-1,DGR.AX,DGR Global Limited,Non-energy minerals,Other metals/Minerals,small,0.031,95.65,0.0,-0.0259,0.0622,FLAT,82.35,520.0,106.67,-40.0,25.4,84.28,7.4468,HIGH,-,0.0321,0.0312,0.0248,1,156.7157,LEADER,49.0492
46,-1,OMA.AX,Omega Oil & Gas Limited,Energy minerals,Oil & gas production,small,1.05,96.91,0.2209,0.7213,1.3333,STRONG_DOWN,169.23,346.81,452.63,-34.34,40.48,83.67,2.4655,HIGH,-,0.828,0.6729,0.4597,1,167.7878,LEADER,48.5714
58,0,QFE.AX,QuickFee Ltd.,Commercial services,Miscellaneous commercial services,small,0.077,96.08,0.0342,-0.0707,0.2085,FLAT,99.11,192.03,146.09,-44.0,29.37,41.18,2.6249,HIGH,-,0.0782,0.0753,0.0516,1,136.9575,LEADER,44.1924
61,0,NH3.AX,NH3 Clean Energy Limited,Non-energy minerals,Precious metals,small,0.089,90.28,0.0,0.1278,0.289,STRONG_DOWN,-22.61,256.0,345.0,-48.15,42.46,86.06,1.6902,HIGH,-,0.0836,0.0791,0.0793,1,126.3044,LEADER,41.9596
78,2,SNX.AX,"Sierra Nevada Gold, Inc.. Shs Chess Depository Interests Repr 1 Sh",Non-energy minerals,Precious metals,small,0.058,89.7,0.1154,0.3221,0.8336,STRONG_DOWN,26.09,241.18,-10.77,-60.32,37.7,102.68,1.8616,HIGH,-,0.0444,0.0472,0.0374,1,88.5504,LEADER,36.2008
87,2,CP8.AX,Canadian Phosphate Limited,Process industries,Chemicals: agricultural,small,0.12,95.92,0.5,0.6921,0.3564,FLAT,106.9,300.0,344.44,-46.67,27.38,93.96,4.8995,HIGH,-,0.0763,0.0724,0.0672,1,87.4202,LEADER,34.3313
91,1,ENX.AX,Enegex Limited,Non-energy minerals,Other metals/Minerals,small,0.28,93.18,0.037,0.3412,-0.0472,FLAT,51.35,330.77,143.48,-50.0,26.59,109.74,2.2059,HIGH,-,0.2555,0.2549,0.196,1,80.1454,LEADER,33.5298
105,1,AI1.AX,Adisyn Limited,Technology services,Information technology services,small,0.2,95.89,1.9412,3.5142,2.4042,FLAT,203.03,308.16,700.0,-52.5,42.28,211.52,8.8389,HIGH,-,0.0712,0.0561,0.0621,1,61.5977,LEADER,30.1321
183,2,FRB.AX,Firebird Metals Ltd.,Non-energy minerals,Other metals/Minerals,small,0.21,78.81,-0.0455,-0.1047,-0.125,STRONG_UP,27.27,135.96,27.27,-51.61,36.9,136.7,2.5383,HIGH,-,0.2,0.2297,0.186,1,36.6989,LEADER,24.3659
184,2,CTO.AX,Citigold Corporation Limited,Non-energy minerals,Precious metals,small,0.015,91.44,-0.3182,-0.1769,-0.075,STRONG_DOWN,50.0,275.0,200.0,-43.48,25.79,138.25,7.9314,HIGH,-,0.02,0.0184,0.0123,1,51.3002,LEADER,24.357
191,1,BBL.AX,Brisbane Broncos Limited,Consumer services,Movies/Entertainment,small,1.74,91.67,0.0712,0.0464,0.2712,FLAT,42.25,77.11,80.74,-30.75,44.84,57.75,2.2597,HIGH,-,1.6953,1.6903,1.4006,1,59.8699,LEADER,23.8856
192,0,CML.AX,Connected Minerals Limited,Electronic technology,Computer communications,small,0.28,78.12,0.12,0.2851,0.764,STRONG_DOWN,55.56,154.55,-22.22,-43.59,28.17,82.91,1.7109,HIGH,-,0.2465,0.2357,0.1796,1,52.5093,LEADER,23.8504
214,-1,GW1.AX,Greenwing Resources Ltd,Non-energy minerals,Other metals/Minerals,small,0.083,84.33,0.431,0.9656,0.9056,FLAT,176.67,176.67,9.21,-31.58,34.92,112.59,3.6543,HIGH,-,0.0562,0.0509,0.0388,1,54.7935,LEADER,23.1189
238,2,COV.AX,CLEO Diagnostics Ltd,Health technology,Medical specialties,small,0.68,83.78,0.1624,0.2364,0.0392,FLAT,51.11,70.0,267.57,-46.24,43.65,82.17,2.6339,HIGH,-,0.572,0.5553,0.5069,1,37.1851,LEADER,22.0848
242,1,KEY.AX,Key Petroleum Limited,Energy minerals,Integrated oil,small,0.165,89.69,0.65,2.3,1.8448,FLAT,312.5,175.0,65.0,-54.0,19.44,125.97,15.5828,HIGH,-,0.0823,0.0642,0.0578,1,27.0064,LEADER,21.8784
250,1,AKN.AX,AuKing Mining Ltd,Non-energy minerals,Other metals/Minerals,small,0.027,89.4,0.08,0.7412,3.0336,STRONG_DOWN,237.5,237.5,17.39,-52.94,24.21,192.65,6.8926,HIGH,-,0.0193,0.0151,0.0085,1,29.8462,LEADER,21.4911
287,1,OM1.AX,Omnia Metals Group Ltd,Non-energy minerals,Other metals/Minerals,small,0.025,80.55,0.087,0.1317,0.0098,FLAT,13.64,150.0,-67.95,-40.0,25.4,111.69,2.5805,HIGH,-,0.0213,0.0235,0.0195,1,34.1123,LEADER,20.1162
312,-1,WAA.AX,WAM Active Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,1.02,78.95,0.0243,0.0938,-0.0126,FLAT,2.91,32.87,40.47,-19.18,44.84,27.43,1.6033,HIGH,-,0.97,0.9816,0.9665,1,53.7322,LEADER,19.5155
322,2,NSC.AX,NAOS Small Cap Opportunities Company Ltd,Miscellaneous,Investment trusts/Mutual funds,small,0.365,86.84,0.1103,0.1196,0.0236,FLAT,-2.63,47.15,-23.72,-23.61,36.51,36.15,6.6053,HIGH,-,0.328,0.3434,0.346,1,47.622,LEADER,19.2906
324,4,CUP.AX,Count Limited,Commercial services,Miscellaneous commercial services,small,1.175,82.35,0.052,-0.0083,0.2005,FLAT,11.76,49.66,138.68,-13.66,40.48,35.22,7.7553,HIGH,-,1.11,1.0949,1.0387,1,57.0734,LEADER,19.1368
348,3,AUA.AX,Audeara Ltd.,Consumer durables,Electronics/Appliances,small,0.05,80.0,-0.1276,-0.1803,0.0156,FLAT,66.67,56.25,2.04,-54.55,23.41,90.21,2.1232,HIGH,-,0.0585,0.067,0.0452,1,14.5972,LEADER,18.5774
379,3,EVG.AX,Evion Group NL,Process industries,Chemicals: agricultural,small,0.03,85.71,0.0,0.3414,0.0933,FLAT,20.0,66.67,25.0,-43.59,31.35,100.36,2.7787,HIGH,-,0.0264,0.0272,0.0294,1,20.825,LEADER,17.7951
409,4,AVE.AX,Avecho Biotechnology Limited,Health technology,Pharmaceuticals: major,small,0.011,91.89,0.1579,0.2222,0.273,STRONG_DOWN,83.33,120.0,175.0,-33.33,29.76,112.11,1.9247,HIGH,-,0.0091,0.0095,0.0078,1,31.8544,LEADER,17.2175
417,4,VMT.AX,Vmoto Limited,Consumer durables,Motor vehicles,small,0.115,86.67,0.15,0.6912,0.7156,STRONG_DOWN,45.57,64.29,-8.0,-48.7,32.94,121.31,4.7436,HIGH,-,0.0941,0.0776,0.0728,1,17.4559,LEADER,17.1062
428,4,WAG.AX,Australian Wealth Advisors Group Ltd.,Finance,Investment managers,small,0.6,96.62,0.0918,0.0235,0.0918,FLAT,9.09,87.5,71.43,-14.73,16.27,31.68,2.9413,HIGH,-,0.5615,0.5975,0.5339,1,44.9377,LEADER,16.9165
435,4,SP8.AX,StreamPlay Studios Limited,Technology services,Packaged software,small,0.012,81.51,0.2,0.3021,0.5117,STRONG_DOWN,-7.69,71.43,50.0,-46.67,18.65,69.73,1.7394,HIGH,-,0.0096,0.0095,0.0098,1,19.1043,LEADER,16.783
527,-63,VLS.AX,Vita Life Sciences Limited,Health technology,Pharmaceuticals: other,small,2.58,79.28,0.032,0.0344,0.2195,STRONG_DOWN,12.09,55.83,27.9,-19.5,37.7,53.84,3.2604,HIGH,-,2.5375,2.4885,2.3672,1,39.0911,LEADER,15.2945
630,8,ASP.AX,Aspermont Limited,Consumer services,Publishing: books/magazines,small,2.1,85.42,0.0799,0.0545,0.3913,FLAT,5.0,40.0,-30.0,-44.44,7.94,83.51,7.5942,HIGH,-,1.9405,1.9632,1.8733,1,3.8031,LEADER,13.8561
1003,263,UOS.AX,United Overseas Australia Ltd,Finance,Real estate development,small,0.705,76.35,0.0081,-0.0458,0.0406,FLAT,6.02,28.95,26.59,-11.87,29.76,39.9,2.0812,HIGH,-,0.7269,0.7234,0.6796,1,21.5941,LEADER,10.5965
