rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
7,1,TNGX,TANGO THERAPEUTICS INC,Health Care,,mid,25.77,100.0,0.0025,0.2597,1.241,STRONG_DOWN,242.23,1629.53,246.37,-27.15,51.81,93.88,1.5982,HIGH,-,22.9205,18.4246,10.9933,1,899.2966,LEADER,216.7446
12,1,INBX,INHIBRX BIOSCIENCES INC,Health Care,,small,129.06,98.43,0.5926,0.9238,0.8272,FLAT,355.08,945.02,931.92,-37.56,57.43,103.52,2.2026,HIGH,-,80.3215,75.738,58.8793,1,524.2708,LEADER,131.6581
27,1,FIX,Comfort Systems USA,Industrials,Construction & Engineering,large,1726.12,97.93,0.0324,0.1918,0.5149,STRONG_DOWN,109.46,338.89,475.38,-13.77,59.84,56.62,1.9496,HIGH,-,1558.928,1461.0092,1018.7148,1,358.1662,LEADER,89.1592
28,2,NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,,mid,17.28,97.37,0.3019,0.7749,0.785,STRONG_DOWN,26.97,759.7,287.44,-58.25,47.39,126.49,1.9513,HIGH,-,11.2782,9.9267,8.8412,1,284.6253,LEADER,87.8462
48,31,TTI,TETRA TECHNOLOGIES INC,Energy,,small,9.69,94.38,0.038,0.1724,-0.4387,FLAT,21.28,257.56,112.5,-37.66,55.82,62.45,1.6079,HIGH,-,8.7085,8.9824,7.534,1,230.2202,LEADER,63.8573
53,0,AMD,Advanced Micro Devices,Information Technology,Semiconductors,large,347.81,83.68,0.2578,0.5661,0.3268,FLAT,48.01,260.84,120.97,-27.76,55.82,70.33,2.1498,HIGH,-,250.8545,221.5738,206.5952,1,207.0223,LEADER,62.462
57,18,FIGS,FIGS INC CLASS A,Consumer Discretionary,,mid,16.51,100.0,0.0548,0.0012,0.5178,FLAT,99.4,314.82,235.57,-21.73,51.81,74.88,1.5259,HIGH,-,15.001,14.3954,10.1236,1,217.829,LEADER,60.3484
62,-4,ANAB,ANAPTYSBIO INC,Health Care,,small,58.88,94.49,0.1817,0.3211,0.909,STRONG_DOWN,159.76,314.06,320.57,-28.15,51.81,74.33,1.5916,HIGH,-,45.0785,41.7391,27.62,1,218.9115,LEADER,58.3841
64,-2,INTC,Intel,Information Technology,Semiconductors,large,82.54,87.37,0.2491,0.7308,0.8854,STRONG_DOWN,116.3,302.44,161.61,-24.17,52.21,80.01,2.7321,HIGH,-,59.554,51.0316,38.4479,1,197.3538,LEADER,57.8798
73,-10,KALU,KAISER ALUMINIUM CORP,Materials,,mid,177.86,88.24,0.1825,0.4969,0.4414,FLAT,94.64,184.01,101.06,-26.03,56.63,54.85,1.7968,HIGH,-,140.6009,131.0294,103.2032,1,189.9821,LEADER,54.8598
81,9,OUST,OUSTER INC,Information Technology,,small,28.22,84.21,0.0326,0.3206,0.1104,FLAT,-14.46,264.6,225.49,-55.15,51.41,85.49,1.5307,HIGH,-,22.285,21.1188,25.3087,1,159.1187,LEADER,51.8215
85,-4,RMBS,RAMBUS INC,Information Technology,,large,158.4,81.58,0.2413,0.5915,0.33,FLAT,55.89,203.33,167.43,-36.69,53.82,79.46,1.9027,HIGH,-,111.3825,101.7508,94.5083,1,137.7212,LEADER,50.8237
86,3,COHU,COHU INC,Information Technology,,small,46.93,78.95,0.0529,0.4116,0.5627,STRONG_DOWN,108.76,179.18,51.0,-20.23,56.22,51.28,4.2247,HIGH,-,37.3965,32.9088,25.4294,1,196.4401,LEADER,50.8111
