rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
4,-2,DTR.AX,Dateline Resources Limited,Gold,mid,0.23,4.5708,0.9587,0.5808,0.7772,FLAT,-16.36,751.85,1990.91,-71.54,47.04,112.7,0.3991,LOW,EARLY,0.3298,0.3804,0.3138,0,313.8164,WEAK,79.8328
5,0,DGR.AX,DGR Global Limited,Gold,small,0.029,3.1121,1.0275,0.9542,0.9799,FLAT,45.0,480.0,93.33,-40.0,26.09,82.83,1.6374,HIGH,-,0.031,0.0312,0.0253,1,151.1916,TREND+LEAD,46.6611
7,-3,BCN.AX,Beacon Minerals Limited,Gold,small,2.86,1.5046,0.9806,0.8924,0.7524,STRONG_UP,20.01,180.41,151.41,-38.13,46.64,72.64,1.8944,HIGH,-,3.2635,3.4682,2.796,1,115.8381,TREND+LEAD,38.4798
14,-5,WGX.AX,Westgold Resources Limited,Gold,large,5.36,1.0778,0.9234,0.9253,0.8339,FLAT,6.14,100.86,146.82,-37.64,52.96,64.13,0.7049,LOW,EARLY,6.239,6.4004,5.4683,0,83.2953,WEAK,30.2833
19,-5,RGL.AX,Riversgold Limited,Gold,small,0.015,2.0121,0.9965,1.2529,1.1585,FLAT,114.29,275.0,130.77,-47.62,27.27,124.48,1.8273,HIGH,-,0.0145,0.0145,0.0093,1,60.2446,TREND+LEAD,27.4402
20,-5,PRX.AX,Prodigy Gold NL,Gold,small,0.079,1.0597,1.2918,1.454,1.3142,FLAT,43.64,97.5,77.75,-66.67,27.27,64.82,1.6354,HIGH,-,0.0606,0.0613,0.0576,1,41.0186,TREND+LEAD,26.6205
36,-8,VAU.AX,Vault Minerals Limited,Gold,mid,4.52,0.8902,1.003,1.1206,0.9177,FLAT,2.19,65.9,63.97,-41.81,50.99,59.58,0.5196,LOW,EARLY,4.6165,4.7644,4.5331,0,56.4001,WEAK,22.1369
43,0,RC1.AX,Redcastle Resources Limited,Gold,small,0.17,1.1402,1.1658,1.0548,0.9675,STRONG_UP,70.0,112.5,0.0,-47.73,24.9,108.59,1.504,HIGH,-,0.1713,0.1634,0.1209,1,25.7966,TREND+LEAD,20.2448
44,-11,GMD.AX,Genesis Minerals Limited,Gold,large,5.74,0.7917,0.9503,0.9973,0.8905,FLAT,1.77,47.56,237.65,-36.46,52.17,69.88,0.7327,LOW,EARLY,6.4,6.4988,6.1158,0,35.505,WEAK,20.1572
48,0,MOH.AX,Moho Resources Limited,Gold,small,0.009,1.2073,1.0629,1.0859,0.8847,FLAT,12.5,125.0,125.0,-57.14,17.0,142.22,2.0318,HIGH,-,0.0089,0.008,0.0075,1,14.9416,TREND+LEAD,18.795
49,0,NST.AX,Northern Star Resources Limited,Gold,large,21.17,0.6065,1.0163,1.0402,0.8676,FLAT,-10.28,13.03,53.4,-45.32,54.15,69.31,0.6891,LOW,EARLY,23.0035,23.8337,23.4579,0,10.1771,WEAK,18.6813
60,0,RMS.AX,Ramelius Resources Limited,Gold,large,3.4,0.6877,0.9663,0.9515,0.8398,STRONG_UP,4.43,28.16,83.95,-33.84,48.22,60.86,0.4135,LOW,EARLY,3.827,4.0004,3.7225,0,22.3139,WEAK,17.6343
64,-18,CMM.AX,Capricorn Metals Ltd,Gold,mid,11.77,0.6879,1.0926,1.0924,0.9363,STRONG_UP,-4.83,28.2,143.2,-41.12,54.94,64.09,0.7301,LOW,PROGRESS,11.7445,12.1382,12.5677,0,24.1704,WEAK,16.949
70,-18,PNR.AX,Pantoro Gold Limited,Gold,mid,3.21,0.6065,0.8955,0.9524,0.7277,FLAT,-35.41,13.03,122.15,-52.82,51.38,83.87,0.5244,LOW,EARLY,3.6805,4.0526,4.7575,0,7.9813,WEAK,16.2074
72,-18,SMI.AX,Santana Minerals Limited,Gold,mid,0.57,0.5612,0.8976,0.8657,0.5814,STRONG_UP,-22.97,4.59,49.35,-52.14,46.64,58.12,0.7985,LOW,EARLY,0.6628,0.7576,0.8023,0,3.6811,WEAK,16.0767
73,-18,STK.AX,Strickland Metals Limited,Gold,mid,0.17,0.9808,0.9767,0.9005,0.9191,FLAT,-10.53,82.8,61.9,-31.25,37.15,83.07,0.364,LOW,EARLY,0.202,0.208,0.1858,0,37.0273,WEAK,15.7348
77,0,VKA.AX,Viking Mines Limited,Gold,small,0.01,0.6707,0.8176,0.7239,0.983,FLAT,42.86,25.0,-9.09,-56.52,24.11,167.02,2.6539,HIGH,-,0.0143,0.0156,0.0099,1,3.6088,TREND_ONLY,14.7035
