rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
217,93,RGTI,RIGETTI COMPUTING INC,Information Technology,,mid,22.04,1.2343,1.2288,1.2469,1.2606,STRONG_DOWN,-13.43,59.02,1959.81,-77.1,48.4,101.14,4.4826,HIGH,SHIFT,18.0448,16.7099,23.0625,0,28.2431,WEAK,32.4486
537,117,ENSG,ENSIGN GROUP INC,Health Care,,large,171.68,0.9226,0.9617,0.8649,0.7347,STRONG_UP,-3.87,18.86,44.59,-21.48,49.2,21.73,1.8761,HIGH,EARLY,179.337,192.0986,183.5733,0,42.7044,WEAK,20.5704
615,139,INTU,Intuit,Information Technology,Application Software,large,307.07,0.3607,0.7776,0.7642,0.7849,FLAT,-52.57,-53.52,-53.51,-61.71,47.2,64.1,5.6553,HIGH,EARLY,389.186,404.3083,558.86,0,-39.4117,WEAK,18.7655
759,37,HCA,HCA Healthcare,Health Care,Health Care Facilities,large,392.56,0.8144,0.9236,0.7899,0.6721,STRONG_UP,-18.15,4.93,25.11,-27.88,55.2,29.59,1.7621,HIGH,EARLY,425.9055,464.9535,461.2257,0,9.1926,WEAK,16.0185
805,362,IBM,IBM,Information Technology,IT Consulting & Other Services,large,252.97,0.7794,1.148,1.0519,1.0454,STRONG_UP,-11.18,0.41,53.89,-30.96,54.8,48.86,3.627,HIGH,SHIFT,226.5002,236.3992,266.5296,0,0.4646,WEAK,15.4292
817,167,MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,,mid,17.61,0.7679,0.9645,0.8623,0.7871,STRONG_UP,-26.72,-1.07,61.86,-41.78,50.8,47.34,1.6819,HIGH,EARLY,19.016,19.079,22.5777,0,-1.1454,WEAK,15.1895
846,155,STEP,STEPSTONE GROUP INC CLASS A,Financials,,mid,54.74,0.7692,1.0175,0.9507,1.1483,FLAT,-9.42,-0.9,52.74,-43.1,51.6,52.49,1.6891,HIGH,SHIFT,53.5433,50.7489,58.9691,0,-0.8824,WEAK,14.5925
884,96,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,large,642.59,0.8402,0.9173,0.8014,0.7492,STRONG_UP,-8.2,8.25,-34.14,-22.39,48.8,34.63,1.5113,HIGH,EARLY,698.985,730.5872,691.0545,0,11.6308,WEAK,14.0835
892,143,ACHR,ARCHER AVIATION INC CLASS A,Industrials,,mid,6.12,0.4481,1.0067,1.0117,0.8057,FLAT,-18.07,-42.26,78.95,-63.78,47.2,58.93,1.8841,HIGH,SHIFT,6.0535,5.8406,8.06,0,-33.8515,WEAK,13.9333
951,124,DECK,Deckers Brands,Consumer Discretionary,Footwear,large,102.62,0.6317,1.0916,0.9088,0.7957,STRONG_UP,23.62,-18.61,-31.05,-36.92,45.6,39.66,1.5542,HIGH,SHIFT,99.6445,102.0946,102.9421,0,-21.4015,WEAK,13.0562
968,-46,DRVN,DRIVEN BRANDS HOLDINGS INC,Consumer Discretionary,,mid,13.48,0.5928,1.032,1.0378,0.7378,FLAT,-1.17,-23.63,24.47,-46.38,42.4,78.81,1.9645,HIGH,SHIFT,13.229,12.5692,14.7965,0,-12.7109,WEAK,12.8714
1000,121,BL,BLACKLINE INC,Information Technology,,mid,28.94,0.4125,1.0569,0.9393,0.8146,STRONG_UP,-46.03,-46.86,-44.37,-57.11,50.8,65.35,1.508,HIGH,EARLY,29.952,32.9306,46.6937,0,-36.4268,WEAK,12.285
1050,59,FUL,HB FULLER,Materials,,mid,56.37,0.8106,0.9663,0.8552,0.7897,STRONG_UP,1.81,4.44,-27.72,-26.97,48.4,42.23,1.7107,HIGH,EARLY,59.7994,59.1531,59.7542,0,5.0879,WEAK,11.6714
1326,-4,BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,,mid,17.98,0.8242,0.9908,0.8601,0.8813,FLAT,2.88,6.19,25.37,-12.02,50.4,26.05,1.5579,HIGH,EARLY,18.8255,18.9446,18.4469,0,11.9778,WEAK,7.1834
1457,46,CPRT,Copart,Industrials,Diversified Support Services,large,34.4,0.4402,1.0599,0.9685,0.8914,STRONG_UP,-16.85,-43.29,-36.24,-46.75,47.2,25.05,1.8572,HIGH,SHIFT,33.278,33.2696,39.9345,0,-81.5693,WEAK,4.0535
1497,23,MGEE,MGE ENERGY INC,Utilities,,mid,75.99,0.6735,1.0166,0.8999,0.8593,STRONG_UP,-4.93,-13.23,,-19.07,50.0,26.25,1.5558,HIGH,EARLY,77.418,77.364,80.3021,0,-25.2,WEAK,2.3409
