rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,1,1164.HK,CGN MINING CO LTD,Uranium,large,3.3,1.2374,0.9765,0.8983,0.7437,STRONG_UP,-0.6,99.43,23.78,-38.59,48.78,55.28,0.52,LOW,EARLY,3.753,3.971,3.5572,0,87.7359,WEAK,32.2818
6,-3,UEC,URANIUM ENERGY CORP,Uranium,large,13.02,1.2525,0.9807,1.0469,0.9037,FLAT,17.83,101.86,84.94,-40.86,50.0,76.65,0.8423,LOW,EARLY,14.4365,14.0218,13.7386,0,66.4452,WEAK,28.3864
7,5,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4675.0,1.0609,0.9195,0.9797,0.8473,FLAT,-1.56,70.97,101.73,-43.75,52.4,67.03,0.824,LOW,EARLY,5160.0,5228.9226,5307.8398,0,55.4816,WEAK,27.3638
8,2,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,5.96,1.0877,1.0833,1.0637,0.9779,STRONG_UP,-29.38,75.29,-7.02,-53.38,52.57,75.83,0.5189,LOW,SHIFT,5.827,5.6826,6.607,0,52.1985,WEAK,26.3525
11,-3,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,179.36,0.9824,1.0311,0.9854,0.9717,STRONG_UP,-25.67,58.32,290.51,-61.35,52.0,78.24,0.801,LOW,EARLY,197.281,195.7184,249.591,0,38.7603,WEAK,25.1193
12,-3,URG,UR-ENERGY INC,Uranium,mid,1.55,1.1055,0.9754,1.03,1.0173,FLAT,31.36,78.16,-9.36,-45.71,48.4,69.16,0.6383,LOW,EARLY,1.722,1.611,1.5534,0,54.6991,WEAK,23.8045
16,2,SMR,NUSCALE POWER CORP,Uranium,mid,11.4,0.2339,1.0816,1.0768,0.9527,STRONG_UP,-39.04,-62.3,70.91,-82.86,44.8,93.33,0.9723,LOW,EARLY,11.8645,11.4516,22.9825,0,-29.9058,WEAK,18.0681
17,4,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,26.73,0.4625,1.1005,1.2328,1.1802,FLAT,-8.86,-25.46,571.61,-66.45,46.8,99.75,1.0129,MED,SHIFT,25.2752,23.5234,31.7794,0,-11.9452,WEAK,17.9121
18,2,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.62,0.8074,0.9733,0.9173,0.6887,STRONG_UP,-4.99,30.12,-4.99,-46.91,47.83,70.7,0.695,LOW,EARLY,1.761,1.8105,1.9341,0,20.3771,WEAK,17.7725
19,-5,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,4.68,0.9103,0.9035,1.0326,0.9135,FLAT,-0.43,46.71,29.28,-38.43,49.6,61.76,0.7841,LOW,EARLY,5.228,5.0786,5.2702,0,37.512,WEAK,17.7428
25,3,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.26,0.1964,0.9865,0.8869,0.8519,STRONG_UP,-24.55,-68.34,-76.71,-74.73,41.5,74.58,0.712,LOW,EARLY,1.3815,1.5075,1.6866,0,-38.0287,WEAK,14.3594
27,-1,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,3969.0,0.7723,0.962,0.9951,0.9268,FLAT,-8.01,24.46,203.27,-23.59,46.69,45.75,0.899,LOW,EARLY,4387.85,4544.0608,4258.6133,0,24.964,WEAK,13.4942
28,-6,U-U.TO,SPROTT PHYSICAL URANIUM TR,Uranium,large,19.39,0.7111,0.9816,1.0466,1.0373,FLAT,12.41,14.6,-9.31,-22.78,53.6,32.79,0.3162,LOW,EARLY,20.1185,20.0508,19.4118,0,23.8627,WEAK,13.031
33,-3,YCA.L,YELLOW CAKE PLC,Uranium,mid,572.0,0.7091,1.0247,1.055,0.9846,FLAT,8.64,14.29,-14.18,-23.13,47.22,30.96,0.5629,LOW,EARLY,585.475,592.59,577.5625,0,21.7885,WEAK,10.6434
