rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
4,0,PKST,PEAKSTONE REALTY TRUST CLASS E,Real Estate,,small,20.99,95.24,-0.0248,-0.025,-0.0324,STRONG_UP,59.16,75.42,86.88,-16.14,50.85,2.22,1.8604,HIGH,-,20.9515,20.8946,15.9174,1,1727.5554,LEADER,388.7995
15,5,MU,Micron Technology,Information Technology,Semiconductors,large,895.88,97.91,0.2038,0.5872,0.8177,STRONG_DOWN,332.38,831.75,580.01,-30.28,58.0,86.56,1.5988,HIGH,-,687.313,528.3699,326.3303,1,557.3212,LEADER,142.3856
16,2,VSAT,VIASAT INC,Information Technology,,mid,81.4,97.38,0.069,0.267,0.4364,STRONG_DOWN,168.2,780.0,418.8,-23.78,54.0,74.77,1.5418,HIGH,-,69.215,60.0716,42.5663,1,563.3275,LEADER,137.9478
18,-3,SATS,ECHOSTAR CORP CLASS A,Communication,,large,123.12,100.0,-0.1236,0.0151,0.0216,STRONG_DOWN,79.4,508.3,566.96,-21.0,54.4,56.3,1.7049,HIGH,-,127.881,123.4766,95.6818,1,491.1464,LEADER,122.3271
23,3,TTMI,TTM TECHNOLOGIES INC,Information Technology,,large,196.95,94.76,0.1419,0.2455,0.5377,STRONG_DOWN,235.01,561.35,960.01,-23.26,56.8,87.28,1.6257,HIGH,-,163.5255,131.4872,85.7586,1,365.3148,LEADER,95.7831
25,17,VICR,VICOR CORP,Industrials,,mid,332.95,98.73,0.3177,0.2338,0.711,FLAT,294.63,683.41,852.92,-32.01,58.4,113.29,1.7164,HIGH,-,273.153,225.0988,132.7872,1,352.2928,LEADER,94.9892
30,5,TE,T1 ENERGY INC,Industrials,,small,10.45,99.16,0.4689,0.9622,0.4696,FLAT,284.19,816.67,292.86,-58.59,49.2,139.63,3.1949,HIGH,-,6.2745,5.8258,5.0294,1,287.7605,LEADER,83.6132
46,15,ENS,ENERSYS,Industrials,,mid,243.34,93.67,0.0693,0.15,0.4568,STRONG_DOWN,76.75,191.69,130.65,-18.32,59.6,43.84,1.6547,HIGH,-,224.774,200.2796,153.2941,1,260.6047,LEADER,66.9384
54,16,ICHR,ICHOR HOLDINGS LTD,Information Technology,,small,72.73,89.01,0.0479,-0.096,0.1162,FLAT,390.09,329.34,91.24,-40.8,56.8,81.44,1.6612,HIGH,-,69.6293,60.7745,33.3806,1,229.6961,LEADER,64.6413
58,-2,VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,,mid,50.37,82.72,0.2816,0.6932,1.2476,STRONG_DOWN,307.85,257.26,121.66,-33.46,57.2,65.87,2.8868,HIGH,-,35.614,26.9332,18.7609,1,223.4,LEADER,63.7708
64,-7,SMTC,SEMTECH CORP,Information Technology,,mid,164.46,87.96,0.1418,0.503,0.513,STRONG_DOWN,157.57,324.08,305.67,-26.68,53.6,75.99,2.9757,HIGH,-,127.604,103.5568,79.7255,1,228.595,LEADER,63.046
65,17,ACMR,ACM RESEARCH CLASS A INC,Information Technology,,mid,86.46,83.77,0.2228,0.5036,-0.0098,FLAT,187.91,271.23,266.82,-46.34,58.8,83.04,2.4242,HIGH,-,61.6225,52.6311,44.1989,1,192.0575,LEADER,62.328
70,0,MXL,MAXLINEAR INC,Information Technology,,small,96.12,96.86,-0.0667,0.7403,3.8851,STRONG_DOWN,606.76,707.05,410.19,-26.81,57.2,182.14,2.0358,HIGH,-,86.389,48.4896,24.734,1,222.0458,LEADER,60.6194
80,7,AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,,small,75.48,100.0,0.078,0.1034,0.3137,STRONG_DOWN,74.7,149.46,233.81,-18.2,58.8,39.6,1.5012,HIGH,-,69.257,62.9922,52.2336,1,221.9211,LEADER,56.3311
85,30,MRVL,Marvell Technology,Technology,Semiconductors,large,208.26,100.0,0.1658,0.256,1.4591,STRONG_DOWN,169.22,227.21,167.48,-26.36,54.4,70.73,1.6068,HIGH,-,173.732,139.8898,96.4913,1,174.7493,LEADER,53.8414
89,-40,NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,,mid,31.79,90.58,0.5578,0.6165,1.9461,STRONG_DOWN,320.5,389.08,775.76,-58.25,49.6,149.1,1.638,HIGH,-,20.1455,14.6205,10.1791,1,129.4314,LEADER,51.9477
99,44,ON,ON Semiconductor,Information Technology,Semiconductors,large,127.0,79.58,0.1196,0.1747,0.5511,STRONG_DOWN,171.95,192.63,72.44,-28.1,51.6,63.87,1.8514,HIGH,-,107.365,85.2122,62.4621,1,155.6214,LEADER,49.7666
