rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
23,3,INSM,Insmed Incorporated,Health Care,Biotechnology,large,106.91,100.0,0.0058,-0.2207,-0.1544,FLAT,-47.72,53.32,87.63,-52.06,54.0,68.41,1.5819,HIGH,EARLY,114.379,134.5114,155.8765,0,42.0885,LAGGARD,35.1945
38,16,PLTR,Palantir Technologies,Technology,Computer Software,large,156.54,34.09,0.1073,0.0284,-0.1605,STRONG_UP,-5.57,18.79,620.39,-38.19,54.8,54.49,1.955,HIGH,SHIFT,137.8072,141.7933,161.7841,0,18.8958,WEAK,22.9461
41,-7,ZS,Zscaler,Technology,EDP Services,large,139.73,6.82,-0.2728,-0.0337,-0.2984,FLAT,-44.54,-49.32,-10.8,-64.89,50.8,87.34,2.7321,HIGH,EARLY,154.3945,143.5808,221.5388,0,-28.6851,WEAK,22.1827
43,24,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,large,614.78,88.89,-0.044,-0.1341,-0.1065,FLAT,-21.43,26.08,-36.09,-24.11,48.0,33.99,2.2777,HIGH,EARLY,675.072,718.4007,692.9159,0,36.8308,LAGGARD,21.3095
52,-5,INTU,Intuit,Technology,Computer Software,large,331.53,2.27,-0.0027,-0.2495,-0.4452,STRONG_UP,-47.04,-55.64,-40.25,-62.05,47.2,63.62,2.1691,HIGH,EARLY,369.522,391.3075,548.3193,0,-41.2808,WEAK,19.0945
53,6,IDXX,Idexx Laboratories,Health Care,Biotechnology,large,563.53,55.56,0.0069,0.0248,0.0053,FLAT,-25.46,9.77,12.76,-31.04,50.4,30.63,1.9697,HIGH,PROGRESS,552.97,564.6116,638.2538,0,16.0807,LAGGARD,19.0151
56,14,WDAY,"Workday, Inc.",Technology,EDP Services,large,146.19,11.36,0.1045,0.0974,-0.1479,STRONG_UP,-32.11,-40.98,-29.53,-55.52,49.6,59.1,1.868,HIGH,SHIFT,126.2455,125.487,185.8938,0,-34.3956,WEAK,18.027
61,18,MSFT,Microsoft,Technology,Computer Software,large,450.24,27.27,0.0393,0.0096,-0.1067,STRONG_UP,-6.85,-1.42,10.28,-33.91,50.8,28.5,2.2526,HIGH,SHIFT,416.9669,402.065,456.4174,0,-2.5259,WEAK,16.0672
63,-1,PDD,PDD Holdings,Technology,EDP Services,large,84.44,22.73,-0.1456,-0.2575,-0.4176,STRONG_UP,-27.08,-12.51,-44.46,-39.89,50.4,40.29,3.4714,HIGH,EARLY,95.7945,98.416,113.2324,0,-15.6447,WEAK,15.6592
74,1,CTSH,Cognizant,Technology,EDP Services,large,55.755,15.91,0.0206,-0.0415,-0.3546,STRONG_UP,-26.76,-29.7,-10.78,-46.71,50.4,37.23,2.0823,HIGH,PROGRESS,50.8317,55.765,68.128,0,-40.2114,WEAK,13.0296
77,9,ADBE,Adobe Inc.,Technology,Computer Software,large,259.21,13.64,0.0227,-0.0496,-0.2452,STRONG_UP,-18.36,-37.55,-41.86,-45.95,48.0,42.3,1.6197,HIGH,SHIFT,247.9955,244.4516,303.9291,0,-42.6137,WEAK,12.0558
84,4,ADSK,Autodesk,Technology,Computer Software,large,231.31,20.45,-0.0791,-0.1269,-0.3021,STRONG_UP,-23.25,-21.89,15.7,-33.15,51.6,35.31,3.6829,HIGH,EARLY,240.617,238.772,274.9618,0,-31.9835,WEAK,9.0208
92,0,ORLY,O'Reilly Automotive,Consumer Discretionary,Auto & Home Supply Stores,large,86.88,31.25,-0.0549,-0.1181,-0.0878,FLAT,-14.41,-4.7,35.24,-19.42,52.0,27.53,1.7124,HIGH,EARLY,91.6995,92.0088,96.5612,0,-8.8814,WEAK,7.2797
98,1,CTAS,Cintas,Industrials,Garments & Clothing,large,171.26,50.0,-0.0195,-0.0387,-0.1221,STRONG_UP,-6.76,-23.67,4.12,-27.68,47.6,23.91,1.8588,HIGH,PROGRESS,169.2058,172.333,188.4022,0,-47.1241,LAGGARD,4.4313
