rank,delta_rank,ticker,name,commodity,type,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
38,9,002738.SZ,SINOMINE RESOURCE GROUP CO-A,lithium,producer,large,61.18,0.9192,1.0551,0.8906,0.6993,STRONG_UP,-1.05,106.31,115.4,-43.33,49.59,57.04,1.6433,HIGH,EARLY,62.7414,73.9153,66.5057,0,92.4229,WEAK,41.5115
49,53,APM.TO,Andean Precious Metals,gold,producer,mid,5.75,1.4282,0.9779,0.8448,0.8899,FLAT,-43.57,111.4,511.7,-54.78,55.6,80.27,2.5045,HIGH,EARLY,6.437,6.7214,7.8926,0,77.1605,WEAK,37.2545
76,-12,600489.SS,Zhongjin Gold Ord. A,gold,producer,large,21.51,0.9961,1.018,1.0366,0.8094,FLAT,-3.84,47.44,57.4,-50.05,46.69,49.23,1.5339,HIGH,EARLY,22.5785,25.059,24.2477,0,44.9935,WEAK,32.6429
85,-17,2899.HK,Zijin Mining Group H,copper,producer,large,31.4,0.7744,0.954,0.8894,0.7327,STRONG_UP,-4.09,59.75,100.87,-36.05,52.24,49.97,1.6278,HIGH,EARLY,32.4997,34.7988,34.2673,0,62.4594,WEAK,31.5406
97,-17,BRMS.JK,"ticker
BRMS.JK    Bumi Resources Minerals
BRMS.JK    Bumi Resources Minerals
Name: name, dtype: object",copper,producer,large,530.0,0.5201,1.0397,0.7156,0.6062,STRONG_UP,-45.64,7.29,295.52,-63.36,42.56,88.9,1.6795,HIGH,EARLY,584.6,724.74,865.05,0,3.4888,WEAK,30.2462
103,6,ASA,ASA Gold & Precious Metals,gold,royalties_financial_services,mid,57.39,1.1321,1.0031,0.9672,1.0261,FLAT,-0.23,67.58,235.35,-35.5,57.2,55.98,1.7784,HIGH,EARLY,60.1455,63.9749,58.0428,0,69.0488,WEAK,28.9323
140,-12,AMMN.JK,"ticker
AMMN.JK    Amman Mineral Internasional
AMMN.JK    Amman Mineral Internasional
Name: name, dtype: object",copper,producer,large,3450.0,0.204,1.0356,0.9694,0.5154,STRONG_UP,-47.73,-57.93,-70.82,-67.05,43.39,97.17,1.8003,HIGH,PROGRESS,3269.0,4332.0,6413.45,0,-25.8665,WEAK,25.1338
153,17,600547.SS,Shandong Gold Ord. A,gold,producer,large,27.79,0.5924,1.0324,1.0227,0.6988,STRONG_UP,-23.46,-12.31,1.78,-56.34,46.28,45.45,1.5375,HIGH,EARLY,29.103,34.1264,38.5798,0,-12.5336,WEAK,23.5871
164,49,ARTG.V,Artemis Gold Inc,gold,producer,large,33.79,0.8595,1.0876,1.1158,1.0556,FLAT,-10.94,27.22,244.8,-36.7,52.8,52.92,1.6011,HIGH,PROGRESS,31.939,35.2482,36.3159,0,27.1597,WEAK,22.8237
180,17,NFG.V,New Found Gold Corp,gold,explorer,mid,2.2,0.7146,0.9742,0.8552,0.8534,STRONG_UP,-42.86,5.77,-49.43,-56.9,49.2,67.33,1.5577,HIGH,EARLY,2.5525,2.7374,3.2482,0,4.2158,WEAK,21.3711
182,-1,GMD.AX,Genesis Minerals,gold,producer,large,5.32,0.7411,0.9757,0.9653,1.0022,FLAT,-16.22,9.69,198.88,-42.99,50.99,70.66,1.6636,HIGH,EARLY,5.76,6.1032,6.3822,0,6.9931,WEAK,21.0576
188,31,600988.SS,Chifeng Gold Ord. A,gold,producer,large,30.37,0.7121,1.0224,0.9552,0.8529,STRONG_UP,-0.82,5.41,85.22,-40.82,48.35,61.82,1.7744,HIGH,EARLY,33.1752,38.5682,33.9594,0,4.2286,WEAK,20.5467
201,14,TXG.TO,Torex Gold Resources,gold,producer,large,56.88,0.8007,0.9976,1.0011,1.0258,STRONG_DOWN,-10.76,18.52,179.27,-37.18,54.0,61.58,1.9761,HIGH,EARLY,58.8929,61.4863,62.7616,0,16.2372,WEAK,19.5069
208,45,ERA.PA,ERAMET,lithium,producer,mid,49.68,0.4841,0.9046,0.8755,0.8052,STRONG_UP,-2.49,8.66,-52.4,-47.01,50.59,48.33,2.0356,HIGH,EARLY,53.4215,54.3382,56.9366,0,9.0664,WEAK,19.2025
220,3,PNR.AX,Pantoro Gold,gold,producer,mid,2.52,0.4729,0.9383,0.8992,0.8589,STRONG_UP,-46.5,-30.0,76.47,-64.89,50.99,73.72,1.7317,HIGH,EARLY,2.934,3.3178,4.622,0,-20.7501,WEAK,18.3776
250,9,CMM.AX,Capricorn Metals,gold,producer,mid,12.02,0.7979,0.926,1.0115,1.1962,STRONG_DOWN,-9.99,18.11,168.24,-41.12,54.15,66.89,2.1468,HIGH,EARLY,13.1815,12.6178,13.1093,0,14.6597,WEAK,16.3701
253,23,EMR.AX,Emerald Resources,gold,producer,mid,5.36,0.7705,0.8976,1.0165,1.088,STRONG_DOWN,-3.42,14.04,47.66,-42.87,53.36,65.75,1.8699,HIGH,EARLY,5.7675,5.9898,5.716,0,11.3964,WEAK,16.2031
290,23,ZIM.AX,Zimplats Holdings,platinum,producer,mid,14.7,0.7482,1.0117,1.0726,0.9632,FLAT,-19.85,-8.13,-13.58,-40.05,47.04,50.68,1.5498,HIGH,EARLY,15.853,16.7656,18.7779,0,-7.5414,WEAK,12.0391
