rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
13,0,HL,Hecla Mining Co,silver,producer,large,16.06,89.66,0.0479,0.062,-0.1414,FLAT,-15.53,178.68,201.14,-55.81,53.82,67.62,2.5265,HIGH,EARLY,16.4061,17.782,17.7051,0,142.2174,LAGGARD,59.195
26,-3,UUUU,Energy Fuels Inc,uranium,producer,mid,16.56,95.24,0.0122,-0.0335,-0.0376,STRONG_UP,22.94,206.1,171.48,-51.28,51.2,87.51,2.6985,HIGH,EARLY,16.655,18.9034,18.3289,0,120.5841,LAGGARD,48.1162
47,-2,2099.HK,China Gold International Resources,copper,producer,large,146.9,63.75,-0.0488,-0.0847,-0.2476,STRONG_UP,-7.54,111.18,180.97,-41.77,52.24,63.7,1.9661,HIGH,EARLY,151.005,163.9853,158.1169,0,91.1752,LAGGARD,42.0037
52,-1,OGC.TO,Oceanagold Corp,gold,explorer,large,37.36,57.69,-0.0168,-0.0516,-0.1301,STRONG_UP,-1.6,84.15,296.37,-42.13,56.8,55.92,1.5004,HIGH,EARLY,38.6375,41.8489,39.9793,0,85.4748,LAGGARD,40.7059
61,-2,1258.HK,China Nonferrous Mining,copper,producer,large,13.56,62.5,-0.0799,-0.0285,-0.0478,FLAT,-13.35,106.19,109.8,-42.02,52.65,67.24,1.5393,HIGH,EARLY,14.1255,13.8168,13.9228,0,83.1499,LAGGARD,39.2032
68,-2,EQX,Equinox Gold Corp,gold,producer,large,10.51,50.96,-0.0385,-0.1247,-0.1755,STRONG_UP,-24.17,75.25,90.81,-48.02,54.4,66.48,2.4083,HIGH,EARLY,11.481,13.1405,13.3799,0,61.5768,LAGGARD,37.8263
76,-3,UEC,Uranium Energy Corp,uranium,producer,large,12.01,79.37,-0.0042,-0.0784,-0.0328,FLAT,4.25,85.91,88.84,-53.23,50.4,93.58,2.4594,HIGH,EARLY,12.5755,13.7624,13.9421,0,46.2709,LAGGARD,36.2794
77,-3,MUX,"ticker
MUX    McEwen Mining Inc
MUX    McEwen Mining Inc
Name: name, dtype: object",silver,producer,mid,19.38,51.72,0.0014,-0.0293,-0.0066,FLAT,1.73,114.14,101.46,-40.48,55.6,68.38,1.6186,HIGH,EARLY,20.185,22.1166,20.7015,0,92.8106,LAGGARD,36.0284
80,-5,CDE,Coeur Mining Inc,silver,producer,large,17.51,48.28,-0.0068,0.0688,-0.0615,FLAT,1.92,96.96,198.63,-43.18,52.4,74.73,6.0973,HIGH,EARLY,17.7695,18.3997,18.9031,0,67.9892,WEAK,35.472
104,1,EGO,Eldorado Gold Corp,gold,producer,large,33.05,43.27,0.0427,0.0668,0.0041,FLAT,-3.44,59.28,116.86,-43.57,56.4,59.65,1.7606,HIGH,SHIFT,31.8205,32.3901,33.6522,0,56.0547,WEAK,32.786
