rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,0,WDC,Western Digital,Technology,Electronic Components,large,746.23,97.73,0.3041,0.5947,1.2006,STRONG_DOWN,349.17,1162.02,1200.02,-20.59,62.4,74.68,2.0955,HIGH,-,564.877,479.888,265.9592,1,970.9441,LEADER,230.6167
3,1,STX,Seagate Technology,Technology,Electronic Components,large,1070.23,93.18,0.128,0.3956,1.261,STRONG_DOWN,287.15,727.75,980.13,-21.0,58.8,66.19,2.0484,HIGH,-,909.3245,760.7826,421.1591,1,646.4995,LEADER,157.3688
4,-1,WBD,Warner Bros. Discovery,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,26.2,100.0,-0.0137,-0.0195,-0.0853,STRONG_UP,-7.13,149.05,272.16,-21.31,47.6,11.91,2.0351,HIGH,-,26.798,27.0326,25.1536,1,595.6971,LEADER,146.0092
6,0,EA,Electronic Arts,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,202.15,81.25,0.0108,0.0461,-0.0269,FLAT,-0.54,34.79,47.98,-7.46,52.8,3.93,3.014,HIGH,-,202.325,202.0073,198.9225,1,467.4625,LEADER,109.7455
7,1,LRCX,Lam Research,Technology,Industrial Machinery,large,389.04,88.64,0.0399,0.3035,0.3588,STRONG_DOWN,151.5,332.31,272.9,-20.01,60.4,65.81,2.2251,HIGH,-,337.016,297.9607,209.7018,1,304.9878,LEADER,79.9783
8,-1,INTC,Intel,Technology,Semiconductors,large,133.99,90.91,0.0542,0.097,1.7082,STRONG_DOWN,271.68,535.63,340.37,-24.17,52.0,97.11,1.7484,HIGH,-,116.344,101.4254,55.5119,1,286.8146,LEADER,78.6628
9,0,AMAT,Applied Materials,Technology,Semiconductors,large,617.11,81.82,0.0664,0.4182,0.3844,FLAT,149.18,266.83,161.47,-21.37,60.0,59.65,2.179,HIGH,-,501.921,445.3667,317.1886,1,268.3997,LEADER,73.1848
11,1,KLAC,KLA Corporation,Technology,Electronic Components,large,259.56,79.55,-0.0037,0.3894,0.3881,FLAT,122.03,207.33,217.82,-22.41,61.2,64.07,2.42,HIGH,-,214.8982,193.6026,144.1162,1,198.0454,LEADER,57.866
12,-1,MRVL,Marvell Technology,Technology,Semiconductors,large,310.58,86.36,0.0889,0.6333,2.1887,STRONG_DOWN,280.61,323.64,326.61,-26.36,55.2,104.3,6.1682,HIGH,-,257.599,197.9408,112.9971,1,171.2854,LEADER,53.2123
16,-2,ARM,Arm Holdings,Technology,Semiconductors,large,439.46,77.27,0.1325,0.6824,1.9744,STRONG_DOWN,283.54,202.99,173.35,-41.47,53.6,108.23,2.9428,HIGH,-,362.297,264.5317,167.8334,1,100.5302,LEADER,43.5462
21,-1,CSCO,Cisco,Telecommunications,Computer Communications Equipment,large,119.54,100.0,0.0716,0.1439,0.7659,STRONG_DOWN,58.99,84.4,169.61,-13.57,56.0,42.21,2.1338,HIGH,-,121.2995,105.0366,82.1445,1,111.9683,LEADER,33.7912
22,1,CSX,CSX Corporation,Industrials,Railroads,large,45.63,100.0,-0.0135,-0.0346,0.1522,FLAT,25.81,44.34,41.03,-11.89,55.6,24.28,1.7537,HIGH,-,46.4212,45.1586,38.8559,1,101.5303,LEADER,31.675
24,0,MAR,Marriott International,Consumer Discretionary,Hotels/Resorts,large,396.2,87.5,0.0,0.116,0.2371,STRONG_DOWN,28.28,53.62,65.46,-12.65,50.4,26.55,1.9098,HIGH,-,386.326,370.0596,318.1727,1,101.7881,LEADER,30.6747
28,-2,BKR,Baker Hughes,Energy,Oil Equipment & Services,large,58.41,100.0,-0.03,-0.0235,0.0128,STRONG_DOWN,29.89,52.35,84.38,-16.86,56.4,35.48,2.1103,HIGH,-,63.5675,64.2122,54.8497,1,83.2242,LEADER,28.7785
29,0,MNST,Monster Beverage,Consumer Staples,Soft Drinks,large,91.34,100.0,0.0139,0.0639,0.1624,STRONG_DOWN,22.87,44.78,87.63,-17.7,56.8,33.75,2.3497,HIGH,-,89.709,83.5212,76.1413,1,75.3585,LEADER,27.3887
30,-5,ODFL,Old Dominion Freight Line,Industrials,Trucking Freight/Courier Services,large,221.04,90.0,-0.0733,0.0307,0.1564,STRONG_DOWN,42.32,42.2,28.14,-26.06,55.2,39.72,1.8784,HIGH,-,230.6702,216.7879,176.03,1,58.645,LEADER,27.1412
32,1,FER,Ferrovial,Industrials,"Military, Government, Technical",large,69.22,80.0,0.0515,-0.0012,0.087,FLAT,5.63,40.49,82.0,-17.13,51.6,30.37,1.6298,HIGH,-,67.557,68.3142,65.031,1,68.7871,LEADER,26.2761
39,3,AEP,American Electric Power,Utilities,Electric Utilities,large,127.69,100.0,-0.0033,0.0142,0.0278,STRONG_DOWN,13.01,29.47,55.54,-9.09,52.8,20.39,2.482,HIGH,-,128.3015,130.6666,121.4318,1,76.3076,LEADER,23.6977
44,3,PCAR,Paccar,Consumer Discretionary,Motor Vehicles,large,118.95,75.0,0.02,0.1078,0.0681,FLAT,8.53,34.04,18.45,-15.29,47.6,30.99,2.1821,HIGH,-,115.164,117.5004,110.9834,1,52.2804,LEADER,21.6527
50,-7,AMGN,Amgen,Health Care,Biotechnology,large,337.6,88.89,-0.0391,0.065,0.0872,STRONG_DOWN,5.06,20.19,15.84,-16.57,52.0,24.37,2.8568,HIGH,-,341.385,338.9275,327.8775,1,43.0822,LEADER,19.3853
