rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,1,EFR.TO,ENERGY FUELS INC,Uranium,large,23.39,100.0,0.012,-0.0825,-0.0064,FLAT,26.02,199.87,181.47,-51.09,51.6,87.69,1.6318,HIGH,PROGRESS,23.196,26.0524,25.3054,0,117.6119,LAGGARD,52.0013
4,0,UEC,URANIUM ENERGY CORP,Uranium,large,12.01,86.96,-0.0122,-0.091,-0.026,FLAT,4.25,85.91,88.84,-53.23,50.4,93.58,2.4594,HIGH,EARLY,12.5755,13.7624,13.9421,0,46.2709,LAGGARD,36.4463
5,1,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4010.0,58.7,-0.0543,-0.2046,-0.3108,STRONG_UP,-31.61,28.23,98.27,-53.4,50.4,63.18,2.7203,HIGH,EARLY,4471.2,4961.42,5373.917,0,22.5169,LAGGARD,31.5197
7,1,1164.HK,CGN MINING CO LTD,Uranium,large,2.9,60.87,-0.0941,-0.1379,-0.3086,STRONG_UP,-4.61,29.3,7.57,-47.91,48.57,63.79,2.3791,HIGH,EARLY,3.1055,3.6342,3.6333,0,22.308,LAGGARD,29.0905
13,-4,PDN.AX,PALADIN ENERGY LTD,Uranium,large,10.09,67.39,-0.0619,-0.0389,-0.0911,FLAT,18.43,35.25,-26.35,-35.56,51.78,76.25,1.6423,HIGH,EARLY,10.6835,11.679,10.4675,0,23.9408,LAGGARD,23.1207
14,2,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,191.39,32.61,0.078,0.1011,0.0113,FLAT,-13.43,0.71,348.96,-66.37,51.2,91.39,2.3912,HIGH,SHIFT,174.8825,189.5228,247.5686,0,0.398,WEAK,22.7234
17,-3,URG,UR-ENERGY INC,Uranium,mid,1.5,76.09,-0.1456,-0.0126,0.021,STRONG_DOWN,11.94,47.06,3.45,-45.71,47.2,88.29,4.4391,HIGH,EARLY,1.652,1.6838,1.5884,0,25.1577,LAGGARD,21.9192
18,0,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,4.17,54.35,-0.0889,-0.1624,-0.1029,FLAT,-12.39,21.57,24.85,-47.5,49.2,66.51,2.7418,HIGH,EARLY,4.5655,4.9444,5.3364,0,15.9594,LAGGARD,21.0179
19,4,SMR,NUSCALE POWER CORP,Uranium,mid,11.74,4.35,0.0879,0.1006,0.0128,FLAT,-25.37,-68.44,23.45,-82.86,46.8,107.43,1.9863,HIGH,SHIFT,11.2805,11.5398,20.7242,0,-29.8151,WEAK,20.5438
20,0,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.72,34.78,0.1164,0.0839,0.0258,STRONG_UP,2.38,0.88,15.82,-53.26,49.01,71.89,3.6676,HIGH,PROGRESS,1.5675,1.7373,1.931,0,0.5998,WEAK,19.5659
23,-2,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,28.21,19.57,0.1178,0.1311,0.3235,STRONG_DOWN,-5.94,-24.39,85.35,-66.45,48.4,112.08,2.0776,HIGH,SHIFT,26.1687,25.3109,31.1462,0,-10.5325,WEAK,18.817
26,0,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.21,0.0,-0.0207,-0.0288,-0.2233,STRONG_UP,-22.68,-73.92,-71.12,-76.12,42.29,68.94,2.1196,HIGH,EARLY,1.2432,1.396,1.6372,0,-45.3464,WEAK,15.8333
37,-6,YCA.L,YELLOW CAKE PLC,Uranium,mid,549.5,41.3,-0.1073,-0.0587,-0.0817,FLAT,2.42,5.37,-9.25,-27.22,47.62,30.09,1.5713,HIGH,EARLY,562.9,582.32,583.4,0,8.4971,WEAK,11.758
