rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
109,82,UUUU,ENERGY FUELS INC,Energy,,mid,16.56,98.88,0.1658,0.0995,0.0422,STRONG_UP,22.94,206.1,171.48,-51.28,51.2,87.51,2.686,HIGH,EARLY,16.655,18.9034,18.3289,0,120.5841,LAGGARD,48.1963
202,162,SNDX,SYNDAX PHARMACEUTICALS INC,Health Care,,mid,19.0,72.62,0.0309,-0.0825,-0.31,STRONG_UP,-6.73,100.42,-1.4,-32.56,49.2,45.86,2.2958,HIGH,PROGRESS,18.648,20.4634,19.4959,0,107.7357,LAGGARD,38.1274
206,15,CDE,COEUR MINING INC,Materials,,large,17.51,76.47,0.0108,-0.0663,-0.1188,STRONG_UP,1.92,96.96,198.63,-43.18,52.4,74.73,1.6263,HIGH,EARLY,17.7695,18.3997,18.9031,0,67.9892,LAGGARD,37.7422
213,141,IMNM,IMMUNOME INC,Health Care,,mid,18.74,76.59,0.0094,-0.1559,-0.1576,STRONG_UP,-5.26,114.17,48.97,-33.59,49.2,56.13,2.05,HIGH,EARLY,19.8175,21.555,19.3395,0,100.0754,LAGGARD,36.9298
271,162,APP,AppLovin,Information Technology,Application Software,large,469.71,49.74,-0.0577,-0.0874,-0.2584,STRONG_UP,-28.52,44.66,508.59,-49.99,54.0,68.72,1.9855,HIGH,EARLY,535.348,491.9098,542.2457,0,35.0935,WEAK,32.151
290,94,MLYS,MINERALYS THERAPEUTICS INC,Health Care,,mid,24.63,67.86,0.0325,-0.16,-0.0709,FLAT,-33.47,82.72,110.33,-52.46,46.4,72.97,2.2217,HIGH,EARLY,26.6275,27.596,33.0925,0,52.5967,LAGGARD,31.2503
387,303,RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,,mid,96.79,57.94,0.0849,0.0424,0.0181,STRONG_UP,-13.47,56.14,137.93,-35.54,52.0,52.31,1.7797,HIGH,SHIFT,88.9543,88.3572,97.7658,0,55.8054,LAGGARD,27.1991
408,260,IRON,DISC MEDICINE INC,Health Care,,mid,70.79,46.83,0.031,0.0307,0.1282,FLAT,-19.09,37.16,71.61,-40.55,53.2,37.19,2.6095,HIGH,SHIFT,68.9505,68.545,73.1599,0,53.1619,WEAK,26.3061
439,7,INSM,Insmed Incorporated,Health Care,Biotechnology,large,95.8,21.03,-0.0313,-0.1386,-0.3898,STRONG_UP,-51.73,-6.7,48.05,-56.54,52.8,73.34,4.5431,HIGH,EARLY,101.2985,119.3948,153.5836,0,-4.8239,WEAK,25.3803
501,109,MSTR,MicroStrategy,Technology,Computer Software,large,112.53,0.0,-0.0828,-0.3193,-0.1975,FLAT,-29.84,-69.56,-23.21,-76.53,44.0,72.24,1.8853,HIGH,EARLY,134.9275,154.4594,191.8383,0,-42.3688,WEAK,23.98
507,25,VRRM,VERRA MOBILITY CORP CLASS A,Industrials,,mid,4.44,0.0,-0.0657,-0.7316,-0.8351,STRONG_UP,-79.83,-81.63,-83.43,-84.99,41.6,153.03,1.8917,HIGH,EARLY,5.801,11.0198,18.4685,0,-22.1905,WEAK,23.8132
529,21,SDRL,SEADRILL LTD,Energy,,mid,38.54,47.19,-0.0651,-0.1731,-0.0698,FLAT,26.44,37.59,-21.09,-29.67,50.4,34.59,1.5587,HIGH,EARLY,45.5255,47.646,38.7294,0,54.7766,WEAK,23.0499
535,-55,TTD,Trade Desk (The),Communication Services,Advertising,large,18.51,0.0,-0.0161,-0.0774,-0.2234,STRONG_UP,-50.2,-72.87,-80.97,-79.77,46.8,58.17,2.2073,HIGH,EARLY,20.4195,21.6672,33.7196,0,-58.6277,WEAK,22.9449
537,16,SOC,SABLE OFFSHORE CORP CLASS A,Energy,,mid,10.12,1.12,-0.0059,-0.217,-0.3321,STRONG_UP,91.67,-54.31,-30.11,-87.0,46.4,83.5,2.2516,HIGH,EARLY,12.577,13.3128,12.4945,0,-30.1803,WEAK,22.9164
550,-103,TDW,TIDEWATER INC,Energy,,mid,64.67,51.69,-0.0952,-0.1247,-0.0615,FLAT,21.61,39.08,-32.23,-29.03,51.2,38.88,1.8645,HIGH,EARLY,74.1265,80.5642,66.1056,0,51.4571,LAGGARD,22.7728
554,129,AMBA,AMBARELLA INC,Information Technology,,mid,69.97,47.09,0.0292,-0.2183,-0.0249,FLAT,-0.01,35.39,25.17,-49.06,50.4,75.81,1.5683,HIGH,EARLY,74.3285,70.627,72.1017,0,23.5286,WEAK,22.5622
562,-10,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,large,48.72,49.32,-0.0374,-0.0994,-0.1905,STRONG_UP,-25.91,19.23,13.83,-29.97,52.8,32.59,2.5192,HIGH,EARLY,50.3875,52.1797,56.2733,0,31.1609,WEAK,22.3427
565,88,LEU,CENTRUS ENERGY CORP CLASS A,Energy,,mid,191.39,13.48,0.2419,0.243,0.0783,FLAT,-13.43,0.71,348.96,-66.37,51.2,91.39,2.389,HIGH,SHIFT,174.8825,189.5228,247.5686,0,0.398,WEAK,22.3025
586,19,ZS,Zscaler,Technology,EDP Services,large,124.85,12.5,-0.0266,-0.2823,-0.2028,FLAT,-44.86,-58.79,-30.09,-64.89,49.2,92.17,3.5878,HIGH,EARLY,138.838,140.7444,211.5778,0,-31.3804,WEAK,21.6554
627,179,HAS,Hasbro,Consumer Discretionary,Leisure Products,large,84.74,62.33,0.0121,-0.117,-0.1786,STRONG_UP,5.74,27.62,50.86,-21.15,48.8,36.63,2.9971,HIGH,EARLY,85.0041,90.2216,85.043,0,36.8016,LAGGARD,20.532
638,60,INTU,Intuit,Information Technology,Application Software,large,267.0,1.06,-0.0384,-0.3659,-0.7322,STRONG_UP,-59.39,-64.64,-56.03,-66.71,45.6,65.52,2.1947,HIGH,EARLY,300.2845,354.059,521.2836,0,-44.9845,WEAK,20.2463
644,-15,CHTR,Charter Communications,Communication Services,Cable & Satellite,large,126.23,4.55,-0.1105,-0.0851,-0.3986,FLAT,-39.79,-67.33,-55.55,-69.82,48.8,69.3,4.2413,HIGH,EARLY,139.1815,166.1072,211.6223,0,-47.4122,WEAK,20.0808
648,208,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,large,609.94,40.87,-0.0139,-0.0876,-0.2607,STRONG_UP,-18.43,20.32,,-25.85,48.8,33.23,2.1995,HIGH,EARLY,618.3605,679.4107,695.4368,0,29.8373,WEAK,20.0135
650,-49,SBCF,SEACOAST BANKING OF FLORIDA,Financials,,mid,30.84,54.61,-0.018,-0.0144,-0.0745,FLAT,-2.38,26.35,43.68,-16.26,50.4,22.91,2.1002,HIGH,PROGRESS,30.4137,30.882,31.0393,0,57.9699,LAGGARD,19.9909
674,-17,IDCC,INTERDIGITAL INC,Information Technology,,mid,296.04,43.92,0.0403,0.0535,-0.4091,FLAT,-8.5,31.38,159.67,-36.48,52.0,55.95,1.9292,HIGH,PROGRESS,266.3795,297.6282,330.5968,0,29.1638,WEAK,19.5807
