ticker,name,sector,cap_band,market_cap,market_cap_b,d_setup,d_countdown,d_setup9_buy,d_setup9_sell,d_cd13_buy,d_cd13_sell,w_setup,w_countdown,w_setup9_buy,w_setup9_sell,w_cd13_buy,w_cd13_sell
MMM,3M,Industrials,large,76092350464,76.09,-5,0,False,False,False,False,-1,0,False,False,False,False
AOS,A. O. Smith,Industrials,mid,8898956288,8.9,-5,0,False,False,False,False,-1,-6,False,False,False,False
ABT,Abbott Laboratories,Health Care,large,178755452928,178.76,4,0,False,False,False,False,7,0,False,False,False,False
ABBV,AbbVie,Health Care,large,369388322816,369.39,1,0,False,False,False,False,0,0,False,False,False,False
ACN,Accenture,Information Technology,large,123905556480,123.91,6,0,False,False,False,False,11,2,False,False,False,False
ADBE,Adobe Inc.,Information Technology,large,99023159296,99.02,6,0,False,False,False,False,6,7,False,False,False,False
AMD,Advanced Micro Devices,Information Technology,large,354614378496,354.61,-9,-1,False,True,False,False,-5,0,False,False,False,False
AES,AES Corporation,Utilities,large,10196924416,10.2,0,0,False,False,False,False,-3,-5,False,False,False,False
AFL,Aflac,Financials,large,57904107520,57.9,1,-1,False,False,False,False,-2,0,False,False,False,False
A,Agilent Technologies,Health Care,large,32662323200,32.66,-3,0,False,False,False,False,-3,0,False,False,False,False
APD,Air Products,Materials,large,65360666624,65.36,-8,0,False,False,False,False,-4,0,False,False,False,False
ABNB,Airbnb,Consumer Discretionary,large,74909270016,74.91,-5,0,False,False,False,False,-2,0,False,False,False,False
AKAM,Akamai Technologies,Information Technology,large,17096797184,17.1,4,0,False,False,False,False,2,0,False,False,False,False
ALB,Albemarle Corporation,Materials,large,20994476032,20.99,-3,0,False,False,False,False,-4,0,False,False,False,False
ARE,Alexandria Real Estate Equities,Real Estate,mid,7491774976,7.49,-1,0,False,False,False,False,10,0,False,False,False,False
ALGN,Align Technology,Health Care,large,12240550912,12.24,-5,-6,False,False,False,False,-2,-10,False,False,False,False
ALLE,Allegion,Industrials,large,12151682048,12.15,-5,0,False,False,False,False,-1,0,False,False,False,False
LNT,Alliant Energy,Utilities,large,18732709888,18.73,2,0,False,False,False,False,-3,0,False,False,False,False
ALL,Allstate,Financials,large,53731704832,53.73,-8,0,False,False,False,False,-2,0,False,False,False,False
GOOGL,Alphabet Inc. (Class A),Communication Services,large,3577929793536,3577.93,-9,-1,False,True,False,False,-2,0,False,False,False,False
GOOG,Alphabet Inc. (Class C),Communication Services,large,3562082664448,3562.08,-9,-1,False,True,False,False,-2,0,False,False,False,False
MO,Altria,Consumer Staples,large,110389452800,110.39,1,0,False,False,False,False,-3,0,False,False,False,False
AMZN,Amazon,Consumer Discretionary,large,2251864408064,2251.86,-9,-1,False,True,False,False,-2,0,False,False,False,False
AMCR,Amcor,Materials,large,18449483776,18.45,1,0,False,False,False,False,-2,0,False,False,False,False
AEE,Ameren,Utilities,large,30871089152,30.87,1,0,False,False,False,False,-3,-5,False,False,False,False
AEP,American Electric Power,Utilities,large,72119992320,72.12,-13,0,False,False,False,False,-3,-4,False,False,False,False
AXP,American Express,Financials,large,206107787264,206.11,-10,-2,False,False,False,False,-3,0,False,False,False,False
AIG,American International Group,Financials,large,40694824960,40.69,1,0,False,False,False,False,-2,0,False,False,False,False
AMT,American Tower,Real Estate,large,81331109888,81.33,-10,0,False,False,False,False,6,0,False,False,False,False
AWK,American Water Works,Utilities,large,26975993856,26.98,3,0,False,False,False,False,2,0,False,False,False,False
AMP,Ameriprise Financial,Financials,large,40315506688,40.32,-5,0,False,False,False,False,-2,0,False,False,False,False
AME,Ametek,Industrials,large,50002690048,50.0,-9,0,False,True,False,False,-2,-8,False,False,False,False
AMGN,Amgen,Health Care,large,187563196416,187.56,-4,7,False,False,False,False,-1,-12,False,False,False,False
APH,Amphenol,Information Technology,large,157339516928,157.34,-9,-1,False,True,False,False,-2,0,False,False,False,False
ADI,Analog Devices,Information Technology,large,155414904832,155.41,-9,0,False,True,False,False,-3,0,False,False,False,False
AON,Aon plc,Financials,large,69454184448,69.45,1,0,False,False,False,False,4,0,False,False,False,False
APA,APA Corporation,Energy,large,14850693120,14.85,5,0,False,False,False,False,1,0,False,False,False,False
APO,Apollo Global Management,Financials,large,62128435200,62.13,0,0,False,False,False,False,-1,0,False,False,False,False
AAPL,Apple Inc.,Information Technology,large,3761492983808,3761.49,1,0,False,False,False,False,-2,0,False,False,False,False
AMAT,Applied Materials,Information Technology,large,276549238784,276.55,-9,0,False,True,False,False,-3,-8,False,False,False,False
APP,AppLovin,Information Technology,large,130575671296,130.58,-2,0,False,False,False,False,4,0,False,False,False,False
APTV,Aptiv,Consumer Discretionary,large,15317399552,15.32,1,3,False,False,False,False,8,0,False,False,False,False
