rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
1,DTR.AX,Dateline Resources Limited,Gold,mid,0.555,141.3,-5.44,146.74,11.5,74.4,STRONG_DOWN,-37.36,-30.84,-6.52,0.0,100.0,HIGH,1.8009,-,1,90.652,current,2025-12-25,63
2,EM3.AX,EMC Gold Corporation,Gold,small,0.2,124.72,-5.44,130.16,24.91,47.35,STRONG_DOWN,-46.43,-30.84,-15.59,-28.57,99.34,LOW,0.7276,-,0,86.543,current,2025-12-25,63
3,TM1.AX,Terra Metals Limited,Gold,small,0.27,107.69,-5.44,113.13,-9.39,-10.99,FLAT,-41.57,-30.84,-10.73,-39.33,98.68,HIGH,1.8159,-,1,78.075,current,2025-12-25,63
4,LAT.AX,Latitude 66 Limited,Gold,small,0.135,87.5,-5.44,92.94,-7.7,-6.6,STRONG_DOWN,-41.46,-30.84,-10.62,-34.15,98.03,LOW,0.2781,-,1,69.771,current,2025-12-25,63
5,OZM.AX,OzAurum Resources Limited,Gold,small,0.09,80.0,-5.44,85.44,-3.0,4.16,STRONG_DOWN,-37.69,-30.84,-6.85,-30.77,97.37,LOW,0.1977,-,1,65.442,current,2025-12-25,63
6,RGL.AX,Riversgold Limited,Gold,small,0.012,71.43,-5.44,76.87,-4.13,-7.07,FLAT,-47.62,-30.84,-16.78,-42.86,96.71,LOW,0.6214,-,1,64.795,current,2025-12-25,63
7,HMG.AX,Hamelin Gold Limited,Gold,small,0.12,71.43,-5.44,76.87,-11.82,2.35,STRONG_DOWN,-36.11,-30.84,-5.27,-33.33,96.71,LOW,0.0161,-,1,61.342,current,2025-12-25,63
8,VKA.AX,Viking Mines Limited,Gold,small,0.014,55.56,-5.44,61.0,-16.63,9.85,STRONG_DOWN,-43.48,-30.84,-12.64,-39.13,94.74,LOW,0.5996,-,1,56.614,current,2025-12-25,63
9,GMN.AX,Gold Mountain Limited,Gold,small,0.1,44.93,-5.44,50.37,-8.89,-20.51,FLAT,-50.0,-30.84,-19.16,-44.44,92.76,LOW,0.6482,-,1,53.724,current,2025-12-25,63
10,BEZ.AX,Besra Gold Inc,Gold,small,0.105,52.17,-5.44,57.61,-4.13,-7.65,FLAT,-33.33,-30.84,-2.49,-30.0,94.08,LOW,0.2171,-,1,52.015,current,2025-12-25,63
11,HRN.AX,Horizon Gold Limited,Gold,small,1.32,59.04,-5.44,64.48,-5.25,24.44,STRONG_DOWN,-21.68,-30.84,9.16,-14.56,95.39,LOW,0.3784,-,1,51.661,current,2025-12-25,63
12,PGO.AX,Pacgold Limited,Gold,small,0.115,36.9,-5.44,42.34,5.4,-13.76,FLAT,-51.11,-30.84,-20.27,-36.11,89.47,LOW,0.4849,-,1,49.858,current,2025-12-25,63
13,RC1.AX,Redcastle Resources Limited,Gold,small,0.13,38.3,-5.44,43.74,-11.27,-5.43,STRONG_DOWN,-47.73,-30.84,-16.89,-40.91,90.13,LOW,0.1711,-,1,49.602,current,2025-12-25,63
14,AAU.AX,Antilles Gold Limited,Gold,small,0.013,44.44,-5.44,49.88,-4.13,9.01,STRONG_DOWN,-35.29,-30.84,-4.45,-23.53,91.45,MED,1.189,-,1,48.722,current,2025-12-25,63
15,CDR.AX,Codrus Minerals Limited,Gold,small,0.024,41.18,-5.44,46.62,-4.13,-4.93,FLAT,-40.0,-30.84,-9.16,-40.0,90.79,LOW,0.0,-,0,48.633,current,2025-12-25,63
16,TOR.AX,Torque Metals Limited,Gold,small,0.42,44.83,-5.44,50.27,-4.13,64.72,FLAT,-28.57,-30.84,2.27,-16.0,92.11,MED,1.2224,-,1,47.06,current,2025-12-25,63
17,GGR.AX,Golden Globe Resources Limited,Gold,small,0.27,45.95,-5.44,51.39,-12.6,12.35,STRONG_DOWN,-21.87,-30.84,8.97,-15.62,93.42,LOW,0.5792,-,0,45.891,current,2025-12-25,63
18,NAG.AX,Nagambie Resources Limited,Gold,small,0.013,30.0,-5.44,35.44,4.21,3.6,FLAT,-42.11,-30.84,-11.27,-31.58,86.84,LOW,0.0668,-,0,43.609,current,2025-12-25,63
19,SNM.AX,Sentinel Metals Limited,Gold,small,0.555,33.73,-5.44,39.17,0.59,0.52,FLAT,-33.12,-30.84,-2.28,-27.92,88.16,LOW,0.3145,-,0,42.8,current,2025-12-25,63
20,OLY.AX,Olympio Metals Limited,Gold,small,0.06,30.43,-5.44,35.87,-7.35,10.58,STRONG_DOWN,-34.57,-30.84,-3.73,-25.93,87.5,LOW,0.0273,-,0,41.717,current,2025-12-25,63
21,ERM.AX,Emmerson Resources Limited,Gold,small,0.365,35.19,-5.44,40.63,-5.48,22.35,STRONG_DOWN,-23.81,-30.84,7.03,-13.1,88.82,HIGH,1.6897,-,1,40.789,current,2025-12-25,63
22,E79.AX,E79 Gold Mines Limited,Gold,small,0.032,23.08,-5.44,28.52,-12.7,-1.46,STRONG_DOWN,-45.65,-30.84,-14.81,-30.43,81.58,HIGH,1.8567,-,1,40.325,current,2025-12-25,63
23,TMX.AX,Terrain Minerals Limited,Gold,small,0.005,25.0,-5.44,30.44,20.87,22.35,STRONG_DOWN,-33.33,-30.84,-2.49,-16.67,84.21,LOW,0.6839,-,1,38.186,current,2025-12-25,63
24,A1G.AX,African Gold Limited,Gold,small,0.85,26.87,-5.44,32.31,-4.71,7.35,STRONG_DOWN,-28.84,-30.84,2.0,-20.93,86.18,LOW,0.6069,-,1,38.178,current,2025-12-25,63
25,AS1.AX,Asara Resources Limited,Gold,small,0.125,25.0,-5.44,30.44,-4.13,8.55,STRONG_DOWN,-32.26,-30.84,-1.42,-19.35,84.21,LOW,0.2022,-,1,37.865,current,2025-12-25,63
26,RTG.AX,RTG Mining Inc.,Gold,small,0.038,26.67,-5.44,32.11,7.64,18.55,STRONG_DOWN,-25.58,-30.84,5.26,-11.63,85.53,LOW,0.4385,-,1,36.925,current,2025-12-25,63
27,M2R.AX,Miramar Resources Limited,Gold,small,0.003,20.0,-5.44,25.44,-4.13,-2.65,STRONG_DOWN,-40.0,-30.84,-9.16,-40.0,79.61,LOW,0.4749,-,0,36.807,current,2025-12-25,63
28,AWJ.AX,Auric Mining Limited,Gold,small,0.34,23.64,-5.44,29.08,-5.57,45.98,FLAT,-29.11,-30.84,1.73,-13.92,82.89,LOW,0.8943,-,1,35.98,current,2025-12-25,63
29,HMX.AX,Hammer Metals Limited,Gold,small,0.033,17.86,-5.44,23.3,-7.07,-4.32,STRONG_DOWN,-38.0,-30.84,-7.16,-34.0,78.95,LOW,0.1532,-,0,35.153,current,2025-12-25,63
30,BCN.AX,Beacon Minerals Limited,Gold,small,3.15,16.67,-5.44,22.11,-5.38,0.9,STRONG_DOWN,-38.13,-30.84,-7.29,-28.08,77.63,MED,1.1043,-,1,34.32,current,2025-12-25,63
31,TOK.AX,Tolu Minerals Limited,Gold,small,1.6,25.49,-5.44,30.93,14.39,48.83,FLAT,-16.26,-30.84,14.58,0.0,84.87,LOW,0.4946,-,1,33.459,current,2025-12-25,63
32,GWR.AX,GWR Group Limited,Gold,small,0.14,21.74,-5.44,27.18,-0.42,9.85,STRONG_DOWN,-23.53,-30.84,7.31,-17.65,80.92,LOW,0.1168,-,1,32.955,current,2025-12-25,63
33,VTM.AX,Victory Metals Limited,Gold,small,1.475,23.43,-5.44,28.87,1.61,39.41,FLAT,-18.38,-30.84,12.46,-4.53,82.24,MED,1.0194,-,1,32.482,current,2025-12-25,63
34,RR1.AX,Reach Resources Limited,Gold,small,0.0115,15.0,-5.44,20.44,0.42,-0.99,FLAT,-35.29,-30.84,-4.45,-32.35,76.32,LOW,0.4397,-,1,32.407,current,2025-12-25,63
35,AA2.AX,Ariana Resources plc,Gold,small,0.34,21.43,-5.44,26.87,-14.65,14.24,STRONG_DOWN,-21.43,-30.84,9.41,-19.05,80.26,LOW,0.2274,-,0,32.003,current,2025-12-25,63
36,ORE.AX,Orezone Gold Corporation,Gold,mid,2.25,10.84,-5.44,16.28,2.01,3.87,STRONG_DOWN,-38.91,-30.84,-8.07,-27.65,73.03,HIGH,2.9685,-,0,30.842,current,2025-12-25,63
37,BCM.AX,Brazilian Critical Minerals Limited,Gold,small,0.03,11.11,-5.44,16.55,-4.13,3.43,STRONG_DOWN,-37.5,-30.84,-6.66,-25.0,73.68,LOW,0.5321,-,1,30.722,current,2025-12-25,63
38,R8R.AX,Regener8 Resources NL,Gold,small,0.165,17.86,-5.44,23.3,-1.0,72.35,FLAT,-21.43,-30.84,9.41,-13.16,78.95,LOW,0.0,-,1,30.182,current,2025-12-25,63
39,TAM.AX,Tanami Gold NL,Gold,small,0.093,10.71,-5.44,16.15,-7.25,22.35,FLAT,-34.4,-30.84,-3.56,-25.6,72.37,LOW,0.6827,-,1,29.239,current,2025-12-25,63
40,CTO.AX,Citigold Corporation Limited,Gold,small,0.017,6.25,-5.44,11.69,-9.68,11.82,FLAT,-43.48,-30.84,-12.64,-26.09,69.08,LOW,0.0564,-,1,29.192,current,2025-12-25,63
41,GBR.AX,Great Boulder Resources Limited,Gold,small,0.093,5.68,-5.44,11.12,-15.55,-8.76,STRONG_DOWN,-42.58,-30.84,-11.74,-40.0,68.42,LOW,0.5975,-,1,28.496,current,2025-12-25,63
42,GUL.AX,Gullewa Limited,Gold,small,0.1,13.64,-5.44,19.08,-4.13,22.35,FLAT,-22.5,-30.84,8.34,-16.67,75.66,LOW,0.0836,-,1,27.828,current,2025-12-25,63
43,TGM.AX,Theta Gold Mines Limited,Gold,small,0.21,16.67,-5.44,22.11,-2.92,11.71,STRONG_DOWN,-16.33,-30.84,14.51,-14.29,77.63,LOW,0.1758,-,1,27.78,current,2025-12-25,63
44,AXN.AX,Alliance Nickel Limited,Gold,small,0.04,11.11,-5.44,16.55,-6.56,9.3,STRONG_DOWN,-27.45,-30.84,3.39,-21.57,73.68,LOW,0.2314,-,0,27.707,current,2025-12-25,63
45,GPR.AX,Geopacific Resources Limited,Gold,small,0.039,5.41,-5.44,10.85,-22.88,0.35,STRONG_DOWN,-37.7,-30.84,-6.86,-36.07,67.76,LOW,0.0,-,1,26.726,current,2025-12-25,63
46,RXR.AX,Robex Resources Inc.,Gold,mid,5.98,6.79,-5.44,12.23,-7.67,2.08,STRONG_DOWN,-29.77,-30.84,1.07,-24.87,69.74,LOW,0.4051,-,1,25.493,current,2025-12-25,63
47,ORP.AX,Orpheus Uranium Limited,Gold,small,0.055,10.0,-5.44,15.44,-9.3,5.68,STRONG_DOWN,-21.43,-30.84,9.41,-21.43,71.71,LOW,0.7869,-,1,24.866,current,2025-12-25,63
48,RSG.AX,Resolute Mining Limited,Gold,mid,1.345,7.17,-5.44,12.61,-1.45,13.84,FLAT,-25.61,-30.84,5.23,-17.99,71.05,LOW,0.8736,-,1,24.79,current,2025-12-25,63
49,ALK.AX,Alkane Resources Limited,Gold,mid,1.47,6.91,-5.44,12.35,-2.4,6.11,STRONG_DOWN,-25.77,-30.84,5.07,-17.65,70.39,LOW,0.6158,-,1,24.536,current,2025-12-25,63
50,BM1.AX,Ballard Mining Limited,Gold,small,0.695,0.0,-5.44,5.44,3.63,6.59,FLAT,-43.65,-30.84,-12.81,-29.44,59.87,HIGH,2.377,-,0,23.98,current,2025-12-25,63
51,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.995,12.43,-5.44,17.87,-4.13,22.35,FLAT,-11.16,-30.84,19.68,-11.16,75.0,LOW,0.0,PROGRESS,0,23.744,current,2025-12-25,63
52,EVN.AX,Evolution Mining Limited,Gold,large,12.9,0.37,-5.44,5.81,1.53,2.79,STRONG_DOWN,-34.17,-30.84,-3.33,-26.16,65.79,MED,1.3828,-,1,23.06,current,2025-12-25,63
53,TRE.AX,Toubani Resources Inc,Gold,small,0.42,5.0,-5.44,10.44,-4.13,9.85,STRONG_DOWN,-26.21,-30.84,4.63,-18.45,67.11,LOW,0.6129,-,1,22.92,current,2025-12-25,63
54,PDI.AX,Predictive Discovery Limited,Gold,mid,0.765,0.66,-5.44,6.1,-8.5,2.87,STRONG_DOWN,-29.85,-30.84,0.99,-23.88,66.45,MED,1.1105,-,1,22.078,current,2025-12-25,63
55,TTM.AX,Titan Minerals Limited,Gold,small,0.835,0.0,-5.44,5.44,-7.03,9.33,FLAT,-35.78,-30.84,-4.94,-28.02,59.87,LOW,0.3848,-,1,21.619,current,2025-12-25,63
56,PEC.AX,Perpetual Resources Limited,Gold,small,0.01,0.0,-5.44,5.44,-4.13,-0.73,STRONG_DOWN,-35.71,-30.84,-4.87,-28.57,59.87,LOW,0.0317,-,0,21.598,current,2025-12-25,63
57,PVW.AX,PVW Resources Limited,Gold,small,0.015,-6.25,-5.44,-0.81,-10.38,-9.47,STRONG_DOWN,-50.0,-30.84,-19.16,-42.31,53.29,LOW,0.5839,-,0,21.411,current,2025-12-25,63
58,KAU.AX,Kaiser Reef Limited,Gold,small,0.27,-3.57,-5.44,1.87,-7.7,-8.42,FLAT,-40.96,-30.84,-10.12,-34.94,57.89,LOW,0.9774,-,1,21.151,current,2025-12-25,63
