rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
1,MXL,MAXLINEAR INC,Information Technology,small,60.32,275.12,12.97,262.15,89.37,,STRONG_DOWN,-0.22,-0.85,0.63,0.0,100.0,HIGH,14.5531,-,1,134.671,period_1,2026-03-30,19
2,AEHR,AEHR TEST SYSTEMS,Information Technology,small,95.91,218.43,12.97,205.46,5.65,,STRONG_DOWN,-3.66,-0.85,-2.81,-1.49,99.48,MED,1.0673,-,1,112.871,period_1,2026-03-30,19
3,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,large,195.04,122.12,12.97,109.15,11.02,,STRONG_DOWN,-5.6,-0.85,-4.75,0.0,98.95,LOW,0.8818,-,1,74.77,period_1,2026-03-30,19
4,NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,mid,17.28,120.69,12.97,107.72,30.17,,STRONG_DOWN,-6.65,-0.85,-5.8,-6.65,98.43,HIGH,1.9513,-,1,74.357,period_1,2026-03-30,19
5,INBX,INHIBRX BIOSCIENCES INC,Health Care,small,129.06,115.53,12.97,102.56,55.92,,STRONG_DOWN,-7.26,-0.85,-6.41,0.0,100.0,HIGH,2.2026,-,1,72.947,period_1,2026-03-30,19
6,INTC,Intel,Information Technology,large,82.54,100.39,12.97,87.42,24.9,,STRONG_DOWN,-4.72,-0.85,-3.87,0.0,97.91,HIGH,2.7321,-,1,65.502,period_1,2026-03-30,19
7,AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,mid,162.17,90.36,12.97,77.39,-1.53,,STRONG_DOWN,-15.75,-0.85,-14.9,-0.8,96.86,MED,1.3174,-,1,64.484,period_1,2026-03-30,19
8,RMBS,RAMBUS INC,Information Technology,large,158.4,98.67,12.97,85.7,24.12,,STRONG_DOWN,-1.4,-0.85,-0.55,0.0,97.38,HIGH,1.9027,-,1,63.659,period_1,2026-03-30,19
9,BE,BLOOM ENERGY CLASS A CORP,Industrials,large,231.17,93.43,12.97,80.46,5.17,,STRONG_DOWN,-5.1,-0.85,-4.25,-2.69,100.0,LOW,0.6047,-,1,63.459,period_1,2026-03-30,19
10,VICR,VICOR CORP,Industrials,mid,273.53,92.33,12.97,79.36,20.94,,STRONG_DOWN,-3.33,-0.85,-2.48,0.0,99.58,LOW,0.8691,-,1,62.362,period_1,2026-03-30,19
11,JBIO,JADE BIOSCIENCES INC,Health Care,small,24.98,88.39,12.97,75.42,5.56,,STRONG_DOWN,-3.31,-0.85,-2.46,-1.58,99.61,HIGH,1.6298,-,1,60.789,period_1,2026-03-30,19
12,MRVL,Marvell Technology,Technology,large,164.31,87.21,12.97,74.24,10.4,,STRONG_DOWN,-0.91,-0.85,-0.06,-0.76,100.0,HIGH,1.7157,-,1,59.714,period_1,2026-03-30,19
13,PENG,PENGUIN SOLUTIONS INC,Information Technology,small,30.69,88.98,12.97,76.01,8.48,,STRONG_DOWN,-2.03,-0.85,-1.18,0.0,96.34,HIGH,1.9555,-,1,59.66,period_1,2026-03-30,19
14,SITM,SITIME CORP,Information Technology,mid,570.26,83.23,12.97,70.26,7.25,,STRONG_DOWN,-2.05,-0.85,-1.2,0.0,95.81,LOW,0.8348,-,1,57.207,period_1,2026-03-30,19
15,EOSE,EOS ENERGY ENTERPRISES INC CLASS A,Industrials,small,7.67,74.52,12.97,61.55,6.39,,STRONG_DOWN,-10.22,-0.85,-9.37,0.0,99.17,MED,1.4013,-,0,57.182,period_1,2026-03-30,19
16,AVNS,AVANOS MEDICAL INC,Health Care,small,24.66,79.61,12.97,66.64,-0.66,,STRONG_DOWN,-2.84,-0.85,-1.99,-0.24,99.22,MED,1.2185,-,1,57.019,period_1,2026-03-30,19
17,HUT,HUT CORP,Information Technology,mid,76.87,79.94,12.97,66.97,-3.42,,STRONG_DOWN,-4.79,-0.85,-3.94,-4.79,95.29,MED,1.079,-,1,56.557,period_1,2026-03-30,19
18,AMD,Advanced Micro Devices,Information Technology,large,347.81,77.42,12.97,64.45,25.76,,STRONG_DOWN,-1.24,-0.85,-0.39,0.0,94.76,HIGH,2.1498,-,1,54.325,period_1,2026-03-30,19
19,SNDK,Sandisk,Information Technology,large,989.9,72.91,12.97,59.94,7.68,,STRONG_DOWN,-6.38,-0.85,-5.53,0.0,93.72,LOW,0.6007,-,1,53.751,period_1,2026-03-30,19
20,ON,ON Semiconductor,Information Technology,large,98.4,76.79,12.97,63.82,14.27,,STRONG_DOWN,-0.02,-0.85,0.83,0.0,94.24,MED,1.4773,-,1,53.551,period_1,2026-03-30,19
