rank,ticker,name,commodity,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
1,047040.KS,Daewoo Eng & Co,uranium,large,32850.0,537.86,-8.77,546.63,-18.3,42.74,STRONG_DOWN,-25.54,-27.82,2.28,-11.57,100.0,LOW,0.1854,-,1,247.968,commodities_top_jan_2026,2026-01-29,72
2,DBG.V,Doubleview Gold,gold,small,2.7,117.74,-8.77,126.51,-17.09,-2.19,STRONG_DOWN,-33.21,-27.82,-5.39,-19.88,100.0,LOW,0.7137,-,1,82.221,commodities_top_jan_2026,2026-01-29,72
3,006360.KS,Gs En & Co,uranium,large,37350.0,99.41,-8.77,108.18,-14.0,-3.07,STRONG_DOWN,-21.19,-27.82,6.63,-13.34,98.39,LOW,0.5749,-,1,70.8,commodities_top_jan_2026,2026-01-29,72
4,ELVR,ELEVRA LITHIUM LTD,lithium,mid,97.99,91.87,-8.77,100.64,-5.75,54.08,STRONG_DOWN,-27.42,-27.82,0.4,-0.82,100.0,MED,1.0395,-,0,70.136,commodities_top_jan_2026,2026-01-29,72
5,CXU.AX,Cauldron Energy,uranium,small,0.06,76.47,-8.77,85.24,-13.8,-6.16,STRONG_DOWN,-42.86,-27.82,-15.04,-13.04,96.77,LOW,0.2907,-,1,67.639,commodities_top_jan_2026,2026-01-29,72
6,SGML,"ticker
SGML    SIGMA LITHIUM CORP
SGML    Sigma Lithium Corp
Name: name, dtype: object",lithium,mid,21.71,70.81,-8.77,79.58,-15.97,43.26,STRONG_DOWN,-44.75,-27.82,-16.93,-8.2,89.47,MED,1.1962,-,1,63.752,commodities_top_jan_2026,2026-01-29,72
7,ELV.AX,ELEVRA LITHIUM LTD,lithium,mid,13.51,80.86,-8.77,89.63,-8.16,51.82,STRONG_DOWN,-21.1,-27.82,6.72,-1.31,97.37,LOW,0.6701,-,0,63.047,commodities_top_jan_2026,2026-01-29,72
8,EUR.AX,EUROPEAN LITHIUM LTD,lithium,small,0.455,78.43,-8.77,87.2,-6.35,94.89,FLAT,-22.22,-27.82,5.6,-5.21,94.74,HIGH,2.3615,-,1,61.622,commodities_top_jan_2026,2026-01-29,72
9,GTWO.TO,G2 Golfields,gold,mid,12.05,58.97,-8.77,67.74,4.72,3.8,FLAT,-37.99,-27.82,-10.17,-2.82,99.05,LOW,0.3857,-,1,59.862,commodities_top_jan_2026,2026-01-29,72
10,2308.TW,Delta Electronics Inc,lithium,large,2200.0,75.3,-8.77,84.07,-13.06,30.81,STRONG_DOWN,-14.98,-27.82,12.84,-3.51,92.11,LOW,0.8729,-,1,57.409,commodities_top_jan_2026,2026-01-29,72
11,NEWP,New Pacific Metals,silver,mid,5.71,49.48,-8.77,58.25,-13.03,17.53,STRONG_DOWN,-41.19,-27.82,-13.37,-3.55,100.0,LOW,0.8208,-,1,57.311,commodities_top_jan_2026,2026-01-29,72
12,OM.TO,"ticker
OM.TO    Osisko Metals
OM.TO    Osisko Metals
Name: name, dtype: object",copper,mid,1.74,53.98,-8.77,62.75,2.31,15.43,STRONG_DOWN,-34.19,-27.82,-6.37,0.0,100.0,LOW,0.9664,-,1,57.011,commodities_top_jan_2026,2026-01-29,72
13,FDY.TO,Faraday Copper,copper,mid,5.28,53.49,-8.77,62.26,4.91,12.86,STRONG_DOWN,-33.95,-27.82,-6.13,-4.35,98.75,LOW,0.5757,-,1,56.368,commodities_top_jan_2026,2026-01-29,72
14,5802.T,Sumitomo Electric Industries,lithium,large,11305.0,65.99,-8.77,74.76,-1.22,15.54,STRONG_DOWN,-22.31,-27.82,5.51,-0.35,84.21,LOW,0.5694,-,1,53.514,commodities_top_jan_2026,2026-01-29,72
15,ABRA.TO,"ticker
ABRA.TO    AbraSilver Resources
ABRA.TO    AbraSilver Resources
ABRA.TO    AbraSilver Resources
Name: name, dtype: object",copper,mid,18.37,40.12,-8.77,48.89,1.24,25.08,STRONG_DOWN,-43.5,-27.82,-15.68,0.0,97.5,LOW,0.6386,-,1,53.51,commodities_top_jan_2026,2026-01-29,72
16,RUP.TO,Rupert Resources,gold,mid,10.92,51.46,-8.77,60.23,-5.31,61.52,FLAT,-26.77,-27.82,1.05,-8.24,98.1,LOW,0.542,-,1,53.207,commodities_top_jan_2026,2026-01-29,72
17,LAR.TO,LITHIUM ARGENTINA AG,lithium,mid,16.0,60.48,-8.77,69.25,1.8,54.24,STRONG_DOWN,-30.89,-27.82,-3.07,0.0,81.58,LOW,0.6065,-,1,53.095,commodities_top_jan_2026,2026-01-29,72
18,002812.SZ,YUNNAN ENERGY NEW MATERIAL-A,lithium,large,81.27,67.05,-8.77,75.82,-15.95,13.52,STRONG_DOWN,-11.41,-27.82,16.41,-7.17,86.84,MED,1.2584,-,1,51.457,commodities_top_jan_2026,2026-01-29,72
