date,ticker,name,group,rs_ratio,rs_momentum,close
2025-01-14,AAPL,Apple,tech,97.1682,100.0,232.0126
2025-01-15,AAPL,Apple,tech,97.468,100.0,236.5776
2025-01-16,AAPL,Apple,tech,93.6785,100.0,227.0199
2025-01-17,AAPL,Apple,tech,93.658,100.0,228.7305
2025-01-21,AAPL,Apple,tech,89.5609,100.0,221.4304
2025-01-22,AAPL,Apple,tech,89.7726,100.0,222.6139
2025-01-23,AAPL,Apple,tech,88.8825,100.0,222.4449
2025-01-24,AAPL,Apple,tech,88.8134,100.0,221.5696
2025-01-27,AAPL,Apple,tech,91.043,100.0,228.6112
2025-01-28,AAPL,Apple,tech,94.0823,100.0,236.9655
2025-01-29,AAPL,Apple,tech,94.8059,100.0,238.0595
2025-01-30,AAPL,Apple,tech,93.7513,100.0,236.2992
2025-01-31,AAPL,Apple,tech,93.8294,100.0,234.7178
2025-02-03,AAPL,Apple,tech,90.9032,100.0,226.7712
2025-02-04,AAPL,Apple,tech,92.5335,100.0,231.5352
2025-02-05,AAPL,Apple,tech,91.7491,100.0,231.207
2025-02-06,AAPL,Apple,tech,92.3035,100.0,231.9529
2025-02-07,AAPL,Apple,tech,90.9945,100.0,226.3933
2025-02-10,AAPL,Apple,tech,90.7604,100.0,226.6621
2025-02-11,AAPL,Apple,tech,92.4855,100.0,231.6105
2025-02-12,AAPL,Apple,tech,94.653,100.0,235.8421
2025-02-13,AAPL,Apple,tech,95.775,98.5662,240.4819
2025-02-14,AAPL,Apple,tech,97.3524,99.8814,243.5386
2025-02-18,AAPL,Apple,tech,97.2783,103.8427,243.4091
2025-02-19,AAPL,Apple,tech,97.2819,103.8693,243.8074
2025-02-20,AAPL,Apple,tech,98.6602,110.1599,244.7632
2025-02-21,AAPL,Apple,tech,100.2466,111.6672,244.4844
2025-02-24,AAPL,Apple,tech,100.8024,113.4108,246.0277
2025-02-25,AAPL,Apple,tech,100.4084,113.0554,245.968
2025-02-26,AAPL,Apple,tech,98.1163,107.7692,239.317
2025-02-27,AAPL,Apple,tech,97.3009,103.4211,236.2702
2025-02-28,AAPL,Apple,tech,97.8021,103.1604,240.7905
2025-03-03,AAPL,Apple,tech,97.7093,104.2218,236.9971
2025-03-04,AAPL,Apple,tech,98.3738,104.8433,234.9062
2025-03-05,AAPL,Apple,tech,97.1847,106.9101,234.717
2025-03-06,AAPL,Apple,tech,97.9898,105.8966,234.3088
2025-03-07,AAPL,Apple,tech,99.0293,107.9349,238.0326
2025-03-10,AAPL,Apple,tech,96.2294,104.2532,226.4928
2025-03-11,AAPL,Apple,tech,94.4988,103.8511,219.8817
2025-03-12,AAPL,Apple,tech,93.0324,102.5033,216.0384
2025-03-13,AAPL,Apple,tech,91.0861,98.4869,208.7701
2025-03-14,AAPL,Apple,tech,91.2332,96.387,212.5636
2025-03-17,AAPL,Apple,tech,90.6786,94.6787,213.0714
2025-03-18,AAPL,Apple,tech,90.448,92.9078,211.767
2025-03-19,AAPL,Apple,tech,89.4189,91.9207,214.306
2025-03-20,AAPL,Apple,tech,87.5735,90.0204,213.1709
2025-03-21,AAPL,Apple,tech,88.8077,90.0137,217.3228
2025-03-24,AAPL,Apple,tech,87.9626,87.7462,219.7721
2025-03-25,AAPL,Apple,tech,88.54,87.8352,222.779
2025-03-26,AAPL,Apple,tech,87.8033,87.4462,220.5687
2025-03-27,AAPL,Apple,tech,88.838,90.5436,222.8786
2025-03-28,AAPL,Apple,tech,87.745,90.179,216.9544
2025-03-31,AAPL,Apple,tech,89.0559,91.0572,221.166
2025-04-01,AAPL,Apple,tech,89.8262,91.9321,222.2215
2025-04-02,AAPL,Apple,tech,90.1801,91.6708,222.9184
2025-04-03,AAPL,Apple,tech,87.216,89.7425,202.3083
2025-04-04,AAPL,Apple,tech,86.4271,88.2001,187.5625
2025-04-07,AAPL,Apple,tech,83.4058,84.2234,180.6726
2025-04-08,AAPL,Apple,tech,80.5077,83.6623,171.6718
2025-04-09,AAPL,Apple,tech,86.1162,91.1295,197.9871
2025-04-10,AAPL,Apple,tech,85.2517,91.6366,189.5937
2025-04-11,AAPL,Apple,tech,89.0146,97.7258,197.2901
2025-04-14,AAPL,Apple,tech,91.1848,99.947,201.6412
2025-04-15,AAPL,Apple,tech,91.0841,100.4471,201.2628
2025-04-16,AAPL,Apple,tech,92.6851,102.4733,193.427
