date,ticker,name,group,rs_ratio,rs_momentum,close
2025-01-13,BOTZ,Robotics & AI,thematic,97.1255,100.0,31.2481
2025-01-14,BOTZ,Robotics & AI,thematic,97.0845,100.0,31.2779
2025-01-15,BOTZ,Robotics & AI,thematic,98.0753,100.0,32.1718
2025-01-16,BOTZ,Robotics & AI,thematic,98.871,100.0,32.3705
2025-01-17,BOTZ,Robotics & AI,thematic,99.2098,100.0,32.8075
2025-01-21,BOTZ,Robotics & AI,thematic,101.1375,100.0,33.7511
2025-01-22,BOTZ,Robotics & AI,thematic,101.756,100.0,34.1484
2025-01-23,BOTZ,Robotics & AI,thematic,101.6452,100.0,34.2974
2025-01-24,BOTZ,Robotics & AI,thematic,101.8247,100.0,34.2577
2025-01-27,BOTZ,Robotics & AI,thematic,98.8536,100.0,32.7876
2025-01-28,BOTZ,Robotics & AI,thematic,100.2977,100.0,33.5525
2025-01-29,BOTZ,Robotics & AI,thematic,99.4072,100.0,33.1055
2025-01-30,BOTZ,Robotics & AI,thematic,99.2326,100.0,33.2247
2025-01-31,BOTZ,Robotics & AI,thematic,98.9582,100.0,32.9565
2025-02-03,BOTZ,Robotics & AI,thematic,97.9472,100.0,32.4003
2025-02-04,BOTZ,Robotics & AI,thematic,98.8455,100.0,32.9168
2025-02-05,BOTZ,Robotics & AI,thematic,99.8425,100.0,33.3836
2025-02-06,BOTZ,Robotics & AI,thematic,99.3191,100.0,33.324
2025-02-07,BOTZ,Robotics & AI,thematic,100.2665,100.0,33.3339
2025-02-10,BOTZ,Robotics & AI,thematic,101.6971,100.0,34.0392
2025-02-11,BOTZ,Robotics & AI,thematic,100.8785,100.0,33.7908
2025-02-12,BOTZ,Robotics & AI,thematic,101.5615,104.5673,33.91
2025-02-13,BOTZ,Robotics & AI,thematic,99.9706,102.9727,33.7312
2025-02-14,BOTZ,Robotics & AI,thematic,99.5634,101.5173,33.5922
2025-02-18,BOTZ,Robotics & AI,thematic,101.2386,102.3946,34.2577
2025-02-19,BOTZ,Robotics & AI,thematic,100.5322,101.3329,34.0988
2025-02-20,BOTZ,Robotics & AI,thematic,100.9228,99.7877,34.0888
2025-02-21,BOTZ,Robotics & AI,thematic,100.6146,98.8783,33.4035
