date,ticker,name,group,rs_ratio,rs_momentum,close
2025-04-23,BOTZ,Robotics & AI,thematic,95.0513,100.0,27.3048
2025-04-24,BOTZ,Robotics & AI,thematic,95.7139,100.0,27.9604
2025-04-25,BOTZ,Robotics & AI,thematic,97.3493,100.0,28.3974
2025-04-28,BOTZ,Robotics & AI,thematic,96.8052,100.0,28.318
2025-04-29,BOTZ,Robotics & AI,thematic,96.6823,100.0,28.4471
2025-04-30,BOTZ,Robotics & AI,thematic,96.2755,100.0,28.3676
2025-05-01,BOTZ,Robotics & AI,thematic,96.9129,100.0,28.5166
2025-05-02,BOTZ,Robotics & AI,thematic,97.1235,100.0,29.0828
2025-05-05,BOTZ,Robotics & AI,thematic,97.4133,100.0,29.0728
2025-05-06,BOTZ,Robotics & AI,thematic,98.0402,100.0,29.043
2025-05-07,BOTZ,Robotics & AI,thematic,96.999,100.0,28.9238
2025-05-08,BOTZ,Robotics & AI,thematic,97.412,100.0,29.2914
2025-05-09,BOTZ,Robotics & AI,thematic,96.939,100.0,29.1424
2025-05-12,BOTZ,Robotics & AI,thematic,98.437,100.0,30.4038
2025-05-13,BOTZ,Robotics & AI,thematic,99.563,100.0,30.821
2025-05-14,BOTZ,Robotics & AI,thematic,100.3598,100.0,30.8806
2025-05-15,BOTZ,Robotics & AI,thematic,99.3254,100.0,30.8408
2025-05-16,BOTZ,Robotics & AI,thematic,98.8506,100.0,30.9948
2025-05-19,BOTZ,Robotics & AI,thematic,98.1805,100.0,30.7812
2025-05-20,BOTZ,Robotics & AI,thematic,99.0728,100.0,30.9799
2025-05-21,BOTZ,Robotics & AI,thematic,99.558,100.0,30.4535
2025-05-22,BOTZ,Robotics & AI,thematic,100.1697,105.3849,30.5429
2025-05-23,BOTZ,Robotics & AI,thematic,99.9832,104.4605,30.3641
2025-05-27,BOTZ,Robotics & AI,thematic,101.1715,103.9263,31.2977
2025-05-28,BOTZ,Robotics & AI,thematic,100.6467,103.9683,30.8706
2025-05-29,BOTZ,Robotics & AI,thematic,101.1445,104.6153,31.0991
2025-05-30,BOTZ,Robotics & AI,thematic,99.8596,103.7228,30.6919
2025-06-02,BOTZ,Robotics & AI,thematic,100.0065,103.1922,30.7614
2025-06-03,BOTZ,Robotics & AI,thematic,100.2376,103.2064,31.0892
2025-06-04,BOTZ,Robotics & AI,thematic,100.7842,103.4604,31.1885
2025-06-05,BOTZ,Robotics & AI,thematic,100.6711,102.6834,31.0693
2025-06-06,BOTZ,Robotics & AI,thematic,100.192,103.2917,31.1885
2025-06-09,BOTZ,Robotics & AI,thematic,100.1752,102.8366,31.1885
2025-06-10,BOTZ,Robotics & AI,thematic,100.3137,103.4813,31.3871
2025-06-11,BOTZ,Robotics & AI,thematic,100.3765,101.9703,31.3176
2025-06-12,BOTZ,Robotics & AI,thematic,99.7605,100.1983,31.1984
2025-06-13,BOTZ,Robotics & AI,thematic,99.3737,99.0174,30.7018
2025-06-16,BOTZ,Robotics & AI,thematic,99.571,100.2473,31.0594
2025-06-17,BOTZ,Robotics & AI,thematic,98.9935,100.1445,30.5826
2025-06-18,BOTZ,Robotics & AI,thematic,99.786,101.6353,30.8309
2025-06-20,BOTZ,Robotics & AI,thematic,97.7295,98.6441,30.2449
2025-06-23,BOTZ,Robotics & AI,thematic,97.7969,98.2311,30.5329
2025-06-24,BOTZ,Robotics & AI,thematic,99.0857,98.9178,31.2282
2025-06-25,BOTZ,Robotics & AI,thematic,102.2635,102.2807,31.3275
2025-06-26,BOTZ,Robotics & AI,thematic,104.2362,103.0292,32.0626
2025-06-27,BOTZ,Robotics & AI,thematic,106.5139,105.8296,32.3802
2025-06-30,BOTZ,Robotics & AI,thematic,109.1733,107.938,32.5096
2025-07-01,BOTZ,Robotics & AI,thematic,105.702,105.8506,32.0018
2025-07-02,BOTZ,Robotics & AI,thematic,106.3863,106.3794,32.3503
2025-07-03,BOTZ,Robotics & AI,thematic,108.0758,107.8197,32.649
2025-07-07,BOTZ,Robotics & AI,thematic,108.2451,107.4028,32.0217
2025-07-08,BOTZ,Robotics & AI,thematic,110.2604,109.5254,32.2209
2025-07-09,BOTZ,Robotics & AI,thematic,110.5175,110.3057,32.6291
2025-07-10,BOTZ,Robotics & AI,thematic,105.0617,104.878,32.4001
2025-07-11,BOTZ,Robotics & AI,thematic,105.8933,105.5621,32.1313
2025-07-14,BOTZ,Robotics & AI,thematic,105.2628,104.868,32.1412
2025-07-15,BOTZ,Robotics & AI,thematic,107.5935,107.8518,32.191
2025-07-16,BOTZ,Robotics & AI,thematic,107.3511,108.0277,32.42
2025-07-17,BOTZ,Robotics & AI,thematic,109.6334,110.1057,33.0772
2025-07-18,BOTZ,Robotics & AI,thematic,109.8349,110.9516,33.0174
2025-07-21,BOTZ,Robotics & AI,thematic,109.3563,109.5908,32.8681
2025-07-22,BOTZ,Robotics & AI,thematic,108.0998,110.6112,32.7386
2025-07-23,BOTZ,Robotics & AI,thematic,110.3313,112.8168,34.3815
2025-07-24,BOTZ,Robotics & AI,thematic,109.792,110.8051,34.3417
2025-07-25,BOTZ,Robotics & AI,thematic,106.9317,104.5649,34.1824
2025-07-28,BOTZ,Robotics & AI,thematic,107.9518,103.5646,34.1127
2025-07-29,BOTZ,Robotics & AI,thematic,106.8785,100.3423,33.7144
2025-07-30,BOTZ,Robotics & AI,thematic,107.5205,98.4861,33.5551
2025-07-31,BOTZ,Robotics & AI,thematic,107.0606,101.2853,33.3261
2025-08-01,BOTZ,Robotics & AI,thematic,106.9166,100.4985,32.9776
2025-08-04,BOTZ,Robotics & AI,thematic,108.0135,99.9424,33.824
2025-08-05,BOTZ,Robotics & AI,thematic,107.4948,99.3069,33.7841
2025-08-06,BOTZ,Robotics & AI,thematic,107.8332,97.7986,33.4555
2025-08-07,BOTZ,Robotics & AI,thematic,106.897,96.7241,33.2863
2025-08-08,BOTZ,Robotics & AI,thematic,107.7703,102.5781,33.4555
2025-08-11,BOTZ,Robotics & AI,thematic,105.5024,99.6309,33.1668
2025-08-12,BOTZ,Robotics & AI,thematic,104.7629,99.5251,33.7343
2025-08-13,BOTZ,Robotics & AI,thematic,103.6476,96.3326,34.1227
2025-08-14,BOTZ,Robotics & AI,thematic,104.3055,97.1629,33.7642
2025-08-15,BOTZ,Robotics & AI,thematic,105.5926,96.3143,33.9335
2025-08-18,BOTZ,Robotics & AI,thematic,106.305,96.7862,33.9235
2025-08-19,BOTZ,Robotics & AI,thematic,103.0407,94.2247,33.3361
2025-08-20,BOTZ,Robotics & AI,thematic,101.7125,94.0913,33.0373
2025-08-21,BOTZ,Robotics & AI,thematic,100.497,91.0865,32.7287
2025-08-22,BOTZ,Robotics & AI,thematic,101.5854,92.5253,33.6646
2025-08-25,BOTZ,Robotics & AI,thematic,100.7474,94.2165,33.5252
