rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,HYMC,Hycroft Mining Holding,gold,explorer,mid,37.5,100.0,-0.0028,-0.0271,0.3659,FLAT,396.69%,1098.08%,784.43%,-46.18%,55.82%,146.21%,0.5267,LOW,-,35.119,38.9121,18.1077,1,419.2257,LEADER,95.0847
2,1,5802.T,Sumitomo Electric Industries,lithium,producer,large,10580.0,97.5,0.0557,-0.0383,0.6456,FLAT,153.72%,426.14%,359.56%,-22.31%,58.44%,74.66%,1.1621,MED,-,9639.7415,9224.1518,5895.9748,1,333.5582,LEADER,80.8746
3,-1,2308.TW,Delta Electronics Inc,lithium,producer,large,1735.0,100.0,0.1602,0.1813,0.7745,STRONG_DOWN,96.27%,427.12%,462.98%,-17.21%,53.94%,65.65%,0.8914,LOW,-,1484.0,1349.6,927.6778,1,350.9375,LEADER,73.1875
4,2,047040.KS,Daewoo Eng & Co,uranium,producer,large,24300.0,98.41,0.3811,1.0382,5.6667,STRONG_DOWN,570.34%,660.56%,555.87%,-27.11%,50.62%,142.31%,2.0219,HIGH,-,17314.0,11465.4,5747.775,1,234.9639,LEADER,69.2488
5,3,FDY.TO,Faraday Copper,copper,explorer,mid,4.56,100.0,-0.02,-0.0846,0.651,FLAT,156.18%,516.22%,560.87%,-33.95%,49.80%,90.03%,0.5798,LOW,-,4.159,4.1104,2.3928,1,285.5444,LEADER,65.5711
6,37,ARE.TO,Aecon Group,uranium,producer,mid,46.0,79.37,0.053,0.2237,0.4237,STRONG_DOWN,86.78%,179.03%,185.33%,-21.01%,57.83%,37.83%,1.0262,MED,-,42.5333,39.4901,28.7176,1,273.6782,LEADER,63.9205
7,0,PLS.AX,PLS GROUP LTD,lithium,producer,large,5.36,90.0,-0.0029,0.0359,0.1217,STRONG_DOWN,100.00%,291.24%,33.33%,-30.79%,54.40%,58.51%,0.5675,LOW,-,4.89,4.6734,3.3801,1,270.7828,LEADER,62.9834
8,-4,MIN.AX,MINERAL RESOURCES LTD,lithium,producer,large,57.98,82.5,0.0475,-0.1054,-0.0373,FLAT,29.80%,247.81%,-19.68%,-30.29%,56.40%,52.39%,0.5724,LOW,-,55.137,55.3144,45.7145,1,266.7782,LEADER,62.7092
9,42,AGMR.TO,Silver Mountain Resources,silver,explorer,small,3.77,100.0,-0.0479,-0.0333,0.0507,STRONG_DOWN,26.09%,625.00%,2916.00%,-43.49%,51.00%,120.14%,0.354,LOW,-,3.8175,4.2519,3.0533,1,265.3155,LEADER,60.094
10,37,002709.SZ,GUANGZHOU TINCI MATERIALS -A,lithium,producer,large,46.72,65.0,0.0214,-0.1057,-0.0793,FLAT,36.88%,177.81%,86.77%,-21.71%,53.11%,45.15%,1.9139,HIGH,-,44.94,43.4258,34.2018,1,209.1538,CONTENDER,58.9128
