rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,DTR.AX,Dateline Resources Limited,Gold,mid,0.405,100.0,-0.1484,0.285,0.9077,STRONG_DOWN,-37.69%,6650.00%,3015.38%,-71.54%,47.60%,123.20%,0.7982,LOW,-,0.4468,0.3845,0.2918,1,2569.3182,LEADER,507.9615
2,0,G11.AX,G11 Resources Limited,Gold,small,0.2775,99.35,-0.0816,0.041,-0.0449,FLAT,1287.50%,2212.50%,825.00%,-30.77%,34.30%,66.21%,0.1388,LOW,-,0.3029,0.3253,0.1847,1,1146.1826,LEADER,222.8135
3,0,A1G.AX,African Gold Limited,Gold,small,0.975,98.04,0.1033,0.1652,0.5738,STRONG_DOWN,134.94%,905.15%,2685.71%,-37.36%,48.00%,77.19%,1.0097,MED,-,0.897,0.8911,0.4928,1,562.8634,LEADER,126.1061
4,0,TM1.AX,Terra Metals Limited,Gold,small,0.305,98.69,0.136,0.0441,1.2862,FLAT,69.44%,1425.00%,416.95%,-46.49%,42.00%,175.26%,2.0266,HIGH,-,0.2862,0.3336,0.1685,1,341.4927,LEADER,95.3594
5,0,DGR.AX,DGR Global Limited,Gold,small,0.034,97.39,-0.0385,0.2933,-0.0269,FLAT,78.95%,750.00%,100.00%,-40.00%,26.40%,86.55%,1.1827,MED,-,0.0321,0.0315,0.023,1,228.7695,LEADER,59.9657
6,0,VTM.AX,Victory Metals Limited,Gold,small,1.58,93.46,0.0679,0.3615,0.4581,STRONG_DOWN,29.51%,332.88%,507.69%,-46.36%,46.31%,80.02%,1.2486,MED,-,1.417,1.3199,1.244,1,192.6458,LEADER,51.465
7,0,RSG.AX,Resolute Mining Limited,Gold,mid,1.395,90.2,0.0745,0.0718,0.2104,FLAT,30.99%,248.75%,200.00%,-31.25%,53.20%,67.74%,0.8543,LOW,-,1.3567,1.3967,1.0447,1,195.3572,LEADER,47.4997
8,0,FAL.AX,Falcon Metals Limited,Gold,small,0.485,96.73,-0.0385,-0.1822,-0.0767,FLAT,-41.57%,432.97%,288.00%,-61.21%,42.80%,102.71%,0.2112,LOW,-,0.5433,0.6799,0.6438,0,180.4205,LAGGARD,47.1785
9,0,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,4.37,88.89,0.0288,-0.2074,-0.1247,FLAT,17.84%,230.30%,225.46%,-43.14%,56.40%,78.51%,0.4292,LOW,-,5.3458,5.7983,4.2343,1,165.4459,LEADER,45.2648
10,0,TOR.AX,Torque Metals Limited,Gold,small,0.43,96.08,-0.0385,0.5471,0.4948,FLAT,45.76%,394.25%,186.67%,-36.23%,46.00%,115.49%,1.3538,MED,-,0.4313,0.3486,0.2878,1,157.0321,LEADER,43.611
11,0,ERM.AX,Emmerson Resources Limited,Gold,small,0.38,92.16,0.0185,0.2457,0.441,STRONG_DOWN,65.22%,261.90%,708.51%,-23.81%,43.20%,74.68%,5.5715,HIGH,-,0.3748,0.3387,0.2578,1,151.5036,LEADER,42.2241
12,0,BCN.AX,Beacon Minerals Limited,Gold,small,3.4,91.5,0.0777,0.01,0.1974,FLAT,43.26%,261.14%,221.01%,-38.13%,47.20%,74.74%,0.6992,LOW,-,3.34,3.7294,2.5889,1,164.9148,LEADER,40.46
13,0,WGX.AX,Westgold Resources Limited,Gold,large,6.01,73.2,0.0718,-0.0097,0.0394,FLAT,9.07%,127.76%,167.04%,-37.64%,54.40%,63.72%,1.3465,MED,-,5.887,6.7728,5.1417,1,109.0749,CONTENDER,39.89
14,0,SBM.AX,St Barbara Limited,Gold,mid,0.635,86.93,0.077,-0.0816,0.1486,FLAT,7.63%,217.50%,209.76%,-38.37%,45.60%,84.50%,1.0303,MED,-,0.6322,0.7083,0.5204,1,117.3728,LEADER,39.0502
15,0,WWI.AX,West Wits Mining Limited,Gold,small,0.065,92.81,0.0463,-0.0774,-0.134,STRONG_UP,12.07%,306.25%,282.35%,-37.63%,38.40%,77.78%,0.881,LOW,-,0.0691,0.0763,0.0541,1,151.1957,LEADER,38.9073
16,0,HRN.AX,Horizon Gold Limited,Gold,small,1.28,88.24,-0.0614,0.1098,0.6135,STRONG_DOWN,100.00%,228.21%,412.00%,-21.68%,39.60%,68.05%,7.6495,HIGH,-,1.3543,1.206,0.7974,1,132.7983,LEADER,37.3662
17,0,EVN.AX,Evolution Mining Limited,Gold,large,13.02,67.32,0.0079,-0.0144,0.1373,FLAT,19.94%,107.43%,250.56%,-34.17%,55.20%,62.86%,1.343,MED,-,13.124,14.3757,11.0624,1,94.338,CONTENDER,35.3637
18,0,NMG.AX,New Murchison Gold Limited,Gold,small,0.048,89.54,0.0296,-0.0921,0.0873,FLAT,45.45%,242.86%,380.00%,-50.67%,39.68%,92.69%,1.4288,MED,-,0.0488,0.0594,0.0379,1,103.9656,LEADER,35.0861
