rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
306,0,PME.AX,"Pro Medicus, Ltd.",Health services,Services to the health industry,large,120.79,5.56,-0.0024,0.156,-0.3323,FLAT,-60.82,-46.76,20.72,-67.24,45.63,78.59,0.5776,LOW,EARLY,126.6195,146.9372,246.9956,0,-27.1497,WEAK,19.2119
353,0,RHC.AX,Ramsay Health Care Limited,Health services,Hospital/Nursing management,large,40.21,94.44,0.0209,0.1775,0.3409,STRONG_DOWN,26.67,24.33,-23.94,-21.37,44.44,31.08,1.0589,MED,-,41.6223,38.5605,35.5358,1,34.7931,LEADER,17.9372
545,1,DOC.AX,Doctor Care Anywhere Group PLC Shs Chess Depository Interests Repr 1 sh,Health services,Medical/Nursing services,small,0.135,100.0,0.0159,-0.1784,0.3227,FLAT,-22.86,68.75,90.14,-42.86,34.13,95.32,0.0678,LOW,-,0.1495,0.1542,0.1438,0,24.6164,LAGGARD,14.5004
623,1,REG.AX,Regis Healthcare Ltd.,Health services,Medical/Nursing services,mid,6.51,72.22,0.1119,0.0814,0.1349,FLAT,2.45,-0.2,68.96,-34.71,49.6,34.97,1.8513,HIGH,PROGRESS,6.4901,6.5332,7.1682,0,-0.2906,LAGGARD,13.5239
1030,3,BDX.AX,BCAL Diagnostics Limited,Health services,Medical/Nursing services,small,0.095,66.67,-0.0191,-0.0973,0.1245,FLAT,35.71,-9.52,-13.64,-50.48,33.73,70.27,0.0822,LOW,-,0.1079,0.1156,0.0874,1,-4.5715,CONTENDER,10.1829
1062,4,PIQ.AX,Proteomics International Laboratories Ltd.,Health services,Medical/Nursing services,small,0.29,11.11,-0.0054,-0.0483,-0.3016,STRONG_UP,-9.38,-41.41,-72.12,-65.48,33.33,94.0,0.1804,LOW,-,0.3183,0.4463,0.4073,0,-14.6844,WEAK,9.9441
1183,3,RAD.AX,Radiopharm Theranostics Limited,Health services,Medical/Nursing services,small,0.019,33.33,-0.1248,-0.0253,-0.094,FLAT,-34.48,-29.63,-66.67,-51.35,26.59,67.76,2.9148,HIGH,-,0.0212,0.0221,0.0247,0,-11.6271,WEAK,9.0844
1213,3,IDX.AX,Integral Diagnostics Ltd,Health services,Medical/Nursing services,mid,2.36,83.33,0.0159,0.1067,0.1624,STRONG_DOWN,-16.05,5.0,9.96,-24.88,42.06,33.3,0.4537,LOW,EARLY,2.3724,2.4396,2.5422,0,6.3148,LAGGARD,8.8507
1232,3,OCA.AX,Oceania Healthcare Ltd.,Health services,Medical/Nursing services,small,0.61,88.89,0.0078,-0.0112,-0.0867,STRONG_UP,10.91,11.93,6.09,-25.61,24.6,39.44,0.0004,LOW,-,0.639,0.6814,0.6628,0,7.439,LAGGARD,8.7132
1365,2,GLH.AX,Global Health Limited,Health services,Medical/Nursing services,small,0.067,22.22,-0.0313,0.0711,-0.0564,FLAT,-41.74,-39.09,-33.0,-55.65,19.84,55.99,0.0,LOW,-,0.0692,0.0733,0.0871,0,-13.8518,WEAK,7.5115
1406,2,RHT.AX,Resonance Health Ltd,Health services,Medical/Nursing services,small,0.041,77.78,0.0672,-0.0166,0.1295,FLAT,5.13,0.0,-36.92,-30.91,28.97,74.24,0.0883,LOW,-,0.0401,0.0425,0.0428,0,0.0,LAGGARD,7.2246
1487,1,MAP.AX,Microba Life Sciences Limited,Health services,Medical/Nursing services,small,0.07,0.0,-0.091,-0.0654,0.1699,STRONG_DOWN,-14.63,-65.0,-67.44,-70.22,32.54,78.78,0.4152,LOW,-,0.0795,0.0856,0.0848,0,-26.8482,WEAK,6.5158
1488,3,IIQ.AX,Inoviq Ltd,Health services,Medical/Nursing services,small,0.33,61.11,-0.0589,0.0705,0.1405,STRONG_DOWN,-17.5,-17.5,-44.54,-43.36,31.75,58.25,0.2943,LOW,-,0.3393,0.3477,0.3695,0,-9.5386,LAGGARD,6.5106
1544,0,SHL.AX,Sonic Healthcare Limited,Health services,Medical/Nursing services,large,20.15,55.56,-0.0084,0.0004,0.0986,STRONG_DOWN,-4.55,-18.4,-24.83,-28.87,47.22,27.83,1.0355,MED,EARLY,21.641,21.9777,22.9083,0,-31.2266,LAGGARD,5.8125
1579,2,SNZ.AX,Summerset Group Holdings Limited,Health services,Hospital/Nursing management,mid,7.66,50.0,-0.0189,0.0041,-0.0947,FLAT,-18.99,-24.74,-23.21,-31.6,37.7,31.68,2.8049,HIGH,EARLY,8.2965,9.0459,9.8909,0,-29.4418,LAGGARD,5.3566
1584,2,RYM.AX,Ryman Healthcare Ltd.,Health services,Medical/Nursing services,mid,1.76,44.44,-0.0448,-0.0045,-0.1771,FLAT,,-26.97,-26.97,-32.57,39.83,38.21,2.2048,HIGH,-,1.8938,2.1625,,0,-28.1145,WEAK,5.31
1624,2,HLS.AX,Healius Limited,Health services,Medical/Nursing services,small,0.575,16.67,0.0247,-0.0371,-0.2519,STRONG_UP,-25.32,-40.02,-38.38,-53.88,36.9,42.91,0.9255,LOW,-,0.611,0.7622,0.8208,0,-34.4163,WEAK,4.4415
1736,3,ACL.AX,Australian Clinical Labs Ltd,Health services,Medical/Nursing services,small,2.02,38.89,0.0209,0.0526,-0.0982,FLAT,-18.1,-29.36,-17.3,-36.26,42.86,36.32,0.5417,LOW,-,2.0844,2.3136,2.5316,0,-34.6471,WEAK,0.8204
1740,2,MVF.AX,Monash IVF Group Ltd,Health services,Medical/Nursing services,small,0.65,27.78,0.0396,0.073,-0.0422,FLAT,1.03,-38.73,-52.66,-51.98,40.87,30.54,0.6718,LOW,-,0.6495,0.6834,0.7104,0,-51.8242,WEAK,0.3065
