rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
465,-2,OMG.AX,OMG Group Limited,Consumer non-durables,Food: major diversified,small,0.008,96.15,0.0,0.0626,-0.0633,FLAT,-27.27,33.33,33.33,-53.33,27.08,108.04,7.5341,HIGH,-,0.0081,0.0084,,0,8.3549,LAGGARD,16.1305
599,-6,A2M.AX,a2 Milk Company Limited,Consumer non-durables,Food: meat/fish/dairy,mid,9.34,84.62,0.0108,0.0438,0.2205,STRONG_DOWN,3.97,21.01,57.17,-16.05,53.97,40.68,1.9256,HIGH,-,9.4598,9.0999,8.7651,1,27.8778,LEADER,13.9774
760,-6,SKN.AX,Skin Elements Ltd.,Consumer non-durables,Household/Personal care,small,0.004,100.0,0.0,-0.2763,-0.0633,FLAT,33.33,100.0,0.0,-50.0,7.54,123.42,0.1739,LOW,-,0.0051,0.0049,0.0042,0,6.1092,LAGGARD,12.3275
794,-5,DAI.AX,Decidr AI Industries Ltd,Consumer non-durables,Food: major diversified,small,0.39,26.92,0.0263,-0.0566,-0.2292,STRONG_UP,-54.39,-36.59,-60.0,-69.91,43.43,94.35,1.0786,MED,-,0.3735,0.4118,0.5803,0,-16.8405,WEAK,11.9403
917,-3,PFT.AX,Pure Foods Tasmania Ltd.,Consumer non-durables,Food: meat/fish/dairy,small,0.023,73.08,0.0,-0.1763,-0.1214,FLAT,-8.0,-4.17,-62.9,-47.73,21.83,108.7,1.4865,MED,-,0.0264,0.0296,0.0285,0,-0.8368,LAGGARD,11.0419
926,-2,WNX.AX,Wellnex Life Ltd,Consumer non-durables,Food: meat/fish/dairy,small,0.073,0.0,-0.0135,-0.1904,-0.0698,FLAT,-66.82,-82.2,-94.38,-82.44,32.54,140.2,0.3978,LOW,-,0.0824,0.1095,0.1853,0,-19.0772,WEAK,10.9523
988,-3,ERG.AX,Eneco Refresh Limited,Consumer non-durables,Beverages: non-alcoholic,small,0.014,92.31,-0.3636,-0.1194,0.1277,STRONG_DOWN,-12.5,27.27,40.0,-41.67,5.95,135.66,5.9837,HIGH,-,0.0176,0.0168,0.0148,0,1.1962,LAGGARD,10.5468
1031,-3,SCP.AX,Scalare Partners Holdings Limited,Consumer non-durables,Food: specialty/candy,small,0.1,11.54,0.0526,0.015,0.2813,FLAT,0.0,-47.37,-60.0,-65.79,24.22,150.82,0.0378,LOW,-,0.0892,0.0991,,0,-7.6068,WEAK,10.2781
1057,-6,BGA.AX,Bega Cheese Limited,Consumer non-durables,Food: meat/fish/dairy,small,6.05,80.77,0.0324,0.0659,0.2039,STRONG_DOWN,17.2,16.89,51.48,-15.11,49.21,27.57,0.9837,LOW,-,5.8515,5.9928,5.5976,1,30.149,LEADER,10.1042
1187,-8,FFI.AX,F.F.I. Holdings Ltd.,Consumer non-durables,Food: specialty/candy,small,4.9,88.46,0.0082,0.1381,0.2298,STRONG_DOWN,12.85,25.79,16.64,-14.35,26.19,40.36,5.4375,HIGH,-,4.815,4.6649,4.3956,1,16.735,LEADER,9.1864
