rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,DTR.AX,Dateline Resources Limited,Non-energy minerals,Precious metals,small,0.43,100.0,-0.1846,0.2831,1.0253,STRONG_DOWN,-21.1,8500.0,2971.43,-71.54,47.62,122.57,1.2167,MED,-,0.4445,0.3839,0.2902,1,3302.358,LEADER,711.2558
4,0,G11.AX,G11 Resources Limited,Non-energy minerals,Other metals/Minerals,small,0.27,99.86,-0.0967,-0.0229,-0.0798,FLAT,1217.07,2150.0,938.46,-30.77,33.82,66.34,0.23,LOW,-,0.3047,0.3272,0.1834,1,1096.0658,LEADER,213.5723
6,0,FML.AX,Focus Minerals Ltd,Non-energy minerals,Precious metals,small,2.55,99.15,0.0484,-0.1344,-0.1668,STRONG_UP,57.41,1008.7,1278.38,-47.63,48.02,77.3,1.2973,MED,-,2.729,3.2358,2.0711,1,626.6179,LEADER,143.3476
7,0,FRS.AX,Forrestania Resources Limited,Non-energy minerals,Precious metals,small,0.5,99.58,0.1353,-0.1338,0.5859,FLAT,69.49,1370.59,3025.0,-51.75,49.21,106.5,0.8569,LOW,-,0.5042,0.5339,0.3014,1,633.3018,LEADER,131.3788
8,0,A1G.AX,African Gold Ltd,Non-energy minerals,Precious metals,small,1.01,99.01,0.1469,0.1785,0.601,STRONG_DOWN,121.98,910.0,2785.71,-37.36,48.02,76.74,0.7493,LOW,-,0.8968,0.8874,0.4887,1,569.4318,LEADER,114.7129
11,0,VMM.AX,Viridis Mining and Minerals Limited,Non-energy minerals,Precious metals,small,2.01,98.73,0.0304,-0.0174,0.6472,FLAT,46.18,793.33,89.62,-58.06,50.0,91.41,0.6655,LOW,-,1.9953,2.029,1.42,1,433.9423,LEADER,94.5436
12,0,RMI.AX,Resource Minerals International Ltd,Non-energy minerals,Other metals/Minerals,small,0.031,98.16,0.0414,0.2281,0.263,STRONG_DOWN,29.17,675.0,40.91,-58.62,27.38,47.76,0.0693,LOW,-,0.0298,0.0284,0.0244,1,386.9661,LEADER,84.6488
14,0,LIN.AX,Lindian Resources Limited,Non-energy minerals,Other metals/Minerals,small,0.765,98.31,-0.1061,0.2889,0.9141,STRONG_DOWN,146.77,705.26,565.22,-36.3,44.44,103.92,2.0366,HIGH,-,0.7972,0.5919,0.3515,1,301.5964,LEADER,80.092
15,0,TM1.AX,Terra Metals Limited,Non-energy minerals,Precious metals,small,0.3,99.72,0.1046,-0.0105,1.2136,FLAT,81.82,1478.95,435.71,-46.49,41.67,175.3,0.5255,LOW,-,0.2882,0.3313,0.1672,1,351.5559,LEADER,80.0425
17,0,ALR.AX,Altair Minerals limited,Non-energy minerals,Other metals/Minerals,small,0.024,99.29,0.1153,0.1644,0.0707,FLAT,60.0,1100.0,700.0,-37.04,26.98,101.66,1.2934,MED,-,0.0223,0.0238,0.0175,1,291.9339,LEADER,73.4504
18,0,KLR.AX,Kaili Resources Limited,Non-energy minerals,Precious metals,small,0.115,99.44,-0.0694,0.0056,-0.325,FLAT,-58.18,1337.5,1050.0,-89.35,15.48,74.03,0.0,LOW,-,0.1259,0.1387,0.1903,0,279.6771,LAGGARD,73.1691
19,0,AII.AX,Almonty Industries Inc. Shs Chess Depository Interests repr 1 shs,Non-energy minerals,Other metals/Minerals,mid,20.79,96.61,-0.1195,-0.1306,0.6409,FLAT,135.45,502.61,1880.0,-42.31,52.38,91.86,0.3625,LOW,-,25.083,21.7584,12.3198,1,286.5954,LEADER,67.9307
22,0,LKY.AX,Locksley Resources Limited,Non-energy minerals,Precious metals,small,0.165,98.45,-0.0572,0.1522,-0.1445,FLAT,-66.67,725.0,489.29,-75.97,34.92,94.9,0.3652,LOW,-,0.172,0.1738,0.2539,0,266.7756,LAGGARD,66.3906
23,0,BNZ.AX,Benz Mining Corp. Shs Chess Depository Interests Repr 1 sh,Non-energy minerals,Precious metals,small,2.5,97.88,0.204,-0.0028,0.5075,FLAT,35.87,614.29,1823.08,-47.53,50.0,112.74,0.9749,LOW,-,2.4718,2.6841,1.6422,1,272.4347,LEADER,62.9169
25,0,SGQ.AX,St. George Mining Ltd.,Non-energy minerals,Other metals/Minerals,small,0.13,97.18,0.0558,0.1209,0.4249,STRONG_DOWN,8.33,550.0,584.21,-48.48,38.89,93.16,1.1376,MED,-,0.1253,0.1195,0.0894,1,229.5996,LEADER,60.1484
26,0,MRD.AX,Mount Ridley Mines Limited,Non-energy minerals,Other metals/Minerals,small,0.029,98.87,-0.0278,0.2363,0.0062,FLAT,866.67,866.67,866.67,-61.4,27.19,105.27,0.3285,LOW,-,0.0269,0.0298,0.0182,1,223.8498,LEADER,57.3893
29,0,MM1.AX,Midas Minerals Limited,Non-energy minerals,Precious metals,small,0.8,94.35,-0.0087,-0.0008,0.4266,STRONG_DOWN,77.78,344.44,966.67,-36.11,43.65,76.56,5.4404,HIGH,-,0.782,0.8083,0.5082,1,196.3819,LEADER,55.2196
31,0,G50.AX,G50 Corp Limited,Non-energy minerals,Precious metals,small,0.72,96.19,0.2816,-0.0888,0.0707,FLAT,89.47,453.85,396.55,-47.15,45.24,92.03,0.6416,LOW,-,0.663,0.7674,0.5087,1,223.1012,LEADER,53.3176
