rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
18,0,EOS.AX,Electro Optic Systems Holdings Limited,Electronic technology,Aerospace & defense,small,9.0,100.0,0.0638,-0.0072,0.1414,FLAT,2.86,729.49,476.92,-57.47,50.0,113.3,0.9499,LOW,-,9.506,8.6364,6.6798,1,321.9299,LEADER,74.0682
41,0,DRO.AX,DroneShield Limited,Electronic technology,Aerospace & defense,mid,3.93,96.88,0.0129,0.1089,0.3763,STRONG_DOWN,-30.81,370.66,410.39,-74.02,50.4,111.27,0.641,LOW,-,4.028,3.6966,3.5133,1,167.8907,LEADER,53.7375
51,0,DVL.AX,dorsaVi Ltd.,Electronic technology,Electronic equipment/Instruments,small,0.027,93.75,-0.0357,-0.0856,0.0327,FLAT,-54.24,350.0,68.75,-58.59,34.4,65.22,0.1503,LOW,-,0.0277,0.0312,0.0365,0,184.606,LAGGARD,47.0324
122,0,ICR.AX,InteliCare Holdings Limited,Electronic technology,Computer peripherals,small,0.025,90.62,0.25,0.3625,0.2306,FLAT,13.64,257.14,108.33,-56.25,26.4,108.73,2.9088,HIGH,-,0.0186,0.021,0.0201,1,62.4351,LEADER,30.6262
127,0,SKS.AX,SKS Technologies Group Limited,Electronic technology,Electronic equipment/Instruments,small,4.2,87.5,0.0769,0.0588,0.2924,FLAT,2.59,173.85,879.58,-26.7,49.6,70.2,0.7673,LOW,-,4.2015,4.1012,3.4581,1,122.8314,LEADER,30.4629
171,0,WBT.AX,Weebit Nano Ltd.,Electronic technology,Semiconductors,small,3.55,81.25,-0.0707,-0.2107,-0.0988,FLAT,-0.56,143.15,11.64,-42.09,50.0,89.42,1.1172,MED,-,4.4335,4.808,3.772,0,80.044,LAGGARD,27.1244
306,0,NVU.AX,Nanoveu Ltd.,Electronic technology,Telecommunications equipment,small,0.06,75.0,0.0169,-0.0994,-0.1204,STRONG_UP,-40.0,93.55,160.87,-47.27,39.6,68.32,0.1627,LOW,-,0.0632,0.0708,0.0783,0,54.223,LAGGARD,21.2119
360,0,OEC.AX,Orbital Corporation Ltd,Electronic technology,Aerospace & defense,small,0.15,71.88,-0.0323,0.4104,0.2604,FLAT,-50.0,78.57,15.38,-71.01,40.0,113.08,0.2013,LOW,-,0.1442,0.1271,0.1667,0,27.7932,LAGGARD,19.7213
370,0,SLX.AX,Silex Systems Limited,Electronic technology,Semiconductors,small,5.17,68.75,-0.0245,-0.1333,-0.296,STRONG_UP,-27.49,77.05,-0.19,-53.38,53.6,108.69,0.4374,LOW,-,5.4,6.279,6.34,0,37.9992,LAGGARD,19.3456
408,0,CML.AX,Connected Minerals Limited,Electronic technology,Computer communications,small,0.25,78.12,0.1628,0.1337,0.6596,FLAT,35.14,100.0,-30.56,-43.59,26.8,81.36,1.0347,MED,-,0.2202,0.2217,0.1705,1,32.94,LEADER,18.5364
