rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
15,0,LDX.AX,Lumos Diagnostics Holdings Ltd.,Health technology,Medical specialties,small,0.21,100.0,-0.1765,-0.2034,-0.1199,FLAT,35.48,900.0,218.18,-39.06,40.0,107.23,2.1713,HIGH,-,0.2635,0.2603,0.1879,1,335.7269,LEADER,90.1531
29,0,SPL.AX,Starpharma Holdings Limited,Health technology,Pharmaceuticals: major,small,0.5,98.21,0.0638,0.353,0.6033,STRONG_DOWN,47.06,455.56,300.0,-28.09,42.0,87.48,1.9111,HIGH,-,0.4483,0.435,0.2901,1,218.7166,LEADER,58.9245
30,0,NYR.AX,"Nyrada, Inc. Shs Chess Depository Interests Repr 1 Shs",Health technology,Pharmaceuticals: major,small,0.625,99.11,0.0965,0.1203,-0.2953,FLAT,92.31,537.76,420.83,-64.86,43.2,100.29,0.1651,LOW,-,0.5456,0.668,0.5555,1,231.6385,LEADER,58.3784
85,0,RAC.AX,Racura Oncology Ltd,Health technology,Pharmaceuticals: major,small,2.63,94.64,0.0314,0.1563,0.1381,FLAT,-33.59,171.13,61.35,-54.26,48.0,76.52,1.3558,MED,-,2.487,2.3922,2.3944,1,107.3501,LEADER,36.3794
128,0,ATX.AX,Amplia Therapeutics Ltd.,Health technology,Biotechnology,small,0.24,97.32,-0.0204,1.269,0.5865,FLAT,45.45,344.44,207.69,-69.01,32.8,246.0,3.2715,HIGH,-,0.17,0.1426,0.1661,1,45.9259,LEADER,30.4033
174,0,ZNO.AX,Zoono Group Limited,Health technology,Pharmaceuticals: major,small,0.062,87.5,0.2653,0.2145,0.0604,STRONG_UP,87.88,106.67,-17.86,-68.39,33.2,111.31,1.5487,HIGH,-,0.0552,0.0622,0.0532,1,31.8151,LEADER,27.0047
180,0,ILA.AX,Island Pharmaceuticals Ltd,Health technology,Pharmaceuticals: major,small,0.375,92.86,0.0135,-0.0116,0.027,FLAT,-13.79,150.0,495.24,-45.83,39.2,70.45,0.7952,LOW,-,0.4028,0.3958,0.3548,1,83.4634,LEADER,26.7371
231,0,NSB.AX,Neuroscientific Biopharmaceuticals Ltd.,Health technology,Biotechnology,small,0.1,95.54,0.4085,0.0872,0.1271,FLAT,-35.48,185.71,53.85,-71.6,34.4,138.2,0.2254,LOW,-,0.0899,0.1103,0.1381,0,46.227,LAGGARD,23.9068
232,0,1AI.AX,Algorae Pharmaceuticals Limited,Health technology,Pharmaceuticals: other,small,0.016,96.43,-0.0588,0.0872,0.3176,STRONG_DOWN,100.0,220.0,60.0,-45.83,27.75,104.8,1.4978,MED,-,0.0156,0.0179,0.0116,1,58.2538,LEADER,23.9029
254,0,NC6.AX,Nanollose Ltd,Health technology,Biotechnology,small,0.074,91.96,0.1746,0.2257,0.6257,STRONG_DOWN,23.33,138.71,208.33,-55.29,40.8,95.82,0.9429,LOW,-,0.0693,0.0695,0.063,1,59.0624,LEADER,23.1053
297,0,CLV.AX,Clover Corporation Limited,Health technology,Pharmaceuticals: other,small,1.045,90.18,0.2222,0.4806,0.4892,STRONG_DOWN,53.64,121.88,109.66,-22.0,42.8,61.98,0.6272,LOW,-,0.836,0.7932,0.6867,1,84.1649,LEADER,21.5569
303,0,CU6.AX,Clarity Pharmaceuticals Ltd.,Health technology,Medical specialties,small,3.15,88.39,-0.0367,-0.0074,-0.0115,FLAT,-37.13,107.24,19.32,-52.11,50.4,101.83,0.592,LOW,-,3.4155,3.3436,3.6285,0,53.0761,LAGGARD,21.3642
314,0,VBS.AX,Vectus Biosystems Limited,Health technology,Pharmaceuticals: major,small,0.15,86.61,0.0,0.2411,0.0571,FLAT,100.0,97.37,-37.5,-77.27,18.4,77.64,0.0,LOW,-,0.1418,0.1397,0.1125,1,23.0755,LEADER,21.0373
387,0,CYP.AX,Cynata Therapeutics Limited,Health technology,Biotechnology,small,0.295,85.71,-0.0167,-0.0842,-0.0943,STRONG_UP,31.11,96.67,51.28,-30.0,40.0,73.57,0.1142,LOW,-,0.31,0.3357,0.2582,1,52.5576,LEADER,18.9111
407,0,CC5.AX,Clever Culture Systems Limited,Health technology,Medical specialties,small,0.025,89.29,0.1905,0.0131,0.0081,STRONG_UP,-28.57,108.33,4.17,-43.24,29.6,75.95,0.6111,LOW,-,0.0237,0.0263,0.0285,0,42.2208,LAGGARD,18.5466
415,0,RHY.AX,Rhythm Biosciences Limited,Health technology,Medical specialties,small,0.19,93.75,0.027,0.1428,0.8269,STRONG_DOWN,115.91,160.27,104.3,-42.96,40.4,146.42,0.3873,LOW,-,0.2015,0.1996,0.1173,1,44.2226,LEADER,18.321
424,0,HCT.AX,Holista Colltech Limited,Health technology,Biotechnology,small,0.063,84.82,0.0,0.1034,-0.1239,FLAT,-35.05,80.0,530.0,-43.64,27.2,48.22,0.2389,LOW,-,0.0641,0.0726,0.083,0,45.1265,LAGGARD,18.0375
449,0,ARX.AX,Aroa Biosurgery Ltd,Health technology,Medical specialties,small,0.58,78.57,0.0175,-0.016,-0.0533,STRONG_UP,-13.43,54.67,1.75,-29.56,43.6,46.55,0.3162,LOW,-,0.5886,0.6411,0.6619,0,51.2023,LAGGARD,17.4407
469,0,IBX.AX,Imagion Biosystems Ltd.,Health technology,Medical specialties,small,0.022,82.14,0.0476,0.1872,-0.0732,FLAT,-37.14,57.14,-70.27,-63.27,31.2,87.24,0.8045,LOW,-,0.0202,0.0223,0.023,0,20.4362,LAGGARD,17.0322
472,0,AVE.AX,Avecho Biotechnology Limited,Health technology,Pharmaceuticals: major,small,0.009,91.07,0.0,-0.1652,0.1747,FLAT,28.57,125.0,125.0,-33.33,29.6,110.55,1.4159,MED,-,0.0096,0.0096,0.0074,1,33.469,LEADER,16.9772
476,0,IMR.AX,"Imricor Medical Systems, Inc. Shs Chess Depository Interests Repr 1 Sh",Health technology,Medical specialties,small,1.87,81.25,-0.0235,0.0246,0.3696,STRONG_DOWN,17.24,57.14,236.94,-32.68,45.2,63.81,1.207,MED,-,1.9205,1.9779,1.5816,1,40.4773,LEADER,16.937
