rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
74,9,CDA.AX,Codan Limited,Consumer durables,Tools & hardware,mid,35.41,93.33,0.1006,0.0899,0.3019,FLAT,11.77,165.21,237.47,-26.32,56.0,54.85,0.7706,LOW,-,33.724,35.1056,30.291,1,168.6745,LEADER,41.1465
159,65,AMS.AX,Atomos Ltd.,Consumer durables,Electronics/Appliances,small,0.017,100.0,0.1012,-0.289,-0.2934,STRONG_UP,13.33,325.0,-60.0,-66.67,26.0,113.18,0.1656,LOW,-,0.0177,0.0233,0.0182,0,74.6598,LAGGARD,29.5434
576,-36,AUA.AX,Audeara Ltd.,Consumer durables,Electronics/Appliances,small,0.061,86.67,0.0106,-0.1295,0.1043,FLAT,134.62,96.77,,-47.22,23.6,93.44,0.0,LOW,-,0.0659,0.0739,0.0433,1,24.4421,LEADER,15.92
904,-109,KMD.AX,KMD Brands Limited,Consumer durables,Recreational products,small,0.06,0.0,-0.4061,-0.6429,-0.6348,FLAT,-76.92,-80.33,-88.24,-81.25,28.4,100.52,5.8252,HIGH,-,0.1302,0.1819,0.2246,0,-22.6951,WEAK,12.291
909,75,BRG.AX,Breville Group Limited,Consumer durables,Electronics/Appliances,mid,28.84,60.0,0.0628,0.0583,0.1051,FLAT,2.5,12.17,11.14,-28.97,50.0,38.7,0.9452,LOW,PROGRESS,27.216,29.6848,30.3548,0,15.7195,LAGGARD,12.2252
1086,95,HIQ.AX,HitIQ Limited,Consumer durables,Recreational products,small,0.015,6.67,0.0393,-0.1095,-0.1654,STRONG_UP,-16.67,-50.0,-44.44,-65.71,22.8,117.08,,LOW,-,0.015,0.0156,0.0186,0,-9.7369,WEAK,10.6704
1155,33,AMA.AX,AMA Group Limited,Consumer durables,Automotive aftermarket,small,0.525,33.33,0.0731,-0.0751,-0.1978,STRONG_UP,-44.74,-11.02,10.76,-56.82,37.2,51.37,0.1988,LOW,-,0.5655,0.6527,0.8381,0,-7.978,WEAK,10.1366
1177,1,ATP.AX,Atlas Pearls Ltd,Consumer durables,Other consumer specialties,small,0.11,26.67,0.0679,-0.0262,-0.2851,STRONG_UP,-42.11,-12.22,-15.09,-52.38,33.6,103.47,0.05,LOW,-,0.111,0.1476,0.1697,0,-3.967,WEAK,9.9028
1206,63,AOV.AX,Amotiv Limited,Consumer durables,Motor vehicles,small,6.8,46.67,-0.0308,0.0246,-0.0922,FLAT,-21.87,4.62,-31.62,-35.51,47.6,27.11,1.2261,MED,-,6.6125,7.3742,8.3156,0,8.1102,WEAK,9.6519
1254,-125,VMT.AX,Vmoto Limited,Consumer durables,Motor vehicles,small,0.075,40.0,-0.0153,0.2909,0.1204,FLAT,27.12,-6.25,-44.44,-48.7,31.6,81.56,0.8371,LOW,-,0.069,0.0696,0.0715,1,-2.4215,LAGGARD,9.312
1268,-31,TWD.AX,Tamawood Limited,Consumer durables,Homebuilding,small,2.77,66.67,-0.0499,0.0542,0.089,STRONG_DOWN,4.87,18.93,12.86,-20.21,34.0,25.88,0.0666,LOW,-,2.7912,2.7977,2.7043,1,24.8742,CONTENDER,9.2394
1299,-253,SHM.AX,Shriro Holdings Ltd.,Consumer durables,Home furnishings,small,0.79,73.33,-0.0299,0.0678,0.1268,STRONG_DOWN,16.89,21.19,24.98,-13.89,34.0,24.5,0.0028,LOW,-,0.7815,0.7825,0.7302,1,29.4083,CONTENDER,9.0459
1366,-103,AGI.AX,Ainsworth Game Technology Limited,Consumer durables,Recreational products,small,0.99,80.0,-0.1175,0.0043,0.1055,STRONG_DOWN,-2.46,28.57,-18.18,-20.16,33.2,44.69,0.0,LOW,-,1.0898,1.0658,1.0226,0,21.2256,LAGGARD,8.3911
1508,13,FWD.AX,Fleetwood Limited,Consumer durables,Homebuilding,small,1.725,20.0,0.0197,-0.0247,-0.2146,STRONG_UP,-41.27,-17.75,40.09,-46.76,46.4,55.07,0.4543,LOW,-,1.7395,2.1272,2.4888,0,-14.9558,WEAK,6.8885
1581,46,GWA.AX,GWA Group Limited,Consumer durables,Home furnishings,small,2.14,53.33,-0.0188,-0.0043,0.0001,STRONG_DOWN,-12.73,5.82,-2.79,-20.14,45.2,27.73,0.6923,LOW,-,2.1565,2.3509,2.3894,0,9.4842,LAGGARD,5.82
1660,2,LIC.AX,Lifestyle Communities Ltd,Consumer durables,Homebuilding,small,4.82,13.33,-0.0106,0.1047,-0.0001,FLAT,-9.74,-32.68,-67.15,-49.27,45.2,50.96,1.1326,MED,-,4.856,5.1538,5.3366,0,-28.9876,WEAK,4.1444
