rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
130,-9,CBO.AX,Cobram Estate Olives Ltd.,Process industries,Agricultural commodities/Milling,small,3.6,88.24,0.0435,0.2495,0.0406,FLAT,7.43,97.43,94.58,-27.23,46.59,39.41,0.4196,LOW,-,3.276,3.2736,3.128,1,115.1842,LEADER,28.8929
133,10,GLN.AX,Galan Lithium Limited,Process industries,Chemicals: agricultural,small,0.43,98.04,0.0886,0.0951,0.3335,STRONG_DOWN,186.67,258.33,11.69,-36.17,40.56,99.09,0.5038,LOW,-,0.3675,0.3717,0.2417,1,105.7423,LEADER,28.604
150,6,PSC.AX,Prospect Resources Ltd.,Process industries,Chemicals: agricultural,small,0.325,96.08,-0.0299,-0.0637,0.1878,FLAT,62.5,195.45,103.12,-42.11,39.76,88.56,0.51,LOW,-,0.3183,0.3701,0.2531,1,87.7515,LEADER,27.066
192,-8,CP8.AX,Canadian Phosphate Limited,Process industries,Chemicals: agricultural,small,0.067,86.27,0.0,-0.1417,-0.1649,STRONG_UP,28.85,97.06,157.69,-52.94,25.7,72.98,1.9918,HIGH,-,0.0674,0.0707,0.0656,1,34.1794,LEADER,23.974
255,-23,ORI.AX,Orica Limited,Process industries,Industrial specialties,mid,21.49,76.47,0.0581,0.0967,-0.0838,FLAT,1.75,40.03,26.08,-28.9,55.02,33.06,0.6249,LOW,PROGRESS,20.1045,22.8204,22.3971,0,66.6159,LAGGARD,21.8096
266,10,PNN.AX,Power Minerals Limited,Process industries,Chemicals: agricultural,small,0.13,92.16,0.1818,0.2152,0.304,STRONG_DOWN,-29.73,116.67,-3.7,-64.89,38.55,110.21,0.472,LOW,-,0.115,0.1108,0.0984,1,40.8085,LEADER,21.4516
294,-4,DNL.AX,Dyno Nobel Limited,Process industries,Chemicals: agricultural,mid,3.28,78.43,0.025,0.1303,0.0898,FLAT,3.5,49.97,24.25,-18.49,48.59,35.24,0.6468,LOW,-,3.108,3.2352,3.1166,1,68.9033,LEADER,20.3238
296,56,MPP.AX,Metro Performance Glass Ltd,Process industries,Industrial specialties,small,0.92,100.0,0.0222,-0.4443,22.1222,FLAT,2687.88,2015.09,605.02,-54.55,9.24,7801.81,0.0,LOW,-,0.9205,0.6623,0.1924,1,2.3866,LEADER,20.2861
305,96,LBL.AX,Laserbond Limited,Process industries,Industrial specialties,small,0.565,82.35,0.0463,-0.0453,0.0316,FLAT,4.16,57.41,-25.4,-21.74,38.96,41.95,1.8659,HIGH,-,0.5744,0.5728,0.5367,1,53.3165,LEADER,20.1053
328,12,LPM.AX,Lithium Plus Minerals Ltd.,Process industries,Chemicals: agricultural,small,0.13,94.12,-0.0714,0.1167,-0.2067,FLAT,18.18,128.07,-3.7,-50.5,26.51,87.61,0.9444,LOW,-,0.1194,0.1316,0.1156,1,38.7529,LEADER,19.3593
340,-29,3DA.AX,Amaero Ltd,Process industries,Chemicals: major diversified,small,0.32,74.51,0.0323,0.1561,0.0919,FLAT,4.92,39.13,-22.89,-59.62,36.95,85.54,1.8217,HIGH,-,0.2868,0.285,0.3282,0,16.9028,LAGGARD,19.0529
351,-15,ELD.AX,Elders Limited,Process industries,Agricultural commodities/Milling,small,7.64,68.63,0.0409,0.114,0.1617,STRONG_DOWN,7.82,35.49,1.53,-15.21,55.42,27.59,1.3962,MED,-,7.088,7.1596,7.1166,1,71.2847,CONTENDER,18.8677
362,6,NHE.AX,Noble Helium Ltd.,Process industries,Chemicals: specialty,small,0.029,84.31,-0.2368,-0.0125,-0.1844,FLAT,-23.68,70.59,-67.42,-50.0,34.14,104.84,16.8672,HIGH,-,0.0355,0.0325,0.036,0,22.9863,LAGGARD,18.5979
400,69,FUL.AX,Fulcrum Lithium Ltd.,Process industries,Chemicals: agricultural,small,0.105,64.71,0.1798,0.0833,0.0768,STRONG_UP,40.0,32.91,-41.67,-56.25,19.28,78.58,2.3574,HIGH,-,0.0896,0.0994,0.0784,1,8.075,CONTENDER,17.582
449,15,FIN.AX,Fin Resources Limited,Process industries,Chemicals: agricultural,small,0.0105,90.2,-0.0455,-0.2292,0.0768,FLAT,16.67,110.0,-38.24,-57.14,19.28,121.91,0.155,LOW,-,0.0116,0.0122,0.0083,1,17.3964,LEADER,16.5097
518,3,PAT.AX,Patriot Resources limited,Process industries,Chemicals: agricultural,small,0.057,54.9,0.5,0.2208,0.0883,STRONG_UP,21.28,11.76,-43.0,-52.86,30.92,125.37,21.8815,HIGH,-,0.0404,0.0472,0.0488,1,2.9015,CONTENDER,15.5172
633,2,CG1.AX,Carbonxt Group Ltd.,Process industries,Chemicals: specialty,small,0.076,72.55,-0.1163,-0.0409,-0.1259,FLAT,-8.43,38.18,-5.0,-30.91,28.11,46.12,9.4835,HIGH,-,0.0826,0.0846,0.0825,0,23.2717,LAGGARD,13.9933
649,5,5EA.AX,"5E Advanced Materials, Inc. Shs Chess Depository Interests Repr 0.1 Sh",Process industries,Chemicals: specialty,small,0.23,3.92,0.0698,-0.1577,-0.4912,STRONG_UP,-69.74,-62.3,-95.24,-81.31,42.17,115.75,1.7117,HIGH,-,0.2455,0.2851,0.5372,0,-22.6953,WEAK,13.7212
657,131,RLF.AX,RLF AgTech Ltd,Process industries,Agricultural commodities/Milling,small,0.059,80.39,-0.0781,0.0167,-0.153,FLAT,-29.76,51.28,,-46.59,35.74,99.35,0.1881,LOW,-,0.0652,0.0598,0.0632,0,18.4481,LAGGARD,13.6602
674,14,CAN.AX,Cann Group Ltd.,Process industries,Agricultural commodities/Milling,small,0.005,1.96,-0.1667,-0.2649,-0.4548,STRONG_UP,-64.29,-68.75,-91.94,-73.68,20.88,174.29,1.3493,MED,-,0.006,0.0069,0.0108,0,-8.2363,WEAK,13.5617
747,16,QXR.AX,QX Resources Ltd,Process industries,Chemicals: agricultural,small,0.004,66.67,0.0,-0.1792,0.1222,FLAT,-20.0,33.33,-73.33,-60.0,16.06,184.59,0.0865,LOW,-,0.0043,0.0046,0.0043,0,2.9001,LAGGARD,12.7866
782,-248,HZR.AX,Hazer Group Ltd.,Process industries,Chemicals: specialty,small,0.345,52.94,-0.0143,-0.0831,-0.2194,STRONG_UP,-29.59,3.76,-27.75,-41.53,38.96,47.89,1.9462,HIGH,-,0.3634,0.3968,0.4232,0,3.0584,LAGGARD,12.5192
795,42,JAT.AX,Jatcorp ltd,Process industries,Chemicals: specialty,small,0.145,5.88,0.0357,0.1933,0.1222,FLAT,-30.95,-61.33,-53.23,-78.9,24.5,73.53,2.8681,HIGH,-,0.137,0.1385,0.2095,0,-20.4361,WEAK,12.4411
804,-135,INR.AX,ioneer Limited,Process industries,Chemicals: agricultural,small,0.13,41.18,0.0,-0.0162,-0.2903,STRONG_UP,-49.02,-7.14,-33.33,-62.96,31.73,99.44,0.5153,LOW,-,0.1222,0.1374,0.1548,0,-2.2792,WEAK,12.3736
862,112,LIT.AX,Livium Ltd.,Process industries,Chemicals: agricultural,small,0.011,70.59,0.2222,0.2556,0.1222,FLAT,-26.67,37.5,-62.07,-46.67,24.1,91.04,0.5932,LOW,-,0.0089,0.0096,0.011,0,9.927,LAGGARD,11.81
888,33,FRM.AX,Farm Pride Foods Limited,Process industries,Agricultural commodities/Milling,small,0.235,60.78,0.0217,0.0125,0.2972,FLAT,-28.79,27.03,104.35,-45.21,31.73,81.3,0.0,LOW,-,0.2305,0.233,0.2722,0,10.5482,LAGGARD,11.5134
894,130,ORA.AX,Orora Limited,Process industries,Containers/Packaging,mid,1.485,39.22,-0.2059,-0.2234,-0.2248,STRONG_UP,-24.77,-11.09,-25.1,-35.06,39.76,50.97,3.0677,HIGH,EARLY,1.8777,2.0064,2.0463,0,-8.653,WEAK,11.4675
936,-66,EVG.AX,Evion Group NL,Process industries,Chemicals: agricultural,small,0.024,58.82,-0.1429,-0.1516,-0.1352,FLAT,0.0,26.32,-11.11,-43.59,30.52,80.46,0.7176,LOW,-,0.0252,0.0273,0.0289,0,9.9821,LAGGARD,11.0712
940,-8,ATC.AX,Altech Batteries Limited,Process industries,Chemicals: specialty,small,0.0195,13.73,0.0833,-0.1667,-0.2594,STRONG_UP,-63.89,-51.25,-71.74,-70.69,31.73,81.7,1.011,MED,-,0.02,0.0231,0.0311,0,-19.9041,WEAK,11.0441
949,-3,MCA.AX,Murray Cod Australia Limited,Process industries,Agricultural commodities/Milling,small,0.315,0.0,-0.3,-0.309,-0.5959,STRONG_UP,-70.83,-70.28,-72.21,-72.84,37.75,103.13,3.781,HIGH,-,0.4375,0.5207,0.9185,0,-25.7266,WEAK,11.021
1000,-175,BNL.AX,Blue Star Helium Limited,Process industries,Chemicals: specialty,small,0.007,35.29,-0.125,0.4333,0.5222,STRONG_DOWN,0.0,-12.5,-12.5,-55.56,26.1,153.42,1.1949,MED,-,0.008,0.0062,0.0063,1,-2.1265,LAGGARD,10.6035
1059,0,ANO.AX,Advance ZincTek Limited,Process industries,Chemicals: specialty,small,0.955,62.75,0.0053,0.0128,0.1878,STRONG_DOWN,1.04,28.29,34.48,-30.4,14.06,16.76,0.0,LOW,-,0.9465,0.9537,0.9969,0,23.7321,LAGGARD,10.2017
1128,6,BGT.AX,Bio-Gene Technology Ltd.,Process industries,Chemicals: agricultural,small,0.031,47.06,-0.0606,-0.0935,0.3622,FLAT,-6.06,0.0,-55.71,-48.39,22.49,92.91,0.0,LOW,-,0.0337,0.0334,0.0269,1,0.0,LAGGARD,9.7597
1139,85,WOA.AX,Wide Open Agriculture Ltd.,Process industries,Agricultural commodities/Milling,small,0.014,25.49,0.0,-0.1556,-0.1526,FLAT,-22.22,-30.0,-87.83,-63.38,30.52,86.68,0.9658,LOW,-,0.0152,0.0158,0.0175,0,-10.563,WEAK,9.6826
1147,-7,MNC.AX,Merino & Co Limited,Process industries,Textiles,small,0.09,29.41,0.0,-0.0792,-0.1268,STRONG_UP,-35.71,-28.0,-61.7,-51.43,12.05,99.25,0.0,LOW,-,0.1022,0.1058,0.131,0,-3.3995,WEAK,9.6325
1179,-10,DTZ.AX,Dotz Nano Limited,Process industries,Chemicals: specialty,small,0.032,7.84,-0.0588,0.0333,-0.0889,FLAT,-54.29,-57.89,-78.67,-69.79,33.33,119.98,0.6537,LOW,-,0.0322,0.0341,0.0459,0,-16.0829,WEAK,9.4499
1211,-1,ECS.AX,Ecs Botanics Holdings Ltd,Process industries,Agricultural commodities/Milling,small,0.005,9.8,0.0,0.0333,-0.076,FLAT,-37.5,-54.55,-77.27,-61.54,20.48,127.85,0.3569,LOW,-,0.0051,0.0055,0.0068,0,-8.7375,WEAK,9.2188
1290,4,INF.AX,Infinity Metals Limited,Process industries,Chemicals: agricultural,small,0.0135,21.57,0.0385,-0.0792,-0.1153,STRONG_UP,-20.59,-32.5,-78.91,-53.85,26.1,75.96,,LOW,-,0.0131,0.0137,0.0163,0,-11.1671,WEAK,8.6391
1314,-23,SDV.AX,SciDev Ltd,Process industries,Chemicals: major diversified,small,0.185,11.76,-0.0513,-0.1569,-0.4983,STRONG_UP,-40.32,-52.56,-30.19,-63.73,33.33,83.76,0.8941,LOW,-,0.2082,0.2759,0.3461,0,-20.9164,WEAK,8.4789
1355,10,AJX.AX,Alexium International Group Limited,Process industries,Chemicals: specialty,small,0.007,47.06,0.0,0.0333,0.2889,STRONG_DOWN,0.0,0.0,-50.0,-44.44,12.45,133.31,0.0745,LOW,-,0.0072,0.0072,0.0067,1,0.0,LAGGARD,8.0583
1379,3,RIC.AX,Ridley Corporation Limited,Process industries,Agricultural commodities/Milling,small,2.74,56.86,0.0379,0.0524,0.1879,STRONG_DOWN,-6.62,11.77,20.2,-26.45,42.97,44.05,0.8412,LOW,-,2.6578,2.5824,2.7266,1,11.4834,CONTENDER,7.8306
1387,40,SEA.AX,Sea Forest Limited,Process industries,Agricultural commodities/Milling,small,2.28,50.98,-0.0256,-0.0447,-0.0711,STRONG_UP,,1.33,1.33,-30.06,38.46,47.52,0.3325,LOW,-,2.372,2.6909,,0,1.0791,LAGGARD,7.7736
1541,-10,DSM.AX,Desert Minerals Ltd.,Process industries,Chemicals: agricultural,small,0.22,37.25,-0.0222,-0.0992,0.0389,FLAT,,-12.0,-12.0,-35.38,35.9,78.59,0.158,LOW,-,0.2302,0.2542,,0,-5.4816,WEAK,5.8821
