rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
14,-3,AFA.AX,ASF Group Limited,Finance,Financial conglomerates,small,0.069,100.0,0.087,0.0692,0.0572,STRONG_UP,885.71,1625.0,40.82,-88.57,17.53,86.06,0.0464,LOW,-,0.0573,0.0606,0.0504,1,331.0045,LEADER,85.1312
27,1,NSR.AX,National Storage REIT,Finance,Real estate investment trusts,mid,2.79,75.82,-0.0083,-0.0155,0.0897,FLAT,20.31,32.74,36.6,-11.46,37.45,4.48,2.1122,HIGH,-,2.7795,2.771,2.529,1,273.7018,LEADER,67.3203
68,-20,IFL.AX,Insignia Financial Ltd,Finance,Investment managers,mid,4.79,77.78,-0.0083,-0.0007,0.1016,STRONG_DOWN,6.44,34.55,103.83,-17.5,42.63,7.88,0.0,LOW,-,4.7635,4.6916,4.5475,1,186.915,LEADER,40.2778
107,53,RG1.AX,Regal Partners Global Investments Limited,Finance,Investment managers,small,2.32,94.77,0.0004,0.043,0.0351,FLAT,23.0,67.92,38.9,-19.19,52.19,33.56,3.4556,HIGH,-,2.2077,2.239,1.9923,1,105.6211,LEADER,31.5163
112,9,OKJ.AX,Oakajee Corporation Ltd,Finance,Financial conglomerates,small,0.056,99.35,-0.0083,-0.1514,-0.1821,STRONG_UP,51.35,366.67,300.0,-36.21,16.33,56.5,0.0,LOW,-,0.0579,0.0619,0.0542,1,105.9764,LEADER,30.6488
124,-11,ZIP.AX,Zip Co Ltd.,Finance,Finance/Rental/Leasing,mid,2.51,94.12,0.4098,0.6699,-0.1085,FLAT,-43.21,66.23,113.62,-69.96,48.61,119.73,1.2888,MED,SHIFT,1.7617,1.8802,3.1399,0,26.8872,LAGGARD,28.9988
139,34,C79.AX,Chrysos Corp. Ltd.,Finance,Finance/Rental/Leasing,small,7.46,98.04,0.0151,-0.0357,0.0648,FLAT,-11.08,106.65,8.59,-31.46,51.39,53.49,0.1855,LOW,-,7.1745,8.007,7.4073,1,102.4612,LEADER,27.617
207,50,WBC.AX,Westpac Banking Corporation,Finance,Major banks,large,40.02,77.12,-0.0435,-0.0534,0.0984,FLAT,5.35,34.06,71.93,-8.99,55.78,22.41,1.0347,MED,-,40.676,40.9836,38.1637,1,84.7835,LEADER,23.7891
230,-46,ANZ.AX,ANZ Group Holdings Limited,Finance,Major banks,large,37.93,84.97,-0.0221,-0.0018,0.0865,STRONG_DOWN,5.87,43.19,,-12.2,56.57,27.17,0.6955,LOW,-,37.3255,38.0348,34.9621,1,89.916,LEADER,22.7709
236,0,RYD.AX,Ryder Capital Ltd.,Finance,Financial conglomerates,small,1.9,96.08,-0.0083,0.0055,0.0607,STRONG_DOWN,15.92,71.89,102.4,-11.79,42.63,30.67,0.4839,LOW,-,1.907,1.9365,1.7121,1,99.9216,LEADER,22.48
254,31,APZ.AX,Aspen Group Limited,Finance,Real estate investment trusts,small,4.83,90.85,-0.0021,-0.0867,-0.0989,STRONG_UP,-3.4,63.02,200.38,-30.17,50.2,43.6,0.3397,LOW,-,4.812,5.2542,4.8897,0,72.5577,LAGGARD,21.705
279,0,TWR.AX,Tower Limited,Finance,Property/Casualty insurance,small,1.62,85.62,-0.0235,0.0327,0.0106,FLAT,7.61,43.34,2312.47,-13.33,45.02,22.61,0.289,LOW,-,1.5852,1.5645,1.5149,1,86.2949,LEADER,20.9348
292,-81,NAB.AX,National Australia Bank Limited,Finance,Major banks,large,41.02,73.2,-0.0905,-0.1465,0.0431,FLAT,-3.37,26.63,34.3,-16.46,51.79,27.59,2.0007,HIGH,EARLY,43.3065,45.4348,42.3125,0,49.9869,LAGGARD,20.5368
308,-18,EZL.AX,Euroz Hartleys Group Limited,Finance,Investment banks/Brokers,small,1.22,96.73,-0.0001,0.0166,-0.0003,FLAT,21.39,75.32,94.18,-20.14,44.62,45.92,0.5141,LOW,-,1.2128,1.2595,1.0626,1,73.184,LEADER,20.1122
319,120,NGI.AX,Navigator Global Investments Ltd,Finance,Investment managers,small,2.43,87.58,0.122,0.1593,-0.1811,FLAT,18.54,47.83,50.93,-38.46,50.2,44.31,0.7616,LOW,-,2.1275,2.3998,2.4292,1,54.1879,LEADER,19.777
328,27,CWP.AX,Cedar Woods Properties Limited,Finance,Real estate development,small,7.27,86.93,-0.0232,-0.0643,-0.0405,FLAT,-1.48,46.88,77.4,-21.72,47.41,34.58,1.0502,MED,-,7.237,7.7032,7.7223,0,64.2669,LAGGARD,19.5976
