rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
237,-37,APE.AX,Eagers Automotive Limited,Retail trade,Specialty stores,mid,23.96,94.12,0.0102,0.1926,0.037,FLAT,-22.34,41.29,98.4,-40.79,52.19,42.66,0.5703,LOW,SHIFT,22.952,23.0067,25.0657,0,50.5152,LAGGARD,22.4186
397,-14,ASG.AX,Autosports Group Ltd,Retail trade,Specialty stores,small,2.38,91.18,-0.0157,-0.0518,-0.2601,STRONG_UP,-32.58,39.38,0.06,-49.78,48.61,57.73,0.1594,LOW,-,2.4225,2.7986,3.3156,0,33.1626,LAGGARD,18.0502
426,-87,ATG.AX,Articore Group Limited,Retail trade,Internet retail,small,0.275,100.0,-0.0115,-0.1667,0.1214,FLAT,-15.38,83.33,-41.49,-34.18,36.55,61.82,0.5526,LOW,-,0.3012,0.3291,0.2855,0,49.2694,LAGGARD,17.4498
434,69,LOV.AX,Lovisa Holdings Ltd.,Retail trade,Specialty stores,mid,24.85,70.59,0.0805,0.2259,-0.0293,FLAT,-32.4,9.28,-14.32,-51.53,52.99,59.61,0.6264,LOW,SHIFT,22.3955,23.8527,31.1477,0,8.2458,LAGGARD,17.1783
473,-42,WOW.AX,Woolworths Group Ltd,Retail trade,Food retail,large,37.49,85.29,0.0018,0.0204,0.3852,STRONG_DOWN,42.04,21.44,26.03,-21.68,50.2,30.02,0.5978,LOW,-,36.7635,35.0471,30.3262,1,35.8478,LEADER,16.3216
582,-125,JYC.AX,Joyce Corporation Ltd,Retail trade,Specialty stores,small,5.89,97.06,0.0185,-0.0017,0.2606,FLAT,13.83,47.24,61.34,-7.81,40.24,32.99,0.0709,LOW,-,5.8665,5.6123,5.1224,1,57.6243,LEADER,14.9575
641,21,BBN.AX,Baby Bunting Group Ltd.,Retail trade,Apparel/Footwear retail,small,1.575,67.65,0.0337,-0.0762,-0.2454,STRONG_UP,-42.93,9.0,-12.01,-57.89,44.62,55.09,0.3869,LOW,-,1.502,1.8191,2.3554,0,7.2867,LAGGARD,14.2835
678,5,BMH.AX,Baumart Holdings Ltd,Retail trade,Home improvement chains,small,0.006,0.0,-0.0115,0.0,-0.0132,FLAT,-45.45,-85.0,-92.94,-85.0,1.59,28.57,0.1219,LOW,-,0.006,0.0061,0.0085,0,-4.7305,WEAK,13.7068
679,457,CCV.AX,Cash Converters International Limited,Retail trade,Specialty stores,small,0.32,88.24,0.0229,0.0481,0.1397,STRONG_DOWN,-1.45,38.62,72.01,-19.75,34.26,42.36,4.2157,HIGH,-,0.2952,0.305,0.3123,1,31.2317,LEADER,13.704
878,-249,HPC.AX,Hydration Pharmaceuticals Company Limited,Retail trade,Food retail,small,0.004,5.88,-0.2115,0.0,-0.0704,FLAT,-50.0,-63.64,-69.23,-75.0,14.34,124.4,0.0,LOW,-,0.0042,0.0046,0.0074,0,-7.3356,WEAK,11.7354
