rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
4,2,FDR.AX,Finder Energy Holdings Limited,Energy minerals,Integrated oil,small,0.59,100.0,0.0085,0.0172,0.5304,STRONG_DOWN,32.58,1452.63,851.61,-44.63,41.9,77.45,0.0,LOW,-,0.5914,0.5913,0.3948,1,785.8652,LEADER,156.8957
15,8,D3E.AX,D3 Energy Limited,Energy minerals,Integrated oil,small,0.41,98.94,0.0,0.1389,0.1492,STRONG_DOWN,-11.83,540.62,74.47,-55.08,41.5,78.4,2.3987,HIGH,-,0.3959,0.4041,0.3875,1,286.1727,LEADER,80.0875
48,-12,EXR.AX,Elixir Energy Limited,Energy minerals,Oil & gas production,small,0.15,97.87,0.0,0.5306,0.807,STRONG_DOWN,265.85,476.92,36.36,-24.53,39.13,88.83,0.2366,LOW,-,0.1388,0.108,0.0665,1,210.0867,LEADER,46.0618
58,3,EMP.AX,Emperor Energy Ltd,Energy minerals,Oil & gas production,small,0.125,96.81,0.25,0.1905,0.1683,STRONG_UP,71.23,362.96,1036.36,-31.72,37.94,96.21,1.3074,MED,-,0.1098,0.1209,0.084,1,143.1329,LEADER,40.738
88,-17,OMA.AX,Omega Oil & Gas Limited,Energy minerals,Oil & gas production,small,0.885,94.68,-0.0876,0.2378,0.881,STRONG_DOWN,126.92,261.22,342.5,-34.34,39.92,87.98,1.3407,MED,-,0.8767,0.6994,0.47,1,118.5279,LEADER,33.9113
107,16,MAH.AX,Macmahon Holdings Limited,Energy minerals,Coal,small,0.74,90.43,-0.0864,0.0423,0.0986,STRONG_DOWN,61.5,184.42,219.2,-22.01,44.27,62.07,0.4716,LOW,-,0.8055,0.737,0.5572,1,131.5354,LEADER,30.3283
141,21,WDS.AX,Woodside Energy Group Ltd,Energy minerals,Oil & gas production,large,33.05,77.66,0.0403,-0.0616,0.328,FLAT,40.03,68.9,33.7,-16.32,56.13,39.44,0.8132,LOW,-,33.104,31.4945,25.8298,1,98.0632,LEADER,26.5777
149,144,BTM.AX,Breakthrough Minerals Limited,Energy minerals,Coal,small,0.195,91.49,0.1143,0.2581,-0.0449,FLAT,-17.02,186.76,56.63,-48.15,30.83,113.21,1.7244,HIGH,-,0.1652,0.1857,0.1653,1,50.8608,LEADER,26.0561
170,10,MCM.AX,MC Mining Ltd,Energy minerals,Coal,small,0.31,95.74,0.069,0.0,0.3556,FLAT,37.78,287.5,93.75,-29.63,25.69,85.97,0.1296,LOW,-,0.3158,0.2894,0.205,1,85.9122,LEADER,24.6871
180,-41,XST.AX,Xstate Resources Limited,Energy minerals,Integrated oil,small,0.031,93.62,-0.0313,0.4762,0.7,STRONG_DOWN,40.91,244.44,106.67,-69.64,19.76,98.24,0.2956,LOW,-,0.031,0.0246,0.0221,1,49.1676,LEADER,24.1284
226,-5,VSR.AX,Voltaic Strategic Resources Limited,Energy minerals,Integrated oil,small,0.038,92.55,-0.1163,0.0,-0.2004,FLAT,31.03,192.31,153.33,-47.69,32.41,112.31,0.9587,LOW,-,0.0398,0.0442,0.0361,1,55.4954,LEADER,22.1233
234,4,JAL.AX,Jameson Resources Limited,Energy minerals,Coal,small,0.051,86.17,-0.0192,-0.2609,-0.3462,STRONG_UP,-49.0,104.0,64.52,-59.2,14.62,63.4,2.3253,HIGH,-,0.065,0.0681,0.0826,0,23.9823,LAGGARD,21.9143
242,45,STO.AX,Santos Limited,Energy minerals,Oil & gas production,large,7.77,59.57,0.0078,-0.0348,0.1381,FLAT,25.58,35.49,11.29,-24.97,51.78,31.08,0.5539,LOW,-,7.791,7.5384,6.9071,1,59.1333,CONTENDER,21.7493
268,8,ALD.AX,Ampol Limited,Energy minerals,Oil refining/Marketing,mid,34.58,71.28,0.0329,0.0171,0.2086,FLAT,12.98,50.74,-0.76,-15.4,54.15,34.6,0.7813,LOW,-,33.3015,31.5782,29.8875,1,79.4097,CONTENDER,20.8548
289,133,YAL.AX,Yancoal Australia Ltd.,Energy minerals,Coal,mid,7.5,73.4,0.046,-0.1379,0.2922,FLAT,42.23,54.85,52.01,-27.68,52.57,62.43,1.0818,MED,-,7.343,7.13,5.9046,1,46.1879,CONTENDER,20.2547
304,-24,IVZ.AX,Invictus Energy Limited,Energy minerals,Integrated oil,small,0.065,51.06,-0.4091,0.2745,0.2778,STRONG_DOWN,-59.38,22.64,-8.45,-82.75,34.78,145.61,3.8912,HIGH,-,0.0672,0.0571,0.109,0,5.4081,LAGGARD,19.9003
356,142,CRN.AX,Coronado Global Resources Inc. Shs Chess Depository Interests Repr 10 Sh,Energy minerals,Coal,small,0.275,64.89,0.0185,-0.1667,-0.3978,STRONG_UP,-15.38,41.03,-77.58,-46.94,44.66,80.33,1.5798,HIGH,-,0.3033,0.3123,0.3178,0,22.8085,LAGGARD,18.544
358,0,KEY.AX,Key Petroleum Limited,Energy minerals,Integrated oil,small,0.16,89.36,0.4545,1.6667,1.7364,STRONG_DOWN,290.24,166.67,60.0,-54.0,19.76,195.8,6.93,HIGH,-,0.1063,0.0739,0.0604,1,16.8199,LEADER,18.497
