rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,SRL.AX,Sunrise Energy Metals Limited,Producer manufacturing,Industrial machinery,small,15.02,100.0,-0.059,0.2105,1.0302,STRONG_DOWN,126.89,3519.28,2996.91,-36.13,55.34,89.3,0.3713,LOW,-,13.7855,11.7864,7.6608,1,2180.9273,LEADER,414.0378
62,11,EVZ.AX,EVZ Limited,Producer manufacturing,Industrial machinery,small,0.67,92.86,0.1846,0.5805,1.4463,STRONG_DOWN,196.16,369.77,369.77,-18.75,28.06,71.82,12.6677,HIGH,-,0.552,0.4167,0.2677,1,144.4688,LEADER,39.8867
68,32,14D.AX,1414 Degrees Ltd.,Producer manufacturing,Building products,small,0.16,97.62,0.7273,2.5596,6.6961,STRONG_DOWN,595.65,742.11,128.57,-79.27,30.04,311.72,2.2851,HIGH,-,0.0748,0.044,0.0321,1,71.5156,LEADER,38.9162
85,25,KOV.AX,Korvest Ltd.,Producer manufacturing,Metal fabrication,small,19.69,80.95,0.1146,0.3167,0.3008,FLAT,46.09,96.26,145.07,-18.0,53.75,41.14,1.8556,HIGH,-,16.6785,15.6197,14.2687,1,125.7652,LEADER,35.524
97,16,MYG.AX,Mayfield Group Holdings Limited,Producer manufacturing,Electrical products,small,3.17,88.1,0.0378,0.314,0.4434,STRONG_DOWN,25.39,206.04,350.75,-43.45,45.85,75.67,0.9972,LOW,-,2.8375,2.4736,2.2585,1,124.8409,LEADER,33.0325
126,-25,AHL.AX,Adrad Holdings Limited,Producer manufacturing,Auto parts: OEM,small,1.335,85.71,0.0034,0.043,0.3593,STRONG_DOWN,28.84,140.09,80.68,-19.51,37.15,38.73,,LOW,-,1.2883,1.2331,0.9785,1,134.373,LEADER,30.0804
144,-32,MPW.AX,Metal Powder Works Limited,Producer manufacturing,Industrial machinery,small,2.08,83.33,-0.024,-0.1969,-0.1031,FLAT,10.64,123.66,473.79,-71.96,46.64,80.11,0.0742,LOW,-,2.391,2.4102,2.6518,0,71.9924,LAGGARD,28.2763
146,0,T3D.AX,333D Limited,Producer manufacturing,Industrial machinery,small,0.027,95.24,0.2154,-0.129,0.0081,FLAT,-55.74,440.0,285.71,-91.6,20.55,199.66,0.9518,LOW,-,0.0251,0.0266,0.0534,0,45.287,LAGGARD,28.1229
245,-24,EDE.AX,Eden Innovations Ltd,Producer manufacturing,Trucks/Construction/Farm machinery,small,0.185,90.48,-0.154,0.0612,0.5001,STRONG_DOWN,340.48,208.33,362.5,-63.33,31.23,144.21,0.4311,LOW,-,0.2165,0.1787,0.0999,1,45.1165,LEADER,22.1801
247,-119,BSL.AX,Bluescope Steel Limited,Producer manufacturing,Metal fabrication,large,31.51,69.05,0.0179,0.0711,0.2484,STRONG_DOWN,37.15,42.02,60.34,-19.09,50.59,27.57,0.372,LOW,-,30.353,29.0542,25.1429,1,77.1034,CONTENDER,22.1505
276,25,CXL.AX,Calix Ltd.,Producer manufacturing,Industrial machinery,small,0.51,73.81,-0.0046,-0.0192,-0.3065,STRONG_UP,-23.88,56.92,-61.8,-73.82,45.45,93.18,0.6683,LOW,-,0.5012,0.5696,0.7032,0,27.7651,LAGGARD,21.1279
280,79,CCE.AX,Carnegie Clean Energy Ltd,Producer manufacturing,Electrical products,small,0.1,76.19,-0.3002,0.6847,0.8952,STRONG_DOWN,36.99,75.44,150.0,-71.58,36.36,205.99,2.6774,HIGH,-,0.0861,0.0703,0.0727,1,13.3159,LEADER,21.0852
355,-102,FGR.AX,First Graphene Ltd,Producer manufacturing,Electrical products,small,0.056,78.57,-0.049,-0.082,-0.1818,STRONG_UP,-18.84,86.67,0.0,-46.46,41.5,87.78,0.9032,LOW,-,0.0588,0.0612,0.0714,0,40.9737,LAGGARD,18.7378
