rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
144,35,LSF.AX,L1 Long Short Fund Ltd.,Miscellaneous,Investment trusts/Mutual funds,mid,4.37,95.95,-0.0031,0.0413,0.0461,STRONG_DOWN,21.38,64.63,50.66,-16.82,52.17,33.0,1.1793,MED,-,4.3068,4.1523,3.7923,1,102.1777,LEADER,28.1808
160,-4,TGF.AX,Tribeca Global Natural Resources Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,2.71,100.0,-0.0356,0.0385,-0.0485,FLAT,34.49,105.53,70.45,-31.33,52.57,57.03,0.6402,LOW,-,2.7337,2.654,2.3122,1,97.2753,LEADER,26.702
199,-52,PE1.AX,Pengana Private Equity Trust,Miscellaneous,Investment trusts/Mutual funds,small,1.81,97.3,-0.0474,0.06,0.2455,STRONG_DOWN,38.53,67.74,39.2,-12.0,43.08,30.74,1.1373,MED,-,1.8118,1.6986,1.4535,1,94.9391,LEADER,24.0356
294,2,LRT.AX,Lowell Resources Funds Management Ltd Units,Miscellaneous,Investment trusts/Mutual funds,small,2.41,98.65,-0.0123,0.0681,-0.0935,FLAT,26.84,75.74,93.19,-37.5,52.17,69.76,0.9815,LOW,-,2.448,2.3639,2.2384,1,56.6425,LEADER,20.3635
328,45,ACQ.AX,Acorn Capital Investment Fund Ltd Registered,Miscellaneous,Investment trusts/Mutual funds,small,0.95,83.78,0.0106,0.0478,0.0053,FLAT,8.37,32.79,32.95,-15.38,41.9,24.44,2.6806,HIGH,-,0.9275,0.908,0.8976,1,56.2191,LEADER,19.3001
372,19,RF1.AX,Regal Investment Fund Units,Miscellaneous,Investment trusts/Mutual funds,small,3.47,89.19,0.0058,-0.0027,0.0348,FLAT,6.97,35.46,19.02,-14.67,48.02,28.52,1.4417,MED,-,3.4955,3.4326,3.3261,1,59.703,LEADER,18.2804
415,9,8IH.AX,8I Holdings Ltd. Chess Depository Interests repr 1 shs,Miscellaneous,Miscellaneous,small,0.012,85.14,0.0,-0.0085,-0.1894,STRONG_UP,-20.0,33.33,-20.0,-75.51,9.88,55.94,0.0,LOW,-,0.0125,0.0136,0.0148,0,5.8873,LAGGARD,17.293
418,-34,IFT.AX,Infratil Limited,Miscellaneous,Miscellaneous,large,12.73,86.49,-0.0312,0.2046,0.4162,STRONG_DOWN,25.79,33.49,32.09,-21.65,49.01,40.49,0.5628,LOW,-,12.698,11.0066,10.3219,1,40.5429,LEADER,17.2102
464,33,FGG.AX,Future Generation Global Limited,Miscellaneous,Investment trusts/Mutual funds,small,1.685,77.03,0.0212,0.0408,0.079,STRONG_DOWN,9.87,26.35,42.33,-9.64,45.85,19.53,1.1177,MED,-,1.6503,1.5926,1.5417,1,61.8693,LEADER,16.4064
478,-210,FPC.AX,Fat Prophets Global Contrarian Fund Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,1.44,91.89,0.0141,-0.0154,-0.053,STRONG_UP,7.42,45.83,48.69,-19.45,38.74,37.06,0.2129,LOW,-,1.457,1.4523,1.436,1,47.9072,LEADER,16.092
501,-40,DRR.AX,Deterra Royalties Ltd,Miscellaneous,Investment trusts/Mutual funds,mid,4.43,75.68,-0.0494,0.0346,0.0817,STRONG_DOWN,12.86,23.98,6.27,-16.18,50.59,27.74,1.3415,MED,-,4.4855,4.247,4.0939,1,43.7326,LEADER,15.7159
515,75,WAA.AX,WAM Active Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,0.99,82.43,-0.0149,-0.0074,0.0562,STRONG_DOWN,2.11,31.35,30.06,-19.18,43.48,24.36,,LOW,-,1.0059,0.9704,0.9626,1,55.9614,LEADER,15.5134
540,16,NCC.AX,NAOS Emerging Opportunities Co. Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,0.42,94.59,0.012,0.0166,0.0276,STRONG_DOWN,4.95,53.85,0.28,-15.0,35.18,33.26,0.923,LOW,-,0.4088,0.4159,0.3989,1,56.957,LEADER,15.1654
602,152,GLS.AX,L1 Global Long Short Fund Limited Registered,Miscellaneous,Investment trusts/Mutual funds,small,1.79,90.54,0.0468,-0.0487,-0.0785,STRONG_UP,1.93,35.85,33.97,-23.65,46.25,49.22,0.6289,LOW,-,1.8093,1.8029,1.7373,1,33.683,LEADER,14.295
616,63,PGF.AX,PM Capital Global Opportunities Fund Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,3.02,79.73,0.0203,0.0229,0.0251,STRONG_DOWN,10.08,28.1,45.69,-17.3,44.27,28.92,1.1969,MED,-,2.9535,2.9026,2.8216,1,43.0094,LEADER,14.2116
631,-3,CDM.AX,Cadence Capital Limited,Miscellaneous,Investment trusts/Mutual funds,small,0.75,81.08,-0.0132,0.0126,-0.0467,FLAT,12.72,30.75,22.26,-13.87,43.48,27.92,0.6145,LOW,-,0.7527,0.7607,0.7149,1,47.8851,LEADER,13.9774
667,2,BEL.AX,Bentley Capital Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,0.013,59.46,0.0,-0.1418,-0.2672,STRONG_UP,-31.58,8.33,-43.48,-61.54,17.79,110.44,0.0,LOW,-,0.0143,0.0149,0.0177,0,1.3424,LAGGARD,13.4792
713,-165,NAC.AX,NAOS Ex-50 Opportunities Co. Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,0.595,93.24,0.0215,0.0198,-0.0454,STRONG_UP,-4.88,48.07,27.07,-17.52,42.29,54.31,0.9923,LOW,-,0.5793,0.5804,0.5962,0,37.4295,LAGGARD,13.0229
850,449,CAF.AX,Centrepoint Alliance Limited,Miscellaneous,Investment trusts/Mutual funds,small,0.37,67.57,0.0882,0.0725,0.0279,STRONG_UP,6.23,10.52,50.42,-30.16,35.97,37.81,7.4299,HIGH,-,0.3414,0.3469,0.373,0,10.0127,LAGGARD,11.8665
911,-117,FGX.AX,Future Generation Australia Limited Stapled Security,Miscellaneous,Investment trusts/Mutual funds,small,1.33,71.62,0.0038,0.0114,0.0077,FLAT,5.08,15.46,27.3,-11.19,43.48,17.33,0.3206,LOW,-,1.3178,1.3102,1.2933,1,38.7991,CONTENDER,11.1842
948,69,NSC.AX,NAOS Small Cap Opportunities Company Ltd,Miscellaneous,Investment trusts/Mutual funds,small,0.33,78.38,0.0476,-0.0723,-0.0336,FLAT,-9.32,27.81,-14.04,-23.61,37.15,39.07,0.393,LOW,-,0.3418,0.3299,0.3452,0,26.4419,LAGGARD,10.8546
972,129,WLE.AX,WAM Leaders Limited,Miscellaneous,Investment trusts/Mutual funds,small,1.325,72.97,0.0038,0.0037,0.0085,FLAT,6.36,15.94,16.23,-6.29,42.29,16.52,0.935,LOW,-,1.3218,1.3243,1.2962,1,40.7995,CONTENDER,10.6776
985,105,CMA.AX,Carma Limited,Miscellaneous,Miscellaneous,small,0.695,0.0,0.0,-0.1661,-0.3047,STRONG_UP,-57.1,-72.2,-72.2,-76.0,37.06,87.14,2.0642,HIGH,-,0.6903,0.7928,,0,-30.7061,WEAK,10.6046
1020,33,CDO.AX,Cadence Opportunities Fund Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,2.15,87.84,-0.0227,0.0308,0.0725,STRONG_DOWN,23.47,35.33,35.33,-10.84,35.74,35.63,0.4882,LOW,-,2.134,2.1405,1.938,1,35.4414,LEADER,10.3606
1122,127,PIA.AX,Pengana International Equities Ltd Registered,Miscellaneous,Investment trusts/Mutual funds,small,1.26,63.51,0.003,0.0236,0.0541,STRONG_DOWN,1.03,10.11,22.47,-11.13,39.53,15.24,1.7801,HIGH,-,1.2494,1.2177,1.2212,1,26.2221,CONTENDER,9.544
1139,-68,COG.AX,COG Financial Services Limited,Miscellaneous,Investment trusts/Mutual funds,small,1.51,45.95,-0.0321,-0.0085,0.0835,STRONG_DOWN,-26.86,4.19,48.86,-50.78,36.76,64.23,0.1987,LOW,-,1.563,1.4173,1.7873,0,2.3995,WEAK,9.3953
1144,56,KAM.AX,K2 Asset Management Holdings Ltd,Miscellaneous,Investment trusts/Mutual funds,small,0.059,47.3,0.0172,-0.1534,-0.1921,STRONG_UP,-23.38,4.64,33.58,-42.11,18.97,51.02,0.0,LOW,-,0.0622,0.069,0.0771,0,1.724,WEAK,9.3789
1169,-32,WQG.AX,WCM Global Growth Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,1.91,66.22,0.0079,0.0388,0.1195,STRONG_DOWN,-4.22,10.3,36.54,-20.46,46.25,25.16,1.0351,MED,-,1.869,1.7959,1.8717,1,18.9264,CONTENDER,9.2054
1189,43,GCI.AX,Gryphon Capital Income Trust,Miscellaneous,Investment trusts/Mutual funds,small,2.05,62.16,-0.0031,0.0038,0.0488,STRONG_DOWN,3.73,9.79,17.27,-4.5,36.76,9.02,0.6648,LOW,-,2.0421,2.0152,1.9869,1,39.9053,CONTENDER,9.0279
1301,-81,WAM.AX,WAM Capital Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,1.56,60.81,0.0065,-0.0669,-0.017,FLAT,-8.48,9.52,,-12.73,42.69,17.12,0.6346,LOW,-,1.6085,1.6227,1.6719,0,23.7451,LAGGARD,8.0786
1330,99,TCF.AX,360 Capital Mortgage REIT,Miscellaneous,Investment trusts/Mutual funds,small,5.8,54.05,0.0017,0.0026,0.0407,STRONG_DOWN,8.91,6.66,35.79,-5.77,45.45,10.91,1.4169,MED,-,5.7583,5.7007,5.5598,1,27.7649,CONTENDER,7.7691
1352,-75,BKI.AX,BKI Investment Co. Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,1.79,64.86,0.0,0.0064,0.0519,STRONG_DOWN,7.41,10.14,16.34,-9.89,43.48,17.13,0.8533,LOW,-,1.792,1.7508,1.725,1,25.7368,CONTENDER,7.5581
1354,33,KAT.AX,Katana Capital Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,1.34,68.92,0.0,-0.041,-0.0076,FLAT,0.01,13.86,13.4,-5.0,20.55,9.98,0.0,LOW,-,1.3465,1.3503,1.3404,0,28.5463,LAGGARD,7.5138
1359,-34,TEK.AX,Thorney Technologies Limited,Miscellaneous,Investment trusts/Mutual funds,small,0.093,16.22,-0.0312,-0.0398,-0.2454,STRONG_UP,-25.6,-7.0,-31.11,-35.86,21.34,42.0,1.4022,MED,-,0.0951,0.0996,0.1214,0,-3.5567,WEAK,7.4705
1385,56,PL8.AX,Plato Income Maximiser Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,1.375,55.41,-0.0036,-0.0045,-0.0297,STRONG_UP,-0.88,6.74,26.05,-15.47,43.48,24.96,0.8906,LOW,-,1.3771,1.3577,1.3895,0,11.7344,LAGGARD,7.2097
1412,-6,WAR.AX,WAM Strategic Value Ltd,Miscellaneous,Investment trusts/Mutual funds,small,1.11,58.11,-0.0089,-0.0085,0.0067,STRONG_DOWN,5.68,8.02,13.32,-7.98,37.15,16.4,1.6719,HIGH,-,1.1235,1.1206,1.099,1,18.1656,CONTENDER,6.9244
1418,143,AIQ.AX,Alternative Investment Trust Units,Miscellaneous,Investment trusts/Mutual funds,small,1.395,29.73,0.0109,-0.0013,-0.0329,STRONG_UP,-0.98,-0.63,11.4,-25.49,18.18,18.48,1.7542,HIGH,-,1.3952,1.3797,1.4176,0,-0.6149,WEAK,6.8738
