rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,1,4DX.AX,4DMedical Ltd.,Technology services,Information technology services,mid,3.97,100.0,-0.0293,0.2784,0.0687,FLAT,115.76,1223.33,506.11,-52.79,48.41,119.96,0.4833,LOW,-,3.662,4.6366,3.1953,1,493.6776,LEADER,110.655
3,-1,ELS.AX,Elsight Ltd.,Technology services,Packaged software,small,7.62,97.99,0.0079,0.1672,0.4208,STRONG_DOWN,305.32,677.55,1285.45,-45.2,54.37,71.37,0.4459,LOW,-,6.479,6.5754,3.7961,1,516.1615,LEADER,105.7374
18,-8,AYA.AX,Artrya Limited,Technology services,Packaged software,small,4.79,97.32,0.0,0.1181,0.677,STRONG_DOWN,36.86,522.08,1816.0,-48.32,48.02,94.43,0.4696,LOW,-,4.775,4.2588,3.4996,1,265.4896,LEADER,60.5491
26,151,HMD.AX,HeraMED Ltd,Technology services,Packaged software,small,0.042,95.97,0.0769,0.0184,0.1962,FLAT,13.51,425.0,90.91,-34.04,32.94,77.89,2.3726,HIGH,-,0.04,0.0443,0.0396,1,179.7342,LEADER,52.474
27,-15,FTI.AX,Fortifai Limited,Technology services,Packaged software,small,0.745,99.33,-0.1337,0.1967,0.908,STRONG_DOWN,292.11,831.25,131.78,-44.55,39.68,159.24,0.2396,LOW,-,0.7105,0.6591,0.3523,1,207.1339,LEADER,50.4407
37,7,SKK.AX,Stakk Ltd,Technology services,Packaged software,small,0.03,96.64,0.1538,0.4702,0.5909,STRONG_DOWN,-14.29,500.0,900.0,-74.24,30.16,126.87,2.655,HIGH,-,0.0223,0.0208,0.029,1,118.8618,LEADER,47.1402
72,12,KLV.AX,Klevo Rewards Limited,Technology services,Packaged software,small,0.076,98.66,0.0857,0.5032,1.9057,STRONG_DOWN,744.44,744.44,,-55.56,19.05,122.78,0.1901,LOW,-,0.0643,0.0457,0.0214,1,115.5047,LEADER,35.419
76,11,ROC.AX,RocketBoots Ltd.,Technology services,Packaged software,small,0.315,95.3,0.0161,0.1667,0.3262,STRONG_DOWN,90.91,288.89,142.31,-51.11,38.49,92.62,0.3017,LOW,-,0.298,0.3034,0.2454,1,120.0533,LEADER,33.9112
114,239,ATV.AX,Activeport Group Limited,Technology services,Packaged software,small,0.024,93.29,0.7143,1.0417,1.4909,STRONG_DOWN,9.09,200.0,-57.89,-84.09,32.54,192.93,8.1171,HIGH,-,0.0161,0.0126,0.0198,1,33.7324,LEADER,29.2112
139,9,FMR.AX,FMR Resources Limited,Technology services,Packaged software,small,0.385,88.59,0.1,0.9667,0.5717,FLAT,26.23,120.0,-3.75,-64.29,40.87,123.95,4.1957,HIGH,-,0.339,0.2602,0.3034,1,39.5676,LEADER,26.8752
202,657,DXN.AX,DXN Ltd.,Technology services,Data processing services,small,0.175,94.63,7.75,7.7917,6.3826,FLAT,326.83,272.34,191.67,-78.08,26.19,1188.48,14.469,HIGH,-,0.04,0.0278,0.0398,1,6.0014,LEADER,23.1662
211,177,TRI.AX,TrivarX Limited,Technology services,Packaged software,small,0.028,93.96,0.0,-0.0252,0.3636,FLAT,21.74,211.11,3.7,-51.61,30.16,114.78,0.1741,LOW,-,0.0278,0.0224,0.0197,1,55.4723,LEADER,22.8975
214,7,SHO.AX,SportsHero Limited,Technology services,Packaged software,small,0.069,91.95,-0.0921,-0.0002,-0.2845,FLAT,86.49,187.5,2200.0,-54.81,37.3,136.09,0.0764,LOW,-,0.0692,0.0775,0.0635,1,51.3906,LEADER,22.6819
225,61,RKT.AX,RocketDNA Ltd,Technology services,Data processing services,small,0.028,91.28,0.1667,0.344,0.2109,FLAT,64.71,154.55,250.0,-42.42,31.75,79.58,0.1305,LOW,-,0.024,0.0229,0.0207,1,61.6589,LEADER,22.1194
236,-119,DUG.AX,DUG Technology Ltd,Technology services,Packaged software,small,2.3,85.91,-0.0574,0.0204,0.2555,STRONG_DOWN,15.0,73.58,-6.12,-43.11,42.06,47.55,0.6788,LOW,-,2.3145,2.183,2.1603,1,65.089,LEADER,21.6656
258,166,CBL.AX,Control Bionics Ltd.,Technology services,Packaged software,small,0.079,89.26,0.339,0.2034,0.5016,FLAT,8.22,125.71,71.74,-31.65,28.57,80.75,6.856,HIGH,-,0.0617,0.0604,0.055,1,44.4787,LEADER,20.6794
