rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
126,10,IPG.AX,IPD Group Ltd,Utilities,Electric utilities,small,6.08,88.89,0.005,-0.0352,0.2531,FLAT,54.85,112.7,52.16,-23.36,49.21,48.1,0.7137,LOW,-,5.9605,5.4986,4.4184,1,115.3019,LEADER,28.3078
147,-52,EWC.AX,Energy World Corporation Ltd,Utilities,Electric utilities,small,0.058,100.0,0.6111,0.3488,0.7099,FLAT,20.83,190.0,480.0,-67.05,37.7,229.61,2.2886,HIGH,-,0.0441,0.0403,0.0472,1,31.1964,LEADER,26.1649
179,1,APA.AX,APA Group,Utilities,Gas distributors,large,10.39,77.78,0.0297,0.0068,0.0866,FLAT,14.61,33.7,41.11,-6.66,52.78,16.56,0.6564,LOW,-,10.301,10.1456,9.2175,1,107.3944,LEADER,24.625
187,156,KPO.AX,Kalina Power Limited,Utilities,Alternative power generation,small,0.014,94.44,0.0,0.2174,0.119,FLAT,-6.67,180.0,366.67,-56.52,28.17,132.65,3.5753,HIGH,-,0.0136,0.0125,0.0142,0,38.2254,LAGGARD,24.0235
414,70,TML.AX,Timah Resources Ltd,Utilities,Electric utilities,small,0.047,83.33,0.0,-0.0034,-0.0368,STRONG_UP,14.63,34.29,56.67,-31.43,5.56,4.35,0.0,LOW,-,0.047,0.047,0.0412,1,43.8227,LEADER,17.0189
697,-9,JNS.AX,Janus Electric Holdings Limited,Utilities,Alternative power generation,small,0.16,22.22,-0.1111,-0.2415,0.1831,FLAT,61.62,-25.58,2185.71,-74.88,27.78,135.29,0.6135,LOW,-,0.1876,0.1773,0.1372,1,-5.2528,LAGGARD,13.0908
854,-122,LGI.AX,LGI LTD,Utilities,Alternative power generation,small,3.1,66.67,-0.0936,-0.1177,-0.1698,STRONG_UP,-23.39,8.01,3.25,-31.03,36.9,38.61,2.2678,HIGH,-,3.417,3.5228,3.8106,0,7.6591,LAGGARD,11.5195
1126,130,GNE.AX,Genesis Energy Limited,Utilities,Electric utilities,mid,2.18,72.22,0.0381,0.0792,0.1568,STRONG_DOWN,8.13,9.01,22.2,-17.79,44.84,30.32,1.0519,MED,-,2.0547,1.9554,1.9994,1,13.324,CONTENDER,9.4306
1175,-93,GHY.AX,Gold Hydrogen Ltd.,Utilities,Electric utilities,small,0.485,27.78,0.0,0.5645,0.3788,FLAT,-10.19,-19.17,-66.89,-54.2,38.49,94.75,0.4163,LOW,-,0.421,0.3783,0.4401,1,-7.786,LAGGARD,9.132
1281,-250,TPC.AX,TPC Consolidated Limited,Utilities,Electric utilities,small,3.59,0.0,0.0,-0.1646,-0.0328,FLAT,-37.7,-59.16,-65.62,-64.74,13.49,49.21,0.0,LOW,-,3.6865,3.937,5.3801,0,-16.2185,WEAK,8.1923
1370,-758,VPR.AX,Volt Group Ltd.,Utilities,Electric utilities,small,0.165,38.89,0.0,0.1,0.0169,FLAT,17.86,-10.81,10.0,-40.54,26.98,59.97,0.2046,LOW,-,0.158,0.1557,0.15,1,-4.8637,LAGGARD,7.3257
1431,-58,MCY.AX,Mercury NZ Ltd.,Utilities,Electric utilities,mid,5.72,61.11,0.0,0.0362,0.0482,STRONG_DOWN,3.94,4.58,-2.79,-17.68,45.24,42.45,0.6116,LOW,-,5.685,5.5151,5.5162,1,4.8817,CONTENDER,6.7259
1448,75,DEL.AX,Delorean Corporation Ltd,Utilities,Electric utilities,small,0.093,5.56,-0.0106,0.0449,-0.1285,FLAT,-28.46,-45.29,,-51.67,32.54,70.53,1.8955,HIGH,-,0.0922,0.0955,0.1199,0,-20.8971,WEAK,6.501
1487,93,CEN.AX,Contact Energy Limited,Utilities,Electric utilities,mid,8.05,55.56,-0.0025,-0.0108,-0.0158,STRONG_UP,-0.63,-1.78,-1.14,-13.66,45.24,44.65,0.0637,LOW,-,7.957,7.8576,7.9455,1,-1.8015,CONTENDER,6.1148
1506,-208,MEZ.AX,Meridian Energy Limited,Utilities,Alternative power generation,large,4.81,50.0,0.0063,-0.0096,-0.0011,FLAT,-0.97,-5.82,-14.44,-17.02,45.24,31.02,0.3203,LOW,SHIFT,4.7875,4.6964,4.8355,0,-8.4821,LAGGARD,5.8866
1549,7,LPE.AX,Locality Planning Energy Holdings Limited,Utilities,Electric utilities,small,0.081,16.67,-0.0581,-0.1934,-0.1781,FLAT,-18.18,-32.5,-22.86,-42.14,20.24,48.21,0.0,LOW,-,0.087,0.0913,0.1049,0,-13.6445,WEAK,5.0444
1584,0,TEE.AX,Top End Energy Limited,Utilities,Electric utilities,small,0.037,11.11,0.0,-0.0034,-0.1098,STRONG_UP,0.0,-32.73,-67.83,-47.27,25.0,30.66,0.0,LOW,-,0.037,0.037,0.0374,0,-26.6856,WEAK,4.4624
1635,-12,AGL.AX,AGL Energy Limited,Utilities,Electric utilities,mid,8.53,33.33,-0.0058,-0.0619,-0.1663,STRONG_UP,-7.78,-12.71,-7.99,-21.57,44.84,24.9,0.7087,LOW,EARLY,8.86,9.2822,9.0221,0,-22.8946,WEAK,3.1106
1692,-20,RIV.AX,Rivco Australia Limited,Utilities,Water utilities,small,1.445,44.44,0.007,0.0176,-0.0755,FLAT,-0.34,-6.0,-6.0,-11.11,35.71,23.29,1.1921,MED,-,1.4242,1.4353,,0,-9.1965,WEAK,1.1046
