rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
204,15,TUA.AX,Tuas Ltd.,Communications,Wireless telecommunications,mid,2.55,0.0,0.1674,-0.4765,-0.5159,STRONG_UP,-63.73,-56.41,-36.25,-75.96,39.53,142.99,2.4278,HIGH,EARLY,2.8035,4.709,6.3496,0,-15.5948,WEAK,22.3726
289,71,ABB.AX,Aussie Broadband Ltd.,Communications,Specialty telecommunications,small,5.76,88.89,0.0206,0.1991,0.2795,STRONG_DOWN,13.72,42.18,69.79,-28.57,43.87,27.6,0.6629,LOW,-,5.445,5.29,5.2007,1,67.045,LEADER,19.3574
361,-105,FRX.AX,FlexiRoam Ltd,Communications,Wireless telecommunications,small,0.016,100.0,-0.1143,-0.1904,-0.0324,FLAT,23.08,220.0,-44.83,-48.0,17.79,110.56,0.3713,LOW,-,0.0188,0.0198,0.0168,0,35.3998,LAGGARD,17.7641
879,-200,HFY.AX,Hubify Ltd.,Communications,Specialty telecommunications,small,0.01,77.78,-0.0941,-0.0843,-0.3331,FLAT,11.11,25.0,0.0,-52.38,12.25,111.18,0.8955,LOW,-,0.0112,0.0138,0.0106,0,2.7545,LAGGARD,11.5245
911,-37,MAQ.AX,Macquarie Technology Group Limited,Communications,Specialty telecommunications,small,75.5,66.67,-0.0303,0.1237,0.2355,STRONG_DOWN,18.43,17.73,-13.5,-19.22,49.8,35.73,1.949,HIGH,-,75.1865,71.404,66.5939,1,24.7113,CONTENDER,11.2074
1014,250,TLS.AX,Telstra Group Limited,Communications,Wireless telecommunications,large,5.18,55.56,0.0253,0.0951,0.1209,STRONG_DOWN,6.78,11.1,60.27,-10.45,43.48,14.99,0.9711,LOW,-,5.2605,5.3138,4.9698,1,32.2061,CONTENDER,10.5405
1348,-71,ITS.AX,Infotrust Ltd,Communications,Major telecommunications,small,0.33,33.33,-0.0326,-0.0926,-0.188,STRONG_UP,-41.59,-19.51,-15.29,-45.0,27.67,61.82,0.0061,LOW,-,0.388,0.4226,0.4961,0,-8.7335,WEAK,7.7567
1443,135,CNU.AX,Chorus Limited,Communications,Major telecommunications,mid,8.13,44.44,0.0519,0.091,0.1986,STRONG_DOWN,3.73,7.7,30.3,-12.34,49.01,21.83,0.4968,LOW,-,8.105,8.0566,7.9787,1,17.278,LAGGARD,6.8106
1714,-14,SPK.AX,Spark New Zealand Limited,Communications,Major telecommunications,mid,1.56,22.22,0.0168,0.0279,-0.0611,FLAT,-19.35,-22.09,-50.16,-31.36,42.29,19.97,2.1435,HIGH,EARLY,1.6005,1.6801,1.8697,0,-46.7694,WEAK,0.3664
1721,-7,TPG.AX,TPG Telecom Limited,Communications,Wireless telecommunications,mid,3.63,11.11,-0.0168,-0.0279,0.0324,FLAT,-1.0,-27.86,-14.77,-35.29,48.22,23.11,0.8351,LOW,EARLY,3.956,4.0996,4.2554,0,-58.1365,WEAK,-0.8526
