rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
259,-16,XRG.AX,xReality Group Limited,Consumer services,Movies/Entertainment,small,0.067,97.96,-0.029,0.1614,0.495,STRONG_DOWN,36.73,116.13,71.79,-37.68,38.34,72.42,0.3761,LOW,-,0.0651,0.0592,0.0543,1,61.4801,LEADER,20.3752
266,-50,TR8.AX,Tarrina Resources Limited,Consumer services,Restaurants,small,0.02,100.0,0.0,0.0589,0.0992,STRONG_DOWN,-9.09,400.0,400.0,-51.61,16.6,159.7,0.7003,LOW,-,0.0181,0.0182,0.0198,1,41.578,LEADER,20.1632
362,227,TAH.AX,Tabcorp Holdings Limited,Consumer services,Movies/Entertainment,mid,0.815,75.51,0.0187,0.1304,-0.115,FLAT,-11.12,12.1,43.45,-42.06,42.29,66.75,1.5332,HIGH,PROGRESS,0.7345,0.8946,0.945,0,7.663,LAGGARD,17.7453
373,0,BBL.AX,Brisbane Broncos Limited,Consumer services,Movies/Entertainment,small,1.69,95.92,0.1304,0.0431,0.1385,FLAT,11.7,84.97,77.32,-30.75,42.29,74.62,0.0721,LOW,-,1.6298,1.6641,1.5008,1,48.1532,LEADER,17.5156
380,-11,KLS.AX,Kelsian Group Limited,Consumer services,Hotels/Resorts/Cruise lines,small,4.25,89.8,-0.0093,0.0454,0.1445,STRONG_DOWN,-2.95,36.92,-7.95,-26.73,45.85,31.77,1.4397,MED,-,4.1715,4.024,4.3028,0,53.287,LAGGARD,17.4056
399,-111,NXD.AX,NextEd Group Limited,Consumer services,Other consumer services,small,0.096,40.82,-0.1273,-0.3143,-0.3606,STRONG_UP,-65.71,-16.52,-40.0,-76.59,33.2,83.45,3.5539,HIGH,-,0.1197,0.1463,0.2168,0,-6.5731,WEAK,17.1443
417,261,KME.AX,Kip McGrath Education Centres Limited,Consumer services,Other consumer services,small,0.535,91.84,0.0094,-0.036,0.1086,FLAT,-2.77,42.64,76.34,-20.92,32.02,30.98,1.6983,HIGH,-,0.5471,0.5568,0.561,0,44.0711,LAGGARD,16.8584
511,-106,MAD.AX,Mader Group Ltd,Consumer services,Other consumer services,small,8.12,87.76,-0.0181,0.1035,0.1041,STRONG_DOWN,5.45,36.11,38.02,-24.82,52.17,38.84,0.2326,LOW,-,8.2045,7.9808,8.1173,1,48.5083,LEADER,15.3783
648,200,PPK.AX,PPK Group Limited,Consumer services,Other consumer services,small,0.325,71.43,-0.0299,0.0219,0.084,STRONG_DOWN,-18.75,8.33,-1.52,-52.03,41.11,68.07,1.9659,HIGH,-,0.3278,0.3309,0.3949,0,5.0328,LAGGARD,13.5142
738,273,RCT.AX,Reef Casino Trust,Consumer services,Casinos/Gaming,small,3.5,83.67,0.0,0.0669,0.0963,STRONG_DOWN,4.93,18.45,31.02,-11.9,25.69,13.27,1.9601,HIGH,-,3.3955,3.4071,3.476,1,35.7245,LEADER,12.6819
906,275,NWSLV.AX,News Corporation Shs A Chess Depository Interests repr 1 Sh,Consumer services,Publishing: newspapers,large,37.0,55.1,0.0571,0.0199,0.2554,FLAT,-2.33,-10.89,-9.39,-31.46,14.23,24.02,0.0097,LOW,SHIFT,36.3705,34.9966,37.6869,0,-6.4542,LAGGARD,11.2445
934,-16,GEM.AX,G8 Education Limited,Consumer services,Other consumer services,small,0.145,0.0,0.0357,-0.1212,-0.4152,STRONG_UP,-79.72,-87.6,-86.85,-88.46,32.02,95.16,0.5995,LOW,-,0.1538,0.1925,0.5382,0,-29.4764,WEAK,11.0399
935,118,LNW.AX,"Light & Wonder, Inc. Shs Chess Depository Interests Repr 1 Sh",Consumer services,Casinos/Gaming,mid,121.76,53.06,0.0442,0.1101,0.0596,FLAT,-19.34,-11.84,-17.05,-43.75,45.85,46.53,0.714,LOW,SHIFT,115.135,117.5866,134.1762,0,-11.6654,LAGGARD,11.0378
940,215,IEL.AX,IDP Education Ltd.,Consumer services,Other consumer services,small,2.23,16.33,0.0324,-0.1861,-0.4226,STRONG_UP,-56.14,-36.34,-84.68,-69.92,42.69,60.57,2.2453,HIGH,-,2.4898,3.1105,4.7794,0,-25.6131,WEAK,10.9665
976,-164,SEG.AX,Sports Entertainment Group Limited,Consumer services,Broadcasting,small,0.29,93.88,-0.1077,-0.0333,0.2364,STRONG_DOWN,12.5,42.97,38.46,-31.82,24.51,63.43,0.1407,LOW,-,0.298,0.277,0.2629,1,16.6056,LEADER,10.7817
990,345,TLC.AX,Lottery Corporation Limited,Consumer services,Movies/Entertainment,large,5.46,69.39,0.0581,0.0603,0.114,STRONG_DOWN,4.95,7.11,12.95,-16.08,43.87,21.51,1.101,MED,-,5.267,5.3958,5.3834,1,14.4975,CONTENDER,10.6864
997,-165,OLI.AX,Oliver's Real Food Ltd.,Consumer services,Restaurants,small,0.006,44.9,0.0,0.0062,-0.1924,FLAT,-33.33,-14.29,-53.85,-58.33,12.65,117.7,0.3747,LOW,-,0.0061,0.0063,0.0083,0,-1.5354,WEAK,10.6436
1008,-81,CKF.AX,Collins Foods Limited,Consumer services,Restaurants,small,8.49,77.55,0.0278,0.0782,-0.0421,FLAT,-16.52,13.34,-2.87,-31.35,43.08,33.38,0.7501,LOW,-,8.3225,8.3934,9.9064,0,17.2154,LAGGARD,10.5734
1030,113,SPZ.AX,Smart Parking Limited,Consumer services,Other consumer services,small,0.795,63.27,0.0127,-0.0062,-0.2571,STRONG_UP,-42.39,-0.62,65.63,-44.72,45.85,59.73,0.1907,LOW,-,0.8338,0.8898,1.1113,0,-0.4798,LAGGARD,10.4125
1062,132,NWS.AX,News Corporation Shs B Chess Depository Interests repr 1 Sh,Consumer services,Publishing: newspapers,large,44.11,57.14,0.0406,0.0302,0.2566,FLAT,-0.87,-10.05,6.17,-34.12,50.2,22.62,0.8278,LOW,-,42.319,41.9548,43.8009,1,-22.2978,CONTENDER,10.1637
1090,-309,TCO.AX,Transmetro Corp. Ltd.,Consumer services,Hotels/Resorts/Cruise lines,small,2.61,85.71,0.0038,-0.0612,-0.0424,FLAT,20.83,33.85,48.72,-33.7,10.28,49.01,0.0,LOW,-,2.6695,3.1282,2.5443,1,7.0993,LEADER,10.001
1106,103,FLT.AX,Flight Centre Travel Group Limited,Consumer services,Other consumer services,mid,11.32,51.02,0.0328,0.0926,0.0576,FLAT,-15.79,-11.91,-38.67,-40.88,48.22,41.66,0.7659,LOW,SHIFT,10.482,10.7616,12.4231,0,-13.7797,LAGGARD,9.8667
1110,138,CEH.AX,Coast Entertainment Holdings Ltd,Consumer services,Movies/Entertainment,small,0.45,81.63,-0.011,0.029,-0.1389,FLAT,-9.09,15.38,-6.25,-33.33,41.11,59.51,0.2489,LOW,-,0.428,0.451,0.4816,0,10.6278,LAGGARD,9.8071
1174,-30,A1N.AX,ARN Media Limited,Consumer services,Broadcasting,small,0.22,4.08,0.0233,-0.1698,-0.3227,STRONG_UP,-51.38,-55.77,-67.6,-68.7,33.99,94.48,0.0581,LOW,-,0.2416,0.2465,0.3887,0,-20.0631,WEAK,9.3832
1200,-43,BPP.AX,Babylon Pump & Power Ltd,Consumer services,Other consumer services,small,0.0775,12.24,0.0,0.0062,-0.118,FLAT,-40.38,-48.33,-43.45,-63.1,7.91,38.1,0.0,LOW,-,0.0775,0.0802,0.1228,0,-10.0346,WEAK,9.2193
1241,4,ALL.AX,Aristocrat Leisure Limited,Consumer services,Casinos/Gaming,large,52.82,38.78,0.0357,0.1698,0.2686,STRONG_DOWN,-7.62,-17.76,16.48,-38.11,52.17,36.05,,LOW,SHIFT,50.7246,48.3684,55.4603,0,-25.7053,WEAK,8.8463
1252,105,HLO.AX,Helloworld Travel Ltd,Consumer services,Other consumer services,small,1.39,65.31,0.0036,-0.0347,-0.0514,STRONG_UP,-17.11,1.47,-25.43,-32.67,44.27,31.35,0.5523,LOW,-,1.4122,1.4652,1.6569,0,2.0821,LAGGARD,8.7347
1274,-544,VVA.AX,Viva Leisure Ltd.,Consumer services,Other consumer services,small,1.555,79.59,-0.0251,0.0293,0.0416,STRONG_DOWN,-5.18,15.19,3.67,-25.41,41.11,36.9,0.3665,LOW,-,1.536,1.5416,1.625,0,16.9177,LAGGARD,8.5763
1293,-133,EXP.AX,Experience Co Ltd,Consumer services,Movies/Entertainment,small,0.08,30.61,-0.0123,-0.1489,-0.1302,FLAT,-30.43,-22.54,-47.53,-52.73,22.92,68.61,0.6554,LOW,-,0.0866,0.0885,0.1186,0,-7.5297,WEAK,8.3622
1315,-152,MFD.AX,Mayfield Childcare Ltd.,Consumer services,Other consumer services,small,0.27,24.49,0.0385,-0.2059,-0.1598,FLAT,-43.75,-27.03,-60.55,-50.48,22.53,100.17,0.0,LOW,-,0.2972,0.3235,0.4093,0,-6.0789,WEAK,8.0885
1369,-61,SGR.AX,Star Entertainment Group Limited,Consumer services,Casinos/Gaming,small,0.1,28.57,0.0204,-0.0476,-0.1424,STRONG_UP,-4.76,-23.08,-78.72,-46.11,25.69,57.62,0.8089,LOW,-,0.1011,0.109,0.1151,0,-10.2889,WEAK,7.5602
1374,-85,SXL.AX,Southern Cross Media Group Limited,Consumer services,Broadcasting,small,0.59,61.22,-0.0167,0.0413,0.0508,STRONG_DOWN,-28.92,-2.38,-12.69,-40.78,39.92,42.82,0.6768,LOW,-,0.5873,0.5775,0.7116,0,-2.2208,LAGGARD,7.4933
