rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
24,-2,QFE.AX,QuickFee Ltd.,Commercial services,Miscellaneous commercial services,small,0.076,100.0,0.056,0.0704,0.083,STRONG_DOWN,8.09,369.95,196.13,-18.52,29.25,32.54,0.7783,LOW,-,0.0707,0.0724,0.0625,1,332.5473,LEADER,66.5872
70,-3,EDU.AX,EDU Holdings Limited,Commercial services,Miscellaneous commercial services,small,1.06,98.08,-0.1055,0.2114,0.6458,STRONG_DOWN,16.91,257.47,1026.03,-35.05,47.43,75.41,0.6313,LOW,-,1.0125,0.9094,0.7412,1,161.9396,LEADER,38.5773
77,-3,SIQ.AX,Smartgroup Corporation Ltd,Commercial services,Miscellaneous commercial services,small,12.33,86.54,-0.0008,0.0593,0.7004,STRONG_DOWN,44.8,81.38,61.84,-16.65,55.34,26.42,0.4725,LOW,-,11.9255,10.6682,8.783,1,170.4629,LEADER,36.0291
124,-3,BXN.AX,Bioxyne Limited,Commercial services,Miscellaneous commercial services,small,0.097,96.15,0.0434,0.4265,0.9674,STRONG_DOWN,125.58,234.48,1516.67,-43.1,39.92,103.49,1.0517,MED,-,0.0863,0.0763,0.0518,1,90.4489,LEADER,29.9699
155,-3,CGS.AX,Cogstate Ltd,Commercial services,Miscellaneous commercial services,small,2.75,90.38,0.0004,0.0496,0.3246,STRONG_DOWN,24.43,105.99,149.41,-29.45,49.01,47.08,0.4951,LOW,-,2.645,2.5236,2.3526,1,110.3376,LEADER,27.6113
162,-3,CCL.AX,Cuscal Limited,Commercial services,Miscellaneous commercial services,small,4.88,84.62,-0.0279,0.0295,0.2819,STRONG_DOWN,19.75,72.16,116.87,-15.41,50.59,29.88,0.353,LOW,-,4.9025,4.7574,4.199,1,122.1678,LEADER,27.0022
232,-2,ALQ.AX,ALS Ltd.,Commercial services,Miscellaneous commercial services,large,22.89,76.92,-0.0125,-0.0383,0.2271,FLAT,7.78,39.44,66.59,-25.96,53.75,36.44,0.935,LOW,-,23.2446,22.4172,21.9379,1,58.1741,LEADER,22.7272
235,-2,SSM.AX,Service Stream Limited,Commercial services,Miscellaneous commercial services,small,2.67,78.85,0.0557,0.1609,0.4253,STRONG_DOWN,21.61,43.08,128.54,-20.83,47.83,22.11,0.8415,LOW,-,2.4455,2.2058,2.1594,1,93.1838,LEADER,22.5273
255,-5,IS3.AX,I Synergy Group Ltd.,Commercial services,Advertising/Marketing services,small,0.255,92.31,-0.0556,0.4571,-0.0759,FLAT,-46.32,155.0,42.8,-77.78,20.16,107.83,0.8525,LOW,-,0.2375,0.2375,0.3113,0,28.9789,LAGGARD,21.6176
275,-4,ECT.AX,Environmental Clean Technologies Limited,Commercial services,Miscellaneous commercial services,small,0.105,94.23,-0.0455,-0.087,0.4274,FLAT,-25.0,180.01,75.0,-60.53,31.62,138.22,0.4464,LOW,-,0.1148,0.1221,0.1227,0,41.1795,LAGGARD,20.9365
337,-1,XYZ.AX,"Block, Inc. Shs Chess Depository Interests Repr 1 Sh",Commercial services,Miscellaneous commercial services,large,105.74,57.69,0.0028,0.0908,0.2736,STRONG_DOWN,8.98,7.13,11.54,-45.27,50.99,39.26,0.5087,LOW,-,101.4035,99.4672,98.5247,1,9.2638,CONTENDER,19.0377
433,-3,MSG.AX,MCS Services Limited,Commercial services,Miscellaneous commercial services,small,0.004,38.46,-0.2,0.0,-0.2031,FLAT,-42.86,-20.0,0.0,-76.92,9.88,176.4,3.7476,HIGH,-,0.004,0.0044,0.0065,0,-1.1202,WEAK,16.9928
601,1,PET.AX,Phoslock Environmental Technologies Limited,Commercial services,Miscellaneous commercial services,small,0.007,3.85,0.0004,-0.125,-0.3668,STRONG_UP,-46.15,-72.0,-72.0,-73.08,15.42,115.95,4.4267,HIGH,-,0.0079,0.0088,0.0108,0,-9.5752,WEAK,14.4586
658,5,ASV.AX,Asset Vision Co Ltd,Commercial services,Personnel services,small,0.04,71.15,0.1115,0.25,0.1386,FLAT,-11.11,21.21,110.53,-51.02,28.06,85.77,1.1073,MED,-,0.0356,0.0311,0.0393,1,6.9396,CONTENDER,13.8804
662,5,ASH.AX,Ashley Services Group Ltd.,Commercial services,Personnel services,small,0.25,82.69,0.0208,0.1364,0.2774,STRONG_DOWN,28.49,59.64,10.98,-30.38,23.72,64.68,4.0694,HIGH,-,0.2335,0.2148,0.2058,1,21.8726,LEADER,13.8381
667,5,SPN.AX,Sparc Technologies Ltd,Commercial services,Miscellaneous commercial services,small,0.3,88.46,-0.0164,0.1111,0.8456,STRONG_DOWN,87.5,93.55,36.36,-42.31,37.15,160.57,0.1657,LOW,-,0.2928,0.302,0.2077,1,21.6437,LEADER,13.7751
674,3,RBR.AX,RBR Group Ltd,Commercial services,Personnel services,small,0.018,23.08,0.0004,-0.0526,0.2274,FLAT,-5.26,-40.0,-65.71,-81.67,15.42,118.0,0.2071,LOW,-,0.0174,0.0194,0.0241,0,-5.2271,WEAK,13.7199
699,6,GSS.AX,Genetic Signatures Ltd.,Commercial services,Miscellaneous commercial services,small,0.065,1.92,-0.0714,-0.1216,-0.1479,STRONG_UP,-72.34,-83.12,-90.91,-84.52,27.27,186.59,0.3333,LOW,-,0.0701,0.09,0.1815,0,-12.1475,WEAK,13.4578
