rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
132,-40,RDX.AX,Redox Limited,Distribution services,Wholesale distributors,small,4.04,100.0,0.0456,0.3366,0.353,STRONG_DOWN,39.69,96.62,45.82,-19.57,49.01,40.02,0.291,LOW,-,3.6455,3.3814,3.032,1,118.3302,LEADER,27.411
147,-37,DBI.AX,Dalrymple Bay Infrastructure Ltd.,Distribution services,Wholesale distributors,mid,5.77,87.5,0.0203,0.0606,0.2425,STRONG_DOWN,19.06,45.7,118.55,-15.87,52.17,22.45,0.8847,LOW,-,5.7405,5.4821,4.8067,1,106.196,LEADER,25.6092
165,89,SGLLV.AX,Ricegrowers Ltd. Class B,Distribution services,Wholesale distributors,small,14.47,83.33,0.0702,0.2075,0.1826,FLAT,-16.12,38.09,133.85,-35.38,50.2,29.0,1.9554,HIGH,-,13.09,12.803,14.8657,0,65.9302,LAGGARD,24.8413
288,-2,IMD.AX,Imdex Ltd,Distribution services,Wholesale distributors,mid,4.09,91.67,0.0007,-0.0022,0.1783,FLAT,14.07,52.0,90.17,-23.08,52.96,48.2,0.6483,LOW,-,4.097,4.0774,3.7349,1,57.132,LEADER,19.7292
325,73,AVM.AX,Advance Metals Limited,Distribution services,Wholesale distributors,small,0.062,79.17,-0.0913,-0.2202,-0.3086,STRONG_UP,-52.31,31.91,148.0,-66.49,39.13,102.53,1.0059,MED,-,0.0714,0.0832,0.1062,0,12.1801,LAGGARD,18.8364
520,-6,PFM.AX,Platformo Ltd,Distribution services,Electronics distributors,small,0.027,12.5,0.0639,-0.105,-0.1898,STRONG_UP,28.57,-68.24,-83.12,-77.65,4.74,33.54,3.371,HIGH,-,0.0272,0.0294,0.0319,0,-9.6433,WEAK,15.5384
583,270,REH.AX,Reece Limited,Distribution services,Wholesale distributors,mid,16.8,66.67,0.0618,0.2286,0.2694,STRONG_DOWN,28.34,-1.86,-31.99,-41.36,47.83,39.76,2.457,HIGH,-,15.055,14.0866,13.2226,1,-2.2382,CONTENDER,14.5911
623,-35,MGH.AX,MAAS Group Holdings Ltd.,Distribution services,Wholesale distributors,small,5.29,75.0,0.0124,0.0657,0.2573,STRONG_DOWN,-0.89,29.84,32.64,-30.26,49.8,38.95,0.3174,LOW,-,5.257,4.9454,4.7316,1,38.1492,LEADER,14.2193
651,231,NX1.AX,Nexalis Therapeutics Limited,Distribution services,Medical distributors,small,0.018,29.17,0.4101,-0.285,-0.2113,FLAT,-21.74,-55.0,-28.0,-70.45,20.16,148.51,2.1954,HIGH,-,0.0172,0.0206,0.025,0,-7.4662,WEAK,13.9279
920,41,EZZ.AX,EZZ Life Science Holdings Ltd.,Distribution services,Medical distributors,small,0.41,4.17,-0.1731,-0.2729,-0.4927,STRONG_UP,-71.13,-82.77,-74.69,-87.55,38.34,83.0,3.0426,HIGH,-,0.5349,0.6123,1.5093,0,-38.2352,WEAK,11.5485
1010,-241,NTD.AX,NTAW Holdings Limited.,Distribution services,Wholesale distributors,small,0.205,70.83,-0.1228,0.2136,0.3329,STRONG_DOWN,-10.87,7.89,-51.19,-54.93,24.11,101.43,0.0,LOW,-,0.2035,0.1929,0.2413,0,1.8766,LAGGARD,10.8455
1012,-227,HT8.AX,Harris Technology Group Limited,Distribution services,Electronics distributors,small,0.019,95.83,-0.2733,0.2744,0.8178,STRONG_DOWN,90.0,72.73,111.11,-41.18,11.86,116.41,0.1513,LOW,-,0.0192,0.0145,0.0116,1,7.4095,LEADER,10.8396
1053,-23,WRX.AX,Western Ridge Resources Limited,Distribution services,Wholesale distributors,small,0.021,41.67,-0.064,-0.2273,-0.3937,STRONG_UP,-38.24,-41.67,-95.43,-64.29,35.57,110.88,0.1423,LOW,-,0.0245,0.0295,0.0361,0,-13.3666,WEAK,10.5364
1149,-75,RPM.AX,RPM Automotive Group Ltd.,Distribution services,Wholesale distributors,small,0.014,8.33,-0.1535,-0.2682,-0.4613,STRONG_UP,-74.07,-76.27,-80.28,-80.0,25.69,67.88,0.5541,LOW,-,0.0173,0.0207,0.0442,0,-28.8657,WEAK,9.7607
1185,206,SPA.AX,SPACETALK Limited,Distribution services,Wholesale distributors,small,0.093,37.5,0.1459,0.1558,0.3305,STRONG_DOWN,-11.43,-41.87,-43.81,-67.78,27.67,68.61,1.4579,MED,-,0.0841,0.0793,0.1038,0,-16.8879,WEAK,9.5376
1203,24,AMO.AX,Ambertech Limited,Distribution services,Electronics distributors,small,0.094,45.83,0.0699,-0.1098,-0.265,STRONG_UP,-37.33,-33.06,-53.78,-53.53,16.21,63.27,0.8655,LOW,-,0.1009,0.1072,0.1423,0,-8.4697,WEAK,9.4127
1364,111,BAP.AX,Bapcor Ltd,Distribution services,Wholesale distributors,small,0.405,0.0,-0.106,0.0202,-0.3235,FLAT,-80.15,-91.77,-91.77,-93.05,39.53,69.78,1.446,MED,-,0.4367,0.4821,1.6203,0,-51.9891,WEAK,7.7404
1412,-41,CYG.AX,Coventry Group Limited,Distribution services,Wholesale distributors,small,0.315,20.83,-0.0367,-0.0358,-0.193,FLAT,-44.25,-58.0,-75.45,-65.87,28.85,51.26,3.2144,HIGH,-,0.3141,0.3533,0.4913,0,-32.6434,WEAK,7.2803
1433,-46,PGC.AX,Paragon Care Limited,Distribution services,Medical distributors,small,0.13,16.67,-0.0484,-0.1384,-0.3422,STRONG_UP,-39.53,-63.89,-69.77,-67.5,31.62,61.42,0.5327,LOW,-,0.147,0.1502,0.2209,0,-32.891,WEAK,7.0343
1457,-44,BUB.AX,Bubs Australia Ltd.,Distribution services,Food distributors,small,0.08,25.0,-0.0358,-0.1448,-0.1994,STRONG_UP,-40.74,-55.56,-36.0,-56.76,25.69,46.03,1.9212,HIGH,-,0.0855,0.0944,0.1246,0,-31.0064,WEAK,6.8039
1462,41,VSL.AX,Vulcan Steel Ltd.,Distribution services,Wholesale distributors,small,5.01,58.33,0.0274,-0.0874,-0.0536,FLAT,-28.9,-14.3,-21.26,-39.29,45.06,48.37,1.3946,MED,-,5.0565,5.2148,6.4491,0,-13.3229,LAGGARD,6.7534
1464,-71,AX1.AX,Accent Group Ltd,Distribution services,Wholesale distributors,small,0.72,33.33,-0.004,0.282,-0.048,FLAT,-22.33,-45.1,-59.89,-67.08,42.29,60.09,0.5727,LOW,-,0.659,0.6179,0.9174,0,-31.7374,WEAK,6.7299
1496,-87,SGH.AX,SGH Limited,Distribution services,Wholesale distributors,large,45.47,54.17,0.0763,0.1036,0.176,STRONG_DOWN,-2.89,-15.21,25.05,-28.95,49.41,27.13,0.7307,LOW,-,42.4905,41.2212,44.9245,1,-27.6933,CONTENDER,6.3522
1498,-106,MTS.AX,Metcash Limited,Distribution services,Food distributors,mid,3.05,50.0,-0.0179,-0.018,0.1072,FLAT,-8.68,-19.27,-7.01,-35.73,42.29,28.5,1.2742,MED,-,3.1,2.9708,3.3021,0,-28.5971,LAGGARD,6.3454
1644,-30,SNL.AX,Supply Network Limited,Distribution services,Wholesale distributors,small,32.72,62.5,0.0033,0.0837,0.1016,STRONG_DOWN,1.87,-9.03,51.58,-30.41,49.8,28.57,0.6837,LOW,-,32.1675,31.6066,33.0817,0,-15.7474,LAGGARD,3.2799
