rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
47,30,QUB.AX,Qube Holdings Ltd.,Transportation,Other transportation,mid,5.1,82.35,-0.002,-0.02,0.0025,FLAT,7.17,21.85,46.23,-9.78,41.9,5.94,2.2692,HIGH,-,5.0795,5.0418,4.729,1,154.1572,LEADER,40.6107
104,8,AZJ.AX,Aurizon Holdings Ltd.,Transportation,Railroads,mid,4.07,88.24,-0.0333,-0.089,-0.0278,FLAT,16.57,36.38,25.49,-7.08,47.43,16.5,1.5705,HIGH,-,4.246,4.1966,3.7248,1,104.5738,LEADER,29.0657
247,495,WWG.AX,Wiseway Group Ltd.,Transportation,Airlines,small,0.34,100.0,0.1353,0.0611,0.2315,FLAT,48.56,147.36,220.15,-36.11,26.09,63.9,0.1403,LOW,-,0.301,0.2829,0.2682,1,60.1662,LEADER,20.795
370,240,CLX.AX,CTI Logistics Limited,Transportation,Air freight/Couriers,small,2.65,94.12,0.0792,0.3409,0.4527,STRONG_DOWN,19.68,56.16,120.02,-26.63,40.71,48.06,1.3706,MED,-,2.1895,1.9894,1.9892,1,47.5744,LEADER,17.355
703,-256,QAN.AX,Qantas Airways Limited,Transportation,Airlines,large,10.62,58.82,-0.0056,0.1237,0.2143,STRONG_DOWN,3.65,4.93,,-29.51,48.22,35.84,0.8255,LOW,-,9.9775,9.2378,9.6335,1,6.6291,CONTENDER,12.8773
926,69,BXB.AX,Brambles Limited,Transportation,Air freight/Couriers,large,19.37,29.41,-0.0137,0.1454,-0.1819,FLAT,-13.79,-13.88,46.65,-36.59,47.83,48.69,0.6825,LOW,PROGRESS,18.763,19.4688,22.3182,0,-13.638,WEAK,11.1774
949,40,AVD.AX,Avada Group Limited,Transportation,Other transportation,small,0.1,41.18,0.002,-0.2707,-0.0779,FLAT,-23.08,-4.76,-80.0,-59.53,16.6,123.02,0.0,LOW,-,0.1224,0.1064,0.1334,0,-0.6426,WEAK,11.0232
979,-235,TCL.AX,Transurban Group Ltd.,Transportation,Other transportation,large,14.41,70.59,-0.0419,-0.0596,0.0361,FLAT,3.99,8.8,28.6,-9.8,53.75,16.84,0.7453,LOW,-,14.7745,14.3498,13.9172,1,28.0929,CONTENDER,10.8208
986,145,ALX.AX,Atlas Arteria,Transportation,Other transportation,mid,5.1,64.71,0.0059,-0.0321,0.1751,FLAT,9.57,8.54,18.33,-16.16,42.69,28.14,4.2657,HIGH,-,5.0915,4.927,4.6683,1,12.9497,CONTENDER,10.6625
1212,328,AIA.AX,Auckland International Airport Limited,Transportation,Other transportation,large,7.12,52.94,0.0399,0.0129,0.0365,FLAT,-0.6,1.25,6.22,-13.78,49.01,16.99,1.5965,HIGH,-,6.914,6.8338,6.9564,1,3.6202,CONTENDER,9.119
1327,-56,BCK.AX,Brockman Mining Ltd.,Transportation,Other transportation,small,0.01,5.88,-0.3333,-0.3733,-0.3636,FLAT,-37.5,-33.33,-47.37,-54.55,15.42,73.93,0.0,LOW,-,0.0141,0.0142,0.0164,0,-6.9525,WEAK,8.2422
1368,-69,VGN.AX,Virgin Australia Holdings Limited,Transportation,Airlines,small,3.02,47.06,-0.0227,0.0996,0.2853,STRONG_DOWN,-13.22,-1.31,-6.5,-41.94,39.92,61.58,0.587,LOW,-,2.841,2.586,2.9953,1,-0.8474,LAGGARD,7.6983
1414,76,FRW.AX,Freightways Group Limited,Transportation,Air freight/Couriers,small,11.45,76.47,0.0046,0.0042,0.1048,FLAT,-4.95,15.91,70.34,-19.29,17.39,24.79,0.0062,LOW,-,11.299,10.7384,11.5035,0,11.1624,LAGGARD,7.0717
1546,-243,AQZ.AX,Alliance Aviation Services Limited,Transportation,Airlines,small,0.5625,0.0,-0.0132,0.0157,-0.0076,FLAT,-54.64,-78.5,-81.26,-81.32,37.15,59.29,0.6666,LOW,-,0.5376,0.5659,1.1251,0,-49.1897,WEAK,5.3852
1589,40,SST.AX,Steamships Trading Co. Ltd.,Transportation,Marine shipping,small,10.05,17.65,0.007,-0.1263,-0.007,FLAT,2.23,-29.64,-27.49,-32.67,7.51,23.01,5.4969,HIGH,-,10.6575,10.671,10.6194,0,-9.6739,WEAK,4.8496
1604,18,AIZ.AX,Air New Zealand Limited,Transportation,Airlines,small,0.37,11.76,0.0442,0.0367,-0.0025,STRONG_UP,-26.73,-30.89,-19.1,-40.91,28.85,44.67,0.171,LOW,-,0.3611,0.3558,0.4495,0,-19.9501,WEAK,4.5829
1665,-16,LAU.AX,Lindsay Australia Limited,Transportation,Trucking,small,0.58,23.53,-0.0085,-0.0042,-0.0636,FLAT,-14.16,-15.21,-31.92,-27.55,37.55,40.05,0.4319,LOW,-,0.5735,0.584,0.6165,0,-14.2613,WEAK,2.6487
1674,-27,KSC.AX,K & S Corporation Limited,Transportation,Trucking,small,3.01,35.29,0.002,-0.1052,-0.0593,FLAT,-7.35,-4.99,5.62,-13.56,25.69,32.45,,LOW,-,3.084,3.1066,3.2372,0,-3.9531,WEAK,2.1277
