rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
22,64,MCE.AX,Matrix Composites & Engineering Ltd,Industrial services,Oilfield services/Equipment,small,0.3975,58.14,-0.0029,0.0206,-0.0334,FLAT,60.61,55.88,11.97,-33.9,30.16,6.61,0.0,LOW,-,0.3961,0.393,0.2983,1,254.9791,CONTENDER,53.9674
32,5,NWH.AX,NRW Holdings Limited,Industrial services,Engineering & construction,mid,6.83,88.37,-0.013,0.0298,0.0169,FLAT,26.84,124.94,125.14,-19.07,53.57,36.71,0.8091,LOW,-,7.103,7.1976,5.8239,1,182.3169,LEADER,41.3885
38,0,BSA.AX,BSA Limited,Industrial services,Engineering & construction,small,0.33,100.0,0.0984,0.0914,0.0362,STRONG_UP,112.9,340.0,-54.17,-38.95,36.51,87.07,0.5498,LOW,-,0.317,0.3131,0.2427,1,142.568,LEADER,37.8258
39,17,TEA.AX,Tasmea Limited,Industrial services,Engineering & construction,small,8.95,95.35,-0.0161,0.0568,0.6329,STRONG_DOWN,107.99,168.44,488.98,-33.21,51.19,53.55,0.8297,LOW,-,9.0415,7.9043,5.3233,1,161.0149,LEADER,37.7439
51,138,MSV.AX,Mitchell Services Limited,Industrial services,Contract drilling,small,0.535,76.74,0.0079,0.2158,-0.027,FLAT,62.76,99.24,38.42,-26.15,44.44,40.35,2.0987,HIGH,-,0.5009,0.4954,0.4072,1,109.3008,LEADER,33.513
53,61,MND.AX,Monadelphous Group Limited,Industrial services,Engineering & construction,mid,29.15,69.77,0.0474,0.044,-0.0569,STRONG_UP,0.09,63.94,152.93,-16.25,54.76,32.37,1.5643,HIGH,-,29.1965,29.6304,27.7377,1,108.1742,CONTENDER,33.2295
61,22,SRG.AX,SRG Global Limited,Industrial services,Engineering & construction,small,3.5,81.4,0.0013,-0.0962,0.1307,FLAT,14.92,114.54,323.66,-23.42,48.81,42.16,0.3458,LOW,-,3.7695,3.5544,2.9533,1,132.6053,LEADER,31.3014
71,-23,SXE.AX,Southern Cross Electrical Engineering Limited,Industrial services,Engineering & construction,small,4.35,90.7,-0.0489,-0.0322,0.2194,STRONG_DOWN,72.04,140.93,176.71,-19.42,49.6,59.18,1.133,MED,-,4.589,4.3282,3.0989,1,118.1191,LEADER,30.3816
72,82,CNQ.AX,Clean TeQ Water Ltd,Industrial services,Environmental services,small,0.445,79.07,-0.014,-0.0696,0.0349,FLAT,23.61,111.9,50.85,-46.61,42.06,63.42,3.4974,HIGH,-,0.4619,0.4688,0.402,1,74.215,LEADER,30.3761
76,12,GNP.AX,GenusPlus Group Ltd.,Industrial services,Engineering & construction,small,9.07,83.72,-0.0127,-0.0708,-0.0433,FLAT,25.11,115.25,325.93,-17.5,47.62,42.02,0.6399,LOW,-,9.9905,9.9438,7.8001,1,130.6148,LEADER,29.9111
