rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,1.0,DTR.AX,Dateline Resources Limited,Non-energy minerals,Precious metals,mid,0.475,100.0,0.2768,0.6762,0.9388,STRONG_DOWN,50.79,9400.0,3292.86,-71.54,47.22,123.77,2.1729,HIGH,-,0.3708,0.3498,0.2694,1,3586.2326,LEADER,856.6588
2,1.0,JNS.AX,Janus Electric Holdings Limited,Utilities,Alternative power generation,small,0.125,100.0,0.1364,-0.0359,1.006,FLAT,-3.85,12400.0,1288.89,-81.69,22.22,130.67,0.236,LOW,-,0.12,0.111,0.1318,0,2108.5788,LAGGARD,440.8884
3,2.0,SRL.AX,Sunrise Energy Metals Limited,Producer manufacturing,Industrial machinery,mid,8.72,100.0,0.0206,-0.037,0.306,FLAT,73.02,3691.3,1609.8,-42.25,50.0,122.69,1.1137,MED,-,8.966,9.2176,4.8998,1,1504.3216,LEADER,331.8045
4,2.0,G11.AX,G11 Resources Limited,Non-energy minerals,Other metals/Minerals,small,0.325,99.86,0.0744,0.1165,-0.0786,FLAT,1705.56,2221.43,1200.0,-26.67,34.65,59.92,0.0245,LOW,-,0.3209,0.3443,0.168,1,1284.5877,LEADER,247.0329
5,2.0,ELS.AX,Elsight Ltd.,Technology services,Packaged software,mid,5.7,100.0,0.0384,0.7234,1.2243,STRONG_DOWN,237.28,1528.57,1528.57,-45.2,54.76,75.87,1.4047,MED,-,4.873,4.3178,2.4449,1,1103.2631,LEADER,242.8745
6,2.0,A1G.AX,African Gold Ltd,Non-energy minerals,Precious metals,mid,0.925,99.29,0.0124,0.144,0.5948,STRONG_DOWN,242.59,1323.08,2400.0,-37.36,48.41,71.9,4.8846,HIGH,-,0.9508,0.8382,0.4499,1,890.8228,LEADER,216.8482
7,,FRS.AX,Forrestania Resources Limited,Non-energy minerals,Precious metals,small,0.45,99.72,-0.2277,-0.1039,0.8367,STRONG_DOWN,100.0,1630.77,2150.0,-42.62,48.41,93.67,1.7308,HIGH,-,0.6062,0.5313,0.2811,1,842.8049,LEADER,204.6952
8,1.0,FML.AX,Focus Minerals Ltd,Non-energy minerals,Precious metals,mid,2.87,99.15,-0.0072,-0.0106,-0.1753,STRONG_UP,318.98,1266.67,1588.24,-36.34,47.62,74.07,0.477,LOW,-,3.288,3.4654,1.9566,1,814.3468,LEADER,164.9675
9,1.0,AII.AX,Almonty Industries Inc. Shs Chess Depository Interests repr 1 shs,Non-energy minerals,Other metals/Minerals,large,27.03,99.01,-0.0386,0.4941,1.604,STRONG_DOWN,278.04,953.8,2783.2,-42.31,52.38,83.06,0.6488,LOW,-,25.422,19.7782,11.3687,1,601.4944,LEADER,129.1879
10,1.0,FDR.AX,Finder Energy Holdings Limited,Energy minerals,Integrated oil,small,0.55,100.0,-0.1667,-0.0592,0.5222,STRONG_DOWN,189.47,1022.45,801.64,-44.63,40.08,85.12,1.3413,MED,-,0.6003,0.4938,0.3206,1,481.4351,LEADER,111.7036
11,3.0,LDX.AX,Lumos Diagnostics Holdings Ltd.,Health technology,Medical specialties,small,0.28,100.0,-0.0375,0.0738,0.208,STRONG_DOWN,64.71,1172.73,311.76,-39.06,40.08,106.66,0.3631,LOW,-,0.2782,0.2666,0.1747,1,440.6798,LEADER,92.7357
12,3.0,LKY.AX,Locksley Resources Limited,Non-energy minerals,Precious metals,small,0.175,98.87,0.031,0.1223,-0.1322,FLAT,-72.87,929.41,483.33,-75.97,35.32,95.01,1.4656,MED,-,0.1723,0.1883,0.2495,0,345.5091,LAGGARD,90.3441
13,-1.0,LIN.AX,Lindian Resources Limited,Non-energy minerals,Other metals/Minerals,mid,0.815,98.73,0.012,1.1052,1.2027,STRONG_DOWN,232.65,757.89,552.0,-36.3,44.44,92.53,1.4419,MED,-,0.6407,0.519,0.3147,1,363.9992,LEADER,89.1404
14,-1.0,D3E.AX,D3 Energy Limited,Energy minerals,Integrated oil,small,0.475,98.95,0.0106,0.3692,0.3276,FLAT,1.06,813.46,102.13,-55.08,39.29,105.47,4.6818,HIGH,-,0.397,0.3746,0.35,1,303.0331,LEADER,86.0732
15,4.0,AFA.AX,ASF Group Limited,Finance,Financial conglomerates,small,0.064,100.0,0.1157,-0.0193,0.3764,FLAT,814.29,2033.33,39.13,-88.57,14.68,96.9,0.1324,LOW,-,0.0608,0.0651,0.0446,1,308.0427,LEADER,81.5424
16,2.0,4DX.AX,4DMedical Ltd.,Technology services,Information technology services,mid,3.79,98.65,-0.0987,0.1028,0.7272,STRONG_DOWN,101.6,924.32,433.8,-39.62,45.24,117.34,0.5979,LOW,-,4.0245,3.981,1.9857,1,356.3698,LEADER,80.3544
17,-1.0,EOS.AX,Electro Optic Systems Holdings Limited,Electronic technology,Aerospace & defense,mid,8.9,100.0,-0.1276,0.2952,0.4541,STRONG_DOWN,16.8,635.54,363.54,-57.47,50.4,127.05,2.1117,HIGH,-,9.172,8.8994,6.2916,1,252.1139,LEADER,79.9809
18,-1.0,RMI.AX,Resource Minerals International Ltd,Non-energy minerals,Other metals/Minerals,small,0.03,96.74,0.0933,0.204,0.0714,FLAT,42.86,500.0,30.43,-58.62,26.59,47.78,2.9041,HIGH,-,0.0284,0.0277,0.0238,1,278.2545,LEADER,79.8332
19,4.0,FTI.AX,Fortifai Limited,Technology services,Packaged software,small,0.355,99.32,-0.0765,0.1545,0.5939,STRONG_DOWN,97.22,1280.57,44.06,-42.11,37.3,132.16,0.6353,LOW,-,0.4377,0.3417,0.2088,1,361.4202,LEADER,79.369
20,8.0,NSR.AX,National Storage REIT,Finance,Real estate investment trusts,mid,2.77,82.78,0.0159,0.0413,0.0886,STRONG_DOWN,18.45,35.49,25.53,-11.46,40.08,4.42,1.9226,HIGH,-,2.7695,2.7588,2.4744,1,321.7772,LEADER,76.991
21,3.0,TM1.AX,Terra Metals Limited,Non-energy minerals,Precious metals,small,0.29,99.43,-0.0065,-0.217,1.9,FLAT,141.67,1426.32,480.0,-46.49,41.27,176.41,0.2948,LOW,-,0.3585,0.3053,0.1544,1,333.6775,LEADER,76.6261
22,-1.0,BNZ.AX,Benz Mining Corp. Shs Chess Depository Interests Repr 1 sh,Non-energy minerals,Precious metals,mid,2.73,97.31,-0.032,-0.024,0.7613,STRONG_DOWN,64.95,557.83,1850.0,-28.53,49.21,89.37,1.4049,MED,-,2.9645,2.6096,1.5496,1,307.1599,LEADER,74.6606
23,6.0,KCN.AX,Kingsgate Consolidated Limited,Non-energy minerals,Precious metals,mid,6.38,94.33,0.0298,0.2112,0.3346,STRONG_DOWN,126.78,338.24,425.18,-30.0,55.56,63.44,1.0327,MED,-,6.4097,6.1381,4.0864,1,296.2283,LEADER,72.0408
24,-4.0,KLR.AX,Kaili Resources Limited,Non-energy minerals,Precious metals,small,0.125,99.58,0.0204,-0.0741,-0.1143,STRONG_UP,-56.9,1462.5,1150.0,-88.89,15.48,89.93,0.1916,LOW,-,0.1341,0.1485,0.1841,0,251.7458,LAGGARD,69.4112
25,0.0,SGQ.AX,St. George Mining Ltd.,Non-energy minerals,Other metals/Minerals,mid,0.135,98.02,0.0231,0.4429,0.5169,STRONG_DOWN,55.17,650.0,542.86,-48.48,38.89,89.62,0.516,LOW,-,0.1363,0.1178,0.0846,1,282.0632,LEADER,68.3153
26,,VMM.AX,Viridis Mining and Minerals Limited,Non-energy minerals,Precious metals,small,2.14,98.16,-0.0075,0.0976,1.1508,STRONG_DOWN,55.07,678.18,101.89,-58.06,48.41,115.17,0.0,LOW,-,2.1765,1.9466,1.3403,1,285.0637,LEADER,66.4063
27,-5.0,BCA.AX,Black Canyon Limited,Non-energy minerals,Other metals/Minerals,small,0.275,94.76,-0.1886,-0.1217,-0.2433,FLAT,-36.78,350.82,175.0,-43.88,36.9,51.31,1.0977,MED,-,0.3423,0.3656,0.344,0,252.2948,LAGGARD,62.9024
28,-2.0,EQR.AX,EQ Resources Limited,Non-energy minerals,Precious metals,mid,0.31,97.88,-0.0563,0.4407,3.7692,STRONG_DOWN,933.33,638.1,507.84,-42.86,44.05,127.37,1.4761,MED,-,0.2955,0.2144,0.0864,1,220.6807,LEADER,61.9446
29,1.0,MRD.AX,Mount Ridley Mines Limited,Non-energy minerals,Other metals/Minerals,small,0.0255,98.58,0.0033,-0.0849,-0.2572,STRONG_UP,750.0,750.0,750.0,-61.4,26.73,89.21,0.0284,LOW,-,0.0274,0.0308,0.0171,1,224.7226,LEADER,58.0171
30,2.0,MM1.AX,Midas Minerals Limited,Non-energy minerals,Precious metals,small,0.75,96.6,-0.0544,-0.0251,0.5625,STRONG_DOWN,85.19,455.56,837.5,-36.11,43.65,79.25,0.9481,LOW,-,0.8969,0.797,0.4812,1,250.9148,LEADER,55.4361
31,-4.0,SFM.AX,Santa Fe Minerals Ltd.,Non-energy minerals,Precious metals,small,0.345,98.44,0.0307,0.1544,0.15,FLAT,16.95,741.46,666.67,-40.58,28.97,91.1,0.4077,LOW,-,0.341,0.3149,0.2453,1,235.787,LEADER,55.348
32,,ALR.AX,Altair Minerals limited,Non-energy minerals,Other metals/Minerals,small,0.024,98.3,0.0588,0.0529,-0.0472,STRONG_UP,60.0,700.0,700.0,-33.33,25.4,76.43,0.7157,LOW,-,0.0242,0.0245,0.0165,1,232.6312,LEADER,54.191
33,0.0,G50.AX,G50 Corp Limited,Non-energy minerals,Precious metals,small,0.615,94.48,-0.1874,-0.2316,0.1284,FLAT,75.71,339.29,515.0,-40.0,44.05,84.85,3.1848,HIGH,-,0.862,0.7857,0.4852,1,176.1407,LEADER,52.7069
34,1.0,ELT.AX,Elementos Limited,Non-energy minerals,Other metals/Minerals,small,0.39,97.59,-0.0557,0.0326,0.4182,STRONG_DOWN,151.61,596.43,168.97,-31.65,40.87,105.78,0.5357,LOW,-,0.4155,0.3926,0.2509,1,230.4409,LEADER,51.448
35,5.0,EDU.AX,EDU Holdings Limited,Commercial services,Miscellaneous commercial services,small,0.665,100.0,0.0355,0.0439,-0.1301,FLAT,29.55,387.19,542.21,-35.05,42.86,74.15,0.2635,LOW,-,0.6836,0.7195,0.5781,1,223.8034,LEADER,51.0732
36,7.0,GNP.AX,GenusPlus Group Ltd.,Industrial services,Engineering & construction,mid,7.9,97.67,0.021,0.1913,0.2843,STRONG_DOWN,34.22,192.13,395.54,-17.73,51.59,42.35,0.7992,LOW,-,7.677,7.3032,5.8216,1,234.0451,LEADER,49.8292
