rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
35,5.0,EDU.AX,EDU Holdings Limited,Commercial services,Miscellaneous commercial services,small,0.665,100.0,0.0355,0.0439,-0.1301,FLAT,29.55,387.19,542.21,-35.05,42.86,74.15,0.2635,LOW,-,0.6836,0.7195,0.5781,1,223.8034,LEADER,51.0732
108,-1.0,QFE.AX,QuickFee Ltd.,Commercial services,Miscellaneous commercial services,small,0.073,94.34,0.0013,0.1467,0.1582,STRONG_DOWN,107.64,130.72,277.54,-53.33,29.37,45.86,1.0937,MED,-,0.0741,0.0706,0.0438,1,83.7141,LEADER,30.1122
174,,IS3.AX,I Synergy Group Ltd.,Commercial services,Advertising/Marketing services,small,0.009,98.11,0.3137,-0.0057,-0.386,STRONG_UP,-18.18,215.02,26.02,-80.0,19.84,123.69,0.8746,LOW,-,0.0081,0.0103,0.0113,0,34.4887,LAGGARD,24.2266
202,19.0,CCL.AX,Cuscal Limited,Commercial services,Miscellaneous commercial services,mid,3.95,83.02,0.0356,0.0953,0.1233,STRONG_DOWN,2.66,53.6,75.54,-16.61,49.6,34.09,1.1831,MED,-,4.0204,4.113,3.6938,1,77.9852,LEADER,22.9508
222,,ALQ.AX,ALS Ltd.,Commercial services,Miscellaneous commercial services,large,21.12,75.47,-0.0486,-0.0201,0.1297,STRONG_DOWN,9.45,37.39,69.58,-19.32,55.16,27.89,0.9898,LOW,-,23.9065,23.8118,20.627,1,73.9402,LEADER,22.2539
287,-42.0,CUP.AX,Count Limited,Commercial services,Miscellaneous commercial services,small,1.13,90.57,0.0552,0.2679,0.1691,FLAT,13.3,58.41,121.41,-13.66,40.87,30.07,0.5471,LOW,-,1.0794,1.0742,1.0113,1,79.3953,LEADER,19.8583
347,-7.0,ECT.AX,Environmental Clean Technologies Limited,Commercial services,Miscellaneous commercial services,small,0.099,96.23,-0.0305,-0.1137,-0.0981,FLAT,39.44,164.01,32.0,-50.0,24.21,109.13,0.4422,LOW,-,0.1123,0.1328,0.0997,0,36.3842,LAGGARD,18.0896
442,-129.0,BXN.AX,Bioxyne Limited,Commercial services,Miscellaneous commercial services,small,0.05,92.45,-0.0805,0.1814,0.3097,STRONG_DOWN,13.64,72.41,455.56,-43.1,34.92,74.69,0.3097,LOW,-,0.0536,0.046,0.0423,1,33.8558,LEADER,16.0911
446,-78.0,XYZ.AX,"Block, Inc. Shs Chess Depository Interests Repr 1 Sh",Commercial services,Miscellaneous commercial services,large,84.0,45.28,-0.0689,0.2865,0.0111,FLAT,-25.43,-8.79,-37.46,-45.27,50.79,74.07,0.2681,LOW,EARLY,84.201,87.7308,103.155,0,-6.0306,WEAK,16.0022
451,-60.0,CGS.AX,Cogstate Ltd,Commercial services,Miscellaneous commercial services,small,2.15,88.68,-0.022,0.0717,0.1242,STRONG_DOWN,8.04,55.3,82.7,-29.45,47.22,56.4,0.4623,LOW,-,2.2135,2.1944,2.084,1,46.2965,LEADER,15.8547
511,13.0,MXO.AX,Motio Limited,Commercial services,Advertising/Marketing services,small,0.043,81.13,-0.0775,-0.0457,-0.0634,FLAT,-23.21,53.57,65.38,-30.65,32.94,65.83,3.1696,HIGH,-,0.0501,0.0506,0.0512,0,26.8061,LAGGARD,15.0233
