rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
113,14.0,TLS.AX,Telstra Group Limited,Communications,Wireless telecommunications,large,5.25,77.78,0.0234,0.0837,0.1497,STRONG_DOWN,9.11,33.53,49.68,-7.45,49.21,13.41,1.1626,MED,-,5.1404,4.9044,4.7979,1,123.0386,LEADER,29.7695
279,10.0,FRX.AX,FlexiRoam Ltd,Communications,Wireless telecommunications,small,0.019,100.0,0.0556,-0.2011,0.1583,FLAT,137.5,280.0,11.76,-48.0,16.27,107.31,0.0184,LOW,-,0.0211,0.0226,0.0127,1,42.4527,LEADER,20.1359
664,-93.0,ABB.AX,Aussie Broadband Ltd.,Communications,Specialty telecommunications,mid,4.73,66.67,-0.0486,-0.067,-0.0311,FLAT,-11.98,21.82,,-28.57,42.06,40.58,0.4526,LOW,EARLY,4.9687,4.8145,4.9027,0,22.6147,LAGGARD,13.4417
677,-109.0,CNU.AX,Chorus Limited,Communications,Major telecommunications,mid,7.61,55.56,0.018,-0.0301,-0.0317,STRONG_UP,-7.18,13.18,19.73,-12.34,50.79,19.25,1.1376,MED,EARLY,7.708,7.8065,7.8582,0,34.7682,LAGGARD,13.3275
814,-103.0,HFY.AX,Hubify Ltd.,Communications,Specialty telecommunications,small,0.016,88.89,-0.0668,0.6014,1.0406,STRONG_DOWN,128.57,60.0,14.29,-41.67,12.3,360.02,1.8922,HIGH,-,0.014,0.0106,0.009,1,2.0499,LEADER,11.9733
910,-343.0,SPK.AX,Spark New Zealand Limited,Communications,Major telecommunications,mid,1.89,44.44,0.008,0.0286,-0.0243,FLAT,-10.0,9.2,-50.55,-21.6,45.63,16.7,0.8989,LOW,PROGRESS,1.886,1.9123,2.0511,0,25.1392,WEAK,11.1508
1357,-141.0,TUA.AX,Tuas Ltd.,Communications,Wireless telecommunications,mid,6.1,33.33,-0.0382,-0.0711,-0.1159,STRONG_UP,-18.45,-4.39,87.69,-27.88,40.87,28.0,0.3781,LOW,EARLY,6.2605,6.7104,6.6396,0,-6.406,WEAK,7.7765
1363,-203.0,TPG.AX,TPG Telecom Limited,Communications,Wireless telecommunications,large,3.98,11.11,0.0102,0.0642,0.0924,STRONG_DOWN,-17.1,-9.11,-3.62,-35.15,51.59,19.83,0.6368,LOW,SHIFT,3.9017,3.8452,4.5691,0,-23.7076,WEAK,7.6681
1637,-256.0,ITS.AX,Infotrust Ltd,Communications,Major telecommunications,small,0.45,0.0,-0.008,0.0479,-0.1503,FLAT,,-17.43,-17.43,-31.67,37.5,81.53,0.9714,LOW,-,0.4477,0.4972,,0,-8.0175,WEAK,4.0822
1669,,MAQ.AX,Macquarie Technology Group Limited,Communications,Specialty telecommunications,mid,63.2,22.22,-0.0668,-0.0286,0.0243,STRONG_DOWN,-1.56,-8.54,-19.35,-21.33,51.19,42.12,0.7267,LOW,EARLY,64.237,66.0158,65.5028,0,-10.377,WEAK,3.3712
