rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
62,-4.0,CDA.AX,Codan Limited,Consumer durables,Tools & hardware,large,34.06,92.86,-0.0233,0.114,0.3204,STRONG_DOWN,12.53,140.32,231.68,-26.32,55.95,52.88,0.3875,LOW,-,35.3137,35.7853,29.2966,1,148.4707,LEADER,38.8801
115,-21.0,AMS.AX,Atomos Ltd.,Consumer durables,Electronics/Appliances,small,0.02,100.0,-0.1642,-0.1411,-0.2288,FLAT,66.67,300.0,-69.23,-51.28,25.4,83.56,0.08,LOW,-,0.0256,0.0265,0.0175,1,91.192,LEADER,29.6536
379,-75.0,AMA.AX,AMA Group Limited,Consumer durables,Automotive aftermarket,small,0.62,78.57,0.015,-0.0611,-0.1435,STRONG_UP,-34.74,37.78,17.5,-45.0,38.1,39.4,0.2488,LOW,-,0.6588,0.7179,0.8689,0,36.5313,LAGGARD,17.4688
666,-54.0,AUA.AX,Audeara Ltd.,Consumer durables,Electronics/Appliances,small,0.07,85.71,-0.0053,0.0367,0.9053,STRONG_DOWN,204.35,79.49,55.56,-51.28,23.81,158.32,0.0,LOW,-,0.0734,0.0731,0.0405,1,11.9542,LEADER,13.4254
1070,-176.0,ATP.AX,Atlas Pearls Ltd,Consumer durables,Other consumer specialties,small,0.125,50.0,0.0803,-0.2347,-0.2606,STRONG_UP,-32.43,-3.81,-3.51,-45.24,34.13,100.39,0.0113,LOW,-,0.1445,0.1707,0.172,0,-1.2947,LAGGARD,10.0036
1113,-89.0,HIQ.AX,HitIQ Limited,Consumer durables,Recreational products,small,0.015,7.14,-0.1309,0.1157,-0.2367,FLAT,-28.57,-40.0,-40.0,-65.79,24.21,93.19,0.162,LOW,-,0.0154,0.0167,0.0188,0,-10.3917,WEAK,9.7241
1247,,VMT.AX,Vmoto Limited,Consumer durables,Motor vehicles,small,0.067,42.86,0.137,0.0462,0.0859,FLAT,13.56,-8.22,-52.14,-48.7,32.14,72.93,0.8247,LOW,-,0.0655,0.07,0.0715,0,-3.6222,WEAK,8.6952
1258,-295.0,LIC.AX,Lifestyle Communities Ltd,Consumer durables,Homebuilding,mid,5.28,14.29,0.1717,0.0552,0.1349,FLAT,-11.41,-39.03,-65.76,-52.08,45.24,49.77,1.4222,MED,PROGRESS,4.992,5.3914,5.4731,0,-35.4776,WEAK,8.6106
1284,-172.0,SHM.AX,Shriro Holdings Ltd.,Consumer durables,Home furnishings,small,0.79,71.43,0.0515,0.1285,0.1553,STRONG_DOWN,32.92,17.73,19.88,-13.89,33.33,23.0,0.3944,LOW,-,0.7803,0.7892,0.7209,1,25.6912,CONTENDER,8.3241
1386,-191.0,TWD.AX,Tamawood Limited,Consumer durables,Homebuilding,small,2.79,64.29,0.028,0.105,0.2122,STRONG_DOWN,11.74,12.59,14.49,-20.21,33.33,27.24,0.0324,LOW,-,2.8225,2.8082,2.6906,1,15.4009,CONTENDER,7.4625
1550,-292.0,GWA.AX,GWA Group Limited,Consumer durables,Home furnishings,mid,2.18,57.14,0.0033,0.0047,0.0655,STRONG_DOWN,-13.82,0.33,-10.98,-18.61,45.63,26.95,0.3813,LOW,EARLY,2.3336,2.4633,2.3907,0,0.5588,LAGGARD,5.6657
1563,-252.0,FWD.AX,Fleetwood Limited,Consumer durables,Homebuilding,small,1.695,28.57,-0.0843,-0.2472,-0.2242,FLAT,-41.15,-19.88,28.71,-44.97,46.43,54.79,,LOW,-,2.0721,2.3827,2.5423,0,-16.8446,WEAK,5.4731
1577,-192.0,KMD.AX,KMD Brands Limited,Consumer durables,Recreational products,small,0.17,0.0,-0.0694,-0.1008,-0.2102,STRONG_UP,-19.05,-48.48,-64.58,-50.0,29.76,49.35,2.2515,HIGH,-,0.2007,0.2189,0.2361,0,-29.2383,WEAK,5.2316
1598,-214.0,BRG.AX,Breville Group Limited,Consumer durables,Electronics/Appliances,mid,27.17,35.71,-0.0139,-0.0414,0.078,FLAT,-14.11,-13.28,-1.07,-25.63,50.0,32.91,1.6825,HIGH,EARLY,29.8582,30.6345,30.4696,0,-20.173,WEAK,4.747
1730,-220.0,AOV.AX,Amotiv Limited,Consumer durables,Motor vehicles,mid,6.65,21.43,0.002,-0.0884,-0.1629,STRONG_UP,-24.44,-25.85,-33.13,-30.49,46.03,25.17,0.9549,LOW,EARLY,7.349,7.9699,8.3735,0,-47.2713,WEAK,0.8804
