rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
291,-18.0,TR8.AX,Tarrina Resources Limited,Consumer services,Restaurants,small,0.019,100.0,-0.0197,-0.2526,-0.1402,FLAT,375.0,375.0,375.0,-38.71,12.3,97.77,0.8042,LOW,-,0.0239,0.0259,0.0157,1,47.177,LEADER,19.6204
307,,ASP.AX,Aspermont Limited,Consumer services,Publishing: books/magazines,small,0.008,0.0,-0.9657,-0.9037,-0.8664,STRONG_DOWN,-99.6,-99.2,-99.75,-99.68,7.54,242.57,58.9069,HIGH,-,1.8879,1.9452,1.8125,0,-3.0835,WEAK,19.2477
322,,KLS.AX,Kelsian Group Limited,Consumer services,Hotels/Resorts/Cruise lines,mid,3.91,89.8,-0.0275,0.0946,0.0592,FLAT,-21.01,40.43,-28.11,-26.3,46.03,35.23,0.5141,LOW,EARLY,4.2275,4.1436,4.2622,0,52.8213,LAGGARD,18.785
377,-7.0,BBL.AX,Brisbane Broncos Limited,Consumer services,Movies/Entertainment,small,1.68,97.96,0.064,0.0764,0.2603,STRONG_DOWN,45.53,75.38,71.09,-30.75,43.65,62.22,0.9391,LOW,-,1.6825,1.6649,1.3013,1,52.8855,LEADER,17.4819
393,-18.0,TAH.AX,Tabcorp Holdings Limited,Consumer services,Movies/Entertainment,mid,0.995,93.88,0.0409,0.2714,0.1902,FLAT,0.91,61.83,37.11,-21.66,41.27,56.47,0.6796,LOW,-,0.9767,0.9346,0.892,1,45.1898,LEADER,17.1662
487,28.0,CKF.AX,Collins Foods Limited,Consumer services,Restaurants,mid,10.06,73.47,0.0976,0.1058,0.1153,STRONG_DOWN,-3.64,20.96,3.59,-20.16,46.43,25.23,1.4031,MED,-,9.8095,10.3206,9.9338,1,38.5767,CONTENDER,15.2809
548,-135.0,MAD.AX,Mader Group Ltd,Consumer services,Other consumer services,mid,7.28,83.67,-0.0687,-0.0583,0.1205,STRONG_DOWN,-12.52,31.71,21.3,-24.82,51.19,43.42,0.4839,LOW,EARLY,8.1565,8.1262,7.8348,0,37.3818,LAGGARD,14.611
557,-11.0,SKT.AX,SKY Network Television Ltd,Consumer services,Cable/Satellite TV,small,2.7,87.76,0.0559,0.1488,0.0962,FLAT,1.05,36.68,28.6,-18.5,42.46,34.3,0.7413,LOW,-,2.6704,2.6983,2.6845,1,45.4068,LEADER,14.4971
625,-43.0,SGR.AX,Star Entertainment Group Limited,Consumer services,Casinos/Gaming,mid,0.12,63.27,-0.0097,0.1482,0.2927,STRONG_DOWN,9.09,9.09,-76.47,-45.33,25.79,81.76,0.2316,LOW,-,0.1222,0.1424,0.1173,1,2.8676,CONTENDER,13.709
678,,TLC.AX,Lottery Corporation Limited,Consumer services,Movies/Entertainment,large,5.37,69.39,0.0289,0.161,0.2061,STRONG_DOWN,-7.78,16.92,11.52,-16.08,45.24,21.98,0.5867,LOW,-,5.4142,5.2019,5.3283,1,34.8331,CONTENDER,13.3259
703,-254.0,SPZ.AX,Smart Parking Limited,Consumer services,Other consumer services,small,1.09,77.55,-0.03,-0.1401,-0.0452,FLAT,15.34,28.24,172.5,-23.94,46.83,40.21,,LOW,-,1.2032,1.2577,1.0859,1,32.8838,LEADER,13.0473
718,-130.0,XRG.AX,xReality Group Limited,Consumer services,Movies/Entertainment,small,0.047,81.63,0.0099,-0.0209,0.0899,FLAT,-25.4,30.56,67.86,-40.0,34.13,65.84,0.2965,LOW,-,0.0509,0.0497,0.0468,1,15.8393,LEADER,12.8376
738,-66.0,NXD.AX,NextEd Group Limited,Consumer services,Other consumer services,small,0.16,53.06,0.0005,-0.0188,-0.2672,STRONG_UP,-11.11,-5.88,-54.29,-60.98,31.75,81.92,0.0,LOW,-,0.1758,0.2217,0.224,0,-2.2798,LAGGARD,12.6857
809,-171.0,OLI.AX,Oliver's Real Food Ltd.,Consumer services,Restaurants,small,0.007,67.35,-0.0947,-0.0327,-0.2346,FLAT,-22.22,16.67,-65.0,-57.14,15.08,130.64,0.035,LOW,-,0.0078,0.0083,0.0084,0,1.9239,LAGGARD,12.0395
881,-123.0,VVA.AX,Viva Leisure Ltd.,Consumer services,Other consumer services,small,1.62,85.71,0.0126,0.0577,0.1407,STRONG_DOWN,-4.42,34.44,10.58,-25.41,42.86,55.62,0.1918,LOW,-,1.663,1.6075,1.5651,1,26.5389,LEADER,11.4033
897,-23.0,CEH.AX,Coast Entertainment Holdings Ltd,Consumer services,Movies/Entertainment,small,0.55,79.59,0.0129,0.0613,0.1975,STRONG_DOWN,30.95,29.41,12.24,-21.84,41.67,40.67,0.0576,LOW,-,0.5615,0.5493,0.459,1,30.1349,LEADER,11.269
