rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
241,-28.0,DBI.AX,Dalrymple Bay Infrastructure Ltd.,Distribution services,Wholesale distributors,mid,4.97,95.83,0.1034,0.0715,0.1693,FLAT,18.71,38.04,105.37,-15.87,50.79,25.28,0.6245,LOW,-,4.972,4.8957,4.4653,1,76.4167,LEADER,21.2589
324,-78.0,SGLLV.AX,Ricegrowers Ltd. Class B,Distribution services,Wholesale distributors,mid,12.61,87.5,0.0344,-0.0166,-0.1427,STRONG_UP,-12.49,30.96,112.78,-33.33,48.81,40.82,0.4004,LOW,EARLY,12.9825,14.7646,14.5427,0,37.0143,LAGGARD,18.6874
426,-49.0,AVM.AX,Advance Metals Limited,Distribution services,Wholesale distributors,small,0.09,100.0,-0.2503,-0.2539,-0.1173,FLAT,66.67,87.5,150.0,-52.5,38.1,131.35,0.3828,LOW,-,0.1222,0.1398,0.0922,0,25.3807,LAGGARD,16.4764
428,-23.0,IMD.AX,Imdex Ltd,Distribution services,Wholesale distributors,mid,3.93,91.67,-0.0434,0.1264,0.3125,STRONG_DOWN,17.45,35.08,83.57,-20.27,53.97,39.43,0.6701,LOW,-,4.1069,3.8898,3.362,1,48.0222,LEADER,16.379
455,-16.0,PFM.AX,Platformo Ltd,Distribution services,Electronics distributors,small,0.035,25.0,0.1705,0.0091,,STRONG_UP,,-39.13,-39.13,-77.65,30.61,278.07,1.0237,MED,-,0.0286,0.0422,,0,-4.3075,WEAK,15.8181
504,-107.0,RDX.AX,Redox Limited,Distribution services,Wholesale distributors,mid,3.15,79.17,0.0709,0.3097,0.2638,FLAT,15.58,18.14,25.78,-33.0,46.83,45.21,0.543,LOW,-,3.0377,3.0252,2.6255,1,18.7913,LEADER,15.1043
576,-12.0,MGH.AX,MAAS Group Holdings Ltd.,Distribution services,Wholesale distributors,mid,4.89,83.33,0.0078,0.2279,0.2094,FLAT,11.9,25.6,12.37,-29.78,48.02,68.3,0.4175,LOW,-,4.6655,4.975,4.5401,1,18.001,LEADER,14.2051
617,-82.0,REH.AX,Reece Limited,Distribution services,Wholesale distributors,large,14.08,58.33,-0.0343,0.1041,0.2393,STRONG_DOWN,33.95,-10.37,-48.37,-41.36,48.02,43.21,0.7502,LOW,-,15.035,14.5572,13.1194,1,-11.5204,CONTENDER,13.8107
780,,AX1.AX,Accent Group Ltd,Distribution services,Wholesale distributors,mid,0.9,16.67,-0.0229,0.1416,0.1227,FLAT,-31.58,-47.52,-51.35,-57.75,42.06,64.21,1.5062,HIGH,EARLY,0.9526,0.9197,1.1837,0,-31.1261,WEAK,12.2801
800,,EZZ.AX,EZZ Life Science Holdings Ltd.,Distribution services,Medical distributors,small,0.945,29.17,-0.066,-0.3679,-0.2549,FLAT,-57.27,-36.09,96.98,-71.3,43.25,86.06,2.1301,HIGH,-,1.2615,1.5797,2.0371,0,-18.1385,WEAK,12.1042
