rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
10,1.0,FDR.AX,Finder Energy Holdings Limited,Energy minerals,Integrated oil,small,0.55,100.0,-0.1667,-0.0592,0.5222,STRONG_DOWN,189.47,1022.45,801.64,-44.63,40.08,85.12,1.3413,MED,-,0.6003,0.4938,0.3206,1,481.4351,LEADER,111.7036
14,-1.0,D3E.AX,D3 Energy Limited,Energy minerals,Integrated oil,small,0.475,98.95,0.0106,0.3692,0.3276,FLAT,1.06,813.46,102.13,-55.08,39.29,105.47,4.6818,HIGH,-,0.397,0.3746,0.35,1,303.0331,LEADER,86.0732
94,-20.0,EXR.AX,Elixir Energy Limited,Energy minerals,Oil & gas production,small,0.092,95.79,0.1084,0.0621,0.4111,FLAT,113.95,228.57,27.78,-31.03,37.7,79.83,1.2522,MED,-,0.0859,0.0834,0.0525,1,107.9437,LEADER,32.0018
110,-22.0,MAH.AX,Macmahon Holdings Limited,Energy minerals,Coal,mid,0.63,90.53,-0.0526,-0.0684,0.0464,FLAT,49.82,143.57,233.38,-22.01,44.05,55.2,0.9879,LOW,-,0.7072,0.6941,0.495,1,114.567,LEADER,30.0076
126,-20.0,WHC.AX,Whitehaven Coal Limited,Energy minerals,Coal,large,8.69,77.89,-0.0023,0.0187,0.0749,STRONG_DOWN,30.95,50.92,44.56,-26.02,51.19,38.79,1.739,HIGH,-,8.3659,8.5773,7.1214,1,67.2033,LEADER,28.7343
134,-44.0,EMP.AX,Emperor Energy Ltd,Energy minerals,Oil & gas production,small,0.125,97.89,-0.1071,-0.0898,0.4214,STRONG_DOWN,135.85,267.65,733.33,-29.41,35.71,89.74,0.7051,LOW,-,0.1363,0.1206,0.0723,1,106.5041,LEADER,27.5115
156,-60.0,WDS.AX,Woodside Energy Group Ltd,Energy minerals,Oil & gas production,large,31.42,75.79,0.0329,0.2427,0.2664,STRONG_DOWN,31.29,45.62,21.39,-19.57,56.35,28.46,0.8041,LOW,-,29.0564,26.0061,24.2949,1,90.3248,LEADER,25.3393
179,3.0,YAL.AX,Yancoal Australia Ltd.,Energy minerals,Coal,large,7.57,74.74,0.0845,0.2416,0.4322,STRONG_DOWN,36.64,45.3,54.85,-27.68,52.78,52.7,1.6185,HIGH,-,6.602,6.063,5.7239,1,45.368,CONTENDER,24.0343
209,-85.0,JAL.AX,Jameson Resources Limited,Energy minerals,Coal,small,0.07,84.21,0.0,-0.0569,-0.1106,STRONG_UP,-33.33,89.19,218.18,-52.0,13.49,20.94,0.0,LOW,-,0.0702,0.0716,0.0801,0,57.4576,LAGGARD,22.5606
212,-26.0,VSR.AX,Voltaic Strategic Resources Limited,Energy minerals,Integrated oil,small,0.042,96.84,-0.16,-0.2916,0.3508,FLAT,100.0,236.0,110.0,-37.5,30.56,108.98,0.2575,LOW,-,0.0512,0.0523,0.0324,1,66.1787,LEADER,22.4299
213,16.0,XST.AX,Xstate Resources Limited,Energy minerals,Integrated oil,small,0.02,88.42,-0.0476,-0.1067,0.0619,FLAT,-4.76,122.22,25.0,-69.64,15.48,74.46,1.4704,MED,-,0.0203,0.0201,0.0194,1,25.4096,LEADER,22.422
247,90.0,BTM.AX,Breakthrough Minerals Limited,Energy minerals,Coal,small,0.185,91.58,-0.0976,-0.1133,0.1841,FLAT,37.04,153.42,11.45,-36.17,31.35,96.98,1.4846,MED,-,0.2184,0.2012,0.16,1,49.5964,LEADER,20.9121
251,-60.0,STO.AX,Santos Limited,Energy minerals,Oil & gas production,large,7.71,64.21,0.0447,0.1731,0.2129,STRONG_DOWN,2.95,27.85,15.53,-24.97,52.38,31.11,1.197,MED,-,7.1699,6.7043,6.8032,1,46.8957,CONTENDER,20.7866
276,,MCM.AX,MC Mining Ltd,Energy minerals,Coal,small,0.255,92.63,-0.25,0.1257,0.1368,STRONG_DOWN,88.89,168.42,75.86,-29.63,21.43,74.28,8.0024,HIGH,-,0.2647,0.2383,0.1737,1,48.59,LEADER,20.223
345,-92.0,BAS.AX,Bass Oil Ltd,Energy minerals,Oil & gas production,small,0.068,69.47,-0.0556,0.4392,0.1872,FLAT,161.54,33.33,51.11,-61.11,33.73,118.82,2.112,HIGH,-,0.0651,0.0556,0.0383,1,9.4625,CONTENDER,18.122
352,-198.0,NHC.AX,New Hope Corporation Limited,Energy minerals,Coal,mid,4.96,70.53,-0.0178,0.0499,0.1846,STRONG_DOWN,22.48,33.83,31.72,-14.87,51.98,34.18,2.4932,HIGH,-,4.9545,4.6832,4.1845,1,51.4531,CONTENDER,17.9491
357,-119.0,OMA.AX,Omega Oil & Gas Limited,Energy minerals,Oil & gas production,small,0.585,81.05,0.0174,0.1283,0.4903,STRONG_DOWN,30.0,60.27,303.45,-54.55,38.1,68.97,0.3537,LOW,-,0.575,0.4978,0.3961,1,33.2962,LEADER,17.8311
