rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
15,4.0,AFA.AX,ASF Group Limited,Finance,Financial conglomerates,small,0.064,100.0,0.1157,-0.0193,0.3764,FLAT,814.29,2033.33,39.13,-88.57,14.68,96.9,0.1324,LOW,-,0.0608,0.0651,0.0446,1,308.0427,LEADER,81.5424
20,8.0,NSR.AX,National Storage REIT,Finance,Real estate investment trusts,mid,2.77,82.78,0.0159,0.0413,0.0886,STRONG_DOWN,18.45,35.49,25.53,-11.46,40.08,4.42,1.9226,HIGH,-,2.7695,2.7588,2.4744,1,321.7772,LEADER,76.991
93,18.0,WBC.AX,Westpac Banking Corporation,Finance,Major banks,large,41.49,86.75,0.0235,0.0597,0.1372,STRONG_DOWN,9.47,43.59,74.18,-8.56,56.35,18.73,1.0525,MED,-,41.557,40.0734,37.3054,1,131.1483,LEADER,32.1265
95,-12.0,APZ.AX,Aspen Group Limited,Finance,Real estate investment trusts,mid,5.23,98.01,-0.0232,0.0337,0.0325,FLAT,25.47,98.09,216.07,-18.96,50.4,38.02,0.478,LOW,-,5.7365,5.5596,4.7661,1,130.0341,LEADER,31.9963
122,14.0,NAB.AX,National Australia Bank Limited,Finance,Major banks,large,47.46,90.07,0.015,0.088,0.195,STRONG_DOWN,11.49,52.08,52.51,-9.0,55.16,22.06,0.7157,LOW,-,47.5755,44.865,41.7308,1,130.2344,LEADER,28.9874
132,15.0,CGF.AX,Challenger Limited,Finance,Life/Health insurance,large,7.95,87.42,0.0583,0.0249,-0.0446,STRONG_UP,-7.7,45.91,29.52,-21.49,52.78,36.78,1.5445,HIGH,EARLY,8.2826,8.6675,8.4565,0,65.8777,LAGGARD,27.7545
147,2.0,OKJ.AX,Oakajee Corporation Ltd,Finance,Financial conglomerates,small,0.064,99.34,-0.0606,0.0735,0.137,STRONG_DOWN,72.97,357.14,236.84,-36.21,16.27,64.68,0.0,LOW,-,0.0645,0.07,0.0499,1,89.8379,LEADER,25.9089
165,4.0,C79.AX,Chrysos Corp. Ltd.,Finance,Finance/Rental/Leasing,mid,7.81,96.03,-0.1438,0.0555,0.1243,STRONG_DOWN,9.69,79.95,19.24,-24.24,50.4,46.47,0.8061,LOW,-,9.0185,8.1482,7.1523,1,86.7157,LEADER,24.6236
192,-24.0,SOL.AX,Washington H. Soul Pattinson and Company Limited,Finance,Financial conglomerates,large,39.15,71.52,0.0313,0.0911,0.1832,STRONG_DOWN,-5.21,22.38,17.61,-21.07,55.95,15.59,0.8703,LOW,-,37.97,37.959,39.0486,1,80.3009,CONTENDER,23.4608
193,27.0,HMY.AX,Harmoney Corp Ltd,Finance,Finance/Rental/Leasing,small,0.815,96.69,-0.0237,0.0795,-0.008,FLAT,-5.78,81.11,53.77,-29.86,42.86,51.01,1.4989,MED,-,0.8448,0.8507,0.788,1,68.1518,LEADER,23.2892
214,-58.0,CWP.AX,Cedar Woods Properties Limited,Finance,Real estate development,mid,8.05,92.72,-0.0052,0.0577,0.0641,STRONG_DOWN,9.0,61.75,87.28,-18.05,47.22,34.47,0.4721,LOW,-,8.3855,8.2266,7.7899,1,84.5958,LEADER,22.417
230,32.0,L1G.AX,L1 Group Limited,Finance,Investment managers,mid,1.18,95.36,-0.0365,0.0288,0.1929,STRONG_DOWN,,72.46,72.46,-13.91,46.02,41.82,1.3343,MED,-,1.2121,1.1685,,0,79.7346,LAGGARD,21.7772
231,132.0,PXA.AX,PEXA Group Limited,Finance,Real estate development,mid,15.33,79.47,0.0155,0.0963,0.1622,STRONG_DOWN,-7.26,30.8,21.67,-22.46,51.98,29.69,1.6354,HIGH,-,14.9985,14.2804,14.5998,1,53.9269,LEADER,21.7314
236,6.0,RYD.AX,Ryder Capital Ltd.,Finance,Financial conglomerates,small,1.94,93.38,0.0071,0.0113,0.1239,STRONG_DOWN,23.91,62.54,110.37,-9.43,40.08,25.87,0.1638,LOW,-,1.986,1.9939,1.6608,1,96.8876,LEADER,21.4039
243,11.0,LSX.AX,Lion Selection Group Ltd.,Finance,Investment managers,small,0.91,92.05,-0.0782,-0.0505,0.0436,STRONG_DOWN,1.11,57.89,130.01,-19.79,48.02,40.77,1.5582,HIGH,-,0.9985,1.0186,0.927,0,68.1819,LAGGARD,21.0618
245,-12.0,ANZ.AX,ANZ Group Holdings Limited,Finance,Major banks,large,37.53,83.44,0.0004,-0.007,0.1059,FLAT,16.6,36.67,44.47,-10.62,57.54,26.95,0.6822,LOW,-,38.615,37.692,34.0286,1,78.297,LEADER,20.9685
250,-36.0,PPM.AX,Pepper Money Ltd,Finance,Finance/Rental/Leasing,mid,1.795,90.73,-0.1655,-0.166,-0.0967,FLAT,-13.12,52.12,38.46,-30.52,50.79,73.0,4.037,HIGH,EARLY,2.193,2.0725,1.9953,0,36.2596,LAGGARD,20.8328
258,19.0,CBA.AX,Commonwealth Bank of Australia,Finance,Major banks,large,176.12,76.16,0.0322,0.0438,0.2212,STRONG_DOWN,6.14,25.68,60.68,-21.9,56.35,24.28,0.8409,LOW,-,174.889,162.9905,165.514,1,59.5993,LEADER,20.5824
267,65.0,EZL.AX,Euroz Hartleys Group Limited,Finance,Investment banks/Brokers,small,1.22,94.7,-0.0497,0.0095,0.2609,STRONG_DOWN,29.6,70.34,90.67,-17.36,44.84,44.02,1.0133,MED,-,1.323,1.2682,1.0153,1,71.6459,LEADER,20.4249
275,-18.0,HGH.AX,Heartland Group Holdings Ltd.,Finance,Major banks,mid,1.035,89.4,-0.0024,0.0403,0.1616,STRONG_DOWN,24.45,50.04,2.76,-10.2,38.1,29.36,1.6469,HIGH,-,1.0383,1.0291,0.8801,1,64.9314,LEADER,20.257
288,-5.0,ZIP.AX,Zip Co Ltd.,Finance,Finance/Rental/Leasing,mid,1.54,14.57,-0.0876,-0.3704,-0.4259,STRONG_UP,-65.39,-18.52,12.41,-67.98,46.83,99.4,1.3818,MED,EARLY,1.7703,2.4395,3.2524,0,-8.7246,WEAK,19.8347
340,112.0,VCX.AX,Vicinity Centres,Finance,Real estate investment trusts,large,2.39,68.87,0.0605,-0.0073,0.0309,FLAT,-1.62,19.41,27.19,-12.92,46.83,19.08,2.3242,HIGH,PROGRESS,2.3892,2.4413,2.442,0,47.6489,LAGGARD,18.2832
374,-52.0,CHC.AX,Charter Hall Group,Finance,Real estate investment trusts,large,19.5,68.21,-0.0127,-0.1052,-0.1469,STRONG_UP,-13.87,18.73,56.45,-25.81,49.21,29.58,0.5854,LOW,EARLY,20.9555,22.5256,22.0598,0,31.1517,LAGGARD,17.537
405,-80.0,ASK.AX,Abacus Storage King,Finance,Real estate investment trusts,mid,1.42,78.81,0.0158,-0.0502,0.0083,FLAT,1.34,28.03,28.72,-14.6,42.86,19.6,0.6827,LOW,EARLY,1.4567,1.5077,1.4653,0,61.2942,LAGGARD,16.8802
421,-59.0,RFF.AX,Rural Funds Group,Finance,Real estate investment trusts,mid,2.1,76.82,0.0123,0.0809,0.1252,STRONG_DOWN,9.52,25.94,14.65,-5.18,43.65,17.44,1.1709,MED,-,2.101,2.0571,1.9109,1,64.9207,LEADER,16.6148
427,37.0,HLI.AX,Helia Group Limited,Finance,Specialty insurance,mid,4.65,66.89,0.0342,0.0135,0.0171,FLAT,-5.65,17.96,92.6,-27.22,54.76,45.49,1.8373,HIGH,-,4.9201,4.8527,4.6411,1,21.6167,CONTENDER,16.4412
437,-130.0,FSA.AX,FSA Group Limited,Finance,Finance/Rental/Leasing,small,1.19,91.39,0.0081,-0.0038,0.027,FLAT,13.39,52.53,45.03,-11.48,32.94,28.06,0.031,LOW,-,1.2002,1.2128,1.0847,1,61.6622,LEADER,16.1962
459,,PPC.AX,Peet Limited,Finance,Real estate development,mid,1.93,86.09,0.0149,0.0797,0.0928,STRONG_DOWN,13.61,42.41,75.52,-14.02,44.05,33.98,0.5776,LOW,-,2.0062,1.9547,1.7738,1,54.978,LEADER,15.7802
460,,MMS.AX,Mcmillan Shakespeare Limited,Finance,Finance/Rental/Leasing,mid,13.8,61.59,-0.0494,-0.1145,-0.055,FLAT,-14.19,13.15,-16.16,-24.25,50.79,25.31,1.5248,HIGH,EARLY,15.1777,15.9617,16.0246,0,26.3804,LAGGARD,15.7777
467,-50.0,RG1.AX,Regal Partners Global Investments Limited,Finance,Investment managers,small,2.19,78.15,-0.0061,-0.0165,0.1401,FLAT,24.12,26.2,34.43,-22.83,50.0,26.89,0.5066,LOW,-,2.253,2.3065,1.9282,1,48.7246,LEADER,15.7309
478,22.0,SCG.AX,Scentre Group,Finance,Real estate investment trusts,large,3.62,64.24,0.0349,-0.0028,-0.0459,STRONG_UP,-9.44,15.56,21.33,-15.59,47.22,18.01,,LOW,EARLY,3.69,3.8593,3.8548,0,40.8067,LAGGARD,15.4949
501,-141.0,NGI.AX,Navigator Global Investments Ltd,Finance,Investment managers,mid,2.06,65.56,-0.0726,-0.2715,-0.2262,FLAT,0.49,15.68,32.25,-36.62,50.0,39.54,0.236,LOW,EARLY,2.4685,2.833,2.371,0,19.829,LAGGARD,15.1432
508,-58.0,EHL.AX,Emeco Holdings Limited,Finance,Finance/Rental/Leasing,mid,1.205,84.11,-0.0753,-0.1089,-0.0107,FLAT,0.84,37.71,82.58,-17.05,44.05,39.93,0.5641,LOW,-,1.313,1.3128,1.1379,1,41.6057,LEADER,15.0387
516,-512.0,TWR.AX,Tower Limited,Finance,Property/Casualty insurance,mid,1.535,69.54,0.0322,0.0252,0.0227,STRONG_UP,5.86,19.91,2555.14,-16.5,44.84,21.66,0.0264,LOW,-,1.5322,1.598,1.486,1,41.2226,CONTENDER,14.952
527,26.0,SRV.AX,Servcorp Limited,Finance,Real estate development,mid,6.81,81.46,0.0332,0.0077,0.0504,FLAT,-4.02,33.54,101.96,-19.64,44.44,40.4,0.6768,LOW,-,7.1431,7.1453,6.6304,1,36.8978,LEADER,14.8314
542,-219.0,BFL.AX,BSP Financial Group Ltd.,Finance,Major banks,mid,8.06,64.9,-0.0004,0.0285,0.1113,STRONG_DOWN,8.4,15.63,66.72,-22.59,47.22,17.99,0.6554,LOW,-,8.288,8.2506,7.7609,1,41.0363,CONTENDER,14.6853
543,-112.0,CQR.AX,Charter Hall Retail REIT,Finance,Real estate investment trusts,mid,3.93,72.85,0.0225,0.0287,0.0683,STRONG_DOWN,-3.73,23.05,27.71,-9.23,51.98,19.23,0.91,LOW,EARLY,3.9605,3.9756,3.9614,0,62.3156,LAGGARD,14.671
544,-156.0,WAG.AX,Australian Wealth Advisors Group Ltd.,Finance,Investment managers,small,0.635,97.35,0.0123,0.0655,0.1558,STRONG_DOWN,42.7,86.76,104.84,-12.5,15.87,24.3,0.0,LOW,-,0.6315,0.609,0.5056,1,56.6648,LEADER,14.6571
550,147.0,IFL.AX,Insignia Financial Ltd,Finance,Investment managers,mid,4.67,45.7,0.0275,0.0587,0.0967,STRONG_DOWN,3.55,4.71,94.58,-26.34,42.46,7.98,1.6405,HIGH,-,4.6595,4.6442,4.4206,1,25.0531,LAGGARD,14.5971
570,70.0,BOL.AX,Boom Logistics Ltd,Finance,Finance/Rental/Leasing,small,1.7,73.51,-0.0463,0.081,0.1038,STRONG_DOWN,34.39,23.23,27.79,-20.26,41.67,26.02,2.6228,HIGH,-,1.803,1.7004,1.4855,1,37.198,CONTENDER,14.2686
572,-73.0,QAL.AX,Qualitas Limited,Finance,Investment managers,mid,2.6,56.95,-0.0107,-0.1587,-0.2136,STRONG_UP,-24.43,11.87,3.26,-33.75,49.21,38.58,0.9107,LOW,EARLY,2.9193,3.1548,3.3974,0,15.139,LAGGARD,14.2482
573,-77.0,GPT.AX,GPT Group,Finance,Real estate investment trusts,large,4.64,58.94,0.0058,-0.038,-0.0624,STRONG_UP,-10.86,11.99,18.57,-18.18,50.0,20.56,0.587,LOW,EARLY,4.846,5.116,5.1751,0,29.1479,LAGGARD,14.2455
594,-198.0,BWP.AX,BWP Trust,Finance,Real estate investment trusts,mid,3.78,67.55,0.007,0.036,0.0552,STRONG_DOWN,5.47,17.96,17.13,-7.59,48.41,14.56,,LOW,-,3.81,3.8068,3.6678,1,59.7198,CONTENDER,14.0651
601,-148.0,MYS.AX,Mystate Limited,Finance,Regional banks,mid,4.31,74.17,0.0076,-0.0116,0.0421,FLAT,7.85,24.19,41.53,-12.45,48.02,25.02,0.6725,LOW,-,4.4498,4.4564,4.2759,1,46.4174,CONTENDER,14.0209
