rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
232,36.0,PME.AX,"Pro Medicus, Ltd.",Health services,Services to the health industry,large,128.11,11.11,-0.0365,0.0986,-0.2952,FLAT,-56.44,-44.81,29.65,-67.24,45.63,78.85,1.2902,MED,PROGRESS,125.9271,157.8206,251.7234,0,-25.9294,WEAK,21.7094
329,91.0,DOC.AX,Doctor Care Anywhere Group PLC Shs Chess Depository Interests Repr 1 sh,Health services,Medical/Nursing services,small,0.14,100.0,-0.0075,-0.0811,0.3459,FLAT,-28.21,77.22,115.38,-42.86,34.92,96.01,2.4256,HIGH,-,0.1636,0.1553,0.143,0,28.0841,LAGGARD,18.5316
520,-163.0,RHC.AX,Ramsay Health Care Limited,Health services,Hospital/Nursing management,large,40.99,94.44,0.0008,0.1963,0.3499,STRONG_DOWN,23.28,19.58,-21.19,-21.37,44.44,31.01,0.99,LOW,-,40.8514,37.9689,35.4373,1,28.0585,LEADER,14.9141
728,-220.0,BDX.AX,BCAL Diagnostics Limited,Health services,Medical/Nursing services,small,0.094,66.67,-0.1557,-0.1463,0.1192,STRONG_DOWN,44.62,-5.05,4.44,-54.78,33.33,70.18,2.3597,HIGH,-,0.1157,0.1184,0.0867,1,-2.3986,CONTENDER,12.7851
946,-100.0,REG.AX,Regis Healthcare Ltd.,Health services,Medical/Nursing services,mid,6.19,77.78,-0.0464,0.0589,0.0184,FLAT,-30.76,-0.96,68.12,-34.71,50.0,31.17,0.6787,LOW,EARLY,6.5985,6.6062,7.2037,0,-1.5382,LAGGARD,10.9414
1054,-140.0,PIQ.AX,Proteomics International Laboratories Ltd.,Health services,Medical/Nursing services,small,0.32,27.78,-0.0178,-0.1195,-0.1783,STRONG_UP,10.34,-36.0,-66.14,-62.5,33.73,96.92,0.2066,LOW,-,0.339,0.4926,0.4104,0,-12.5287,WEAK,10.1188
1248,-365.0,OCA.AX,Oceania Healthcare Ltd.,Health services,Medical/Nursing services,small,0.615,88.89,0.0079,-0.0013,-0.0514,STRONG_UP,2.5,12.84,7.89,-25.0,24.6,39.9,0.0,LOW,-,0.66,0.7011,0.661,0,7.9189,LAGGARD,8.6931
1262,-151.0,GLH.AX,Global Health Limited,Health services,Medical/Nursing services,small,0.067,5.56,0.017,-0.0118,-0.0921,STRONG_UP,-48.46,-50.37,-36.19,-62.22,19.44,55.32,0.0,LOW,-,0.07,0.075,0.0871,0,-17.7007,WEAK,8.5572
1314,-173.0,IDX.AX,Integral Diagnostics Ltd,Health services,Medical/Nursing services,mid,2.33,83.33,0.019,0.0548,0.1394,STRONG_DOWN,-17.41,1.47,14.12,-24.88,42.46,30.85,0.9291,LOW,EARLY,2.3606,2.4549,2.5382,0,2.0212,LAGGARD,8.0688
1382,-165.0,MAP.AX,Microba Life Sciences Limited,Health services,Medical/Nursing services,small,0.08,0.0,0.0073,-0.06,0.2603,FLAT,-4.76,-60.0,-57.89,-68.89,32.54,77.27,0.3896,LOW,-,0.0829,0.086,0.0864,0,-25.2672,WEAK,7.479
