rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
11,3.0,LDX.AX,Lumos Diagnostics Holdings Ltd.,Health technology,Medical specialties,small,0.28,100.0,-0.0375,0.0738,0.208,STRONG_DOWN,64.71,1172.73,311.76,-39.06,40.08,106.66,0.3631,LOW,-,0.2782,0.2666,0.1747,1,440.6798,LEADER,92.7357
41,4.0,SPL.AX,Starpharma Holdings Limited,Health technology,Pharmaceuticals: major,small,0.465,98.21,0.1796,0.077,0.4612,FLAT,272.0,379.38,272.0,-28.09,40.87,96.19,2.0583,HIGH,-,0.4373,0.4099,0.2675,1,161.1947,LEADER,47.0221
42,,NYR.AX,"Nyrada, Inc. Shs Chess Depository Interests Repr 1 Shs",Health technology,Pharmaceuticals: major,small,0.53,99.11,-0.0091,-0.1785,-0.2235,STRONG_UP,96.3,430.0,360.87,-64.13,42.46,109.32,0.9973,LOW,-,0.5834,0.7986,0.5353,0,167.0124,LAGGARD,46.2198
80,-5.0,CLV.AX,Clover Corporation Limited,Health technology,Pharmaceuticals: other,small,0.785,94.64,0.0852,0.1277,0.1326,STRONG_DOWN,43.49,127.71,-0.13,-25.31,43.65,35.96,0.5554,LOW,-,0.7607,0.7716,0.6612,1,155.0248,LEADER,35.0164
146,-8.0,ILA.AX,Island Pharmaceuticals Ltd,Health technology,Pharmaceuticals: major,small,0.4,95.54,-0.1392,0.2041,0.0116,FLAT,12.68,135.29,566.67,-45.83,39.29,66.82,0.4559,LOW,-,0.4038,0.4119,0.3431,1,79.5526,LEADER,26.0293
177,-62.0,RAC.AX,Racura Oncology Ltd,Health technology,Pharmaceuticals: major,small,2.16,87.5,-0.0403,0.1037,-0.007,FLAT,-16.28,80.0,27.81,-54.26,47.22,56.3,0.8831,LOW,-,2.3135,2.4528,2.3096,0,67.0977,LAGGARD,24.1324
190,5.0,HCT.AX,Holista Colltech Limited,Health technology,Biotechnology,small,0.065,92.86,0.0455,-0.0505,-0.1285,STRONG_UP,-35.0,116.67,550.0,-43.64,28.97,48.95,0.501,LOW,-,0.0697,0.0778,0.0827,0,69.0466,LAGGARD,23.5358
200,-22.0,ZNO.AX,Zoono Group Limited,Health technology,Pharmaceuticals: major,small,0.054,90.18,0.0273,-0.0765,-0.1672,STRONG_UP,58.82,92.86,3.85,-67.1,32.54,78.41,0.3508,LOW,-,0.0582,0.0661,0.0519,1,38.5355,LEADER,23.0648
219,40.0,TTX.AX,Tetratherix Limited,Health technology,Medical specialties,small,5.6,88.39,0.465,0.5516,0.823,STRONG_DOWN,26.13,85.43,85.43,-39.25,41.76,65.11,3.5499,HIGH,-,4.0537,3.7971,,0,54.7931,LAGGARD,22.3693
261,6.0,CU6.AX,Clarity Pharmaceuticals Ltd.,Health technology,Medical specialties,mid,3.4,71.43,-0.0969,0.058,0.2553,STRONG_DOWN,-1.73,21.0,23.64,-52.11,48.81,100.55,2.3183,HIGH,EARLY,3.556,3.4124,3.5654,0,10.1923,LAGGARD,20.5394
268,-3.0,NSB.AX,Neuroscientific Biopharmaceuticals Ltd.,Health technology,Biotechnology,small,0.091,93.75,-0.0174,-0.1034,-0.0042,FLAT,-49.44,121.95,93.62,-64.8,32.54,112.84,0.6744,LOW,-,0.1023,0.1226,0.1367,0,35.1674,LAGGARD,20.4135
277,29.0,PYC.AX,PYC Therapeutics Limited,Health technology,Pharmaceuticals: major,mid,1.365,70.54,-0.0425,0.0244,0.0465,STRONG_DOWN,11.89,18.18,-23.74,-41.38,41.77,33.38,6.2794,HIGH,-,1.4745,1.5571,1.3539,1,22.7518,CONTENDER,20.2021
309,6.0,VBS.AX,Vectus Biosystems Limited,Health technology,Pharmaceuticals: major,small,0.15,91.07,0.2455,0.076,0.4557,FLAT,150.0,97.37,-46.43,-77.27,18.25,144.09,0.185,LOW,-,0.1347,0.138,0.1063,1,12.3324,LEADER,19.1825
320,-23.0,1AI.AX,Algorae Pharmaceuticals Limited,Health technology,Pharmaceuticals: other,small,0.015,97.32,-0.018,-0.0614,0.1514,FLAT,87.5,150.0,50.0,-45.83,27.43,103.53,0.4416,LOW,-,0.016,0.0179,0.011,1,39.7421,LEADER,18.8416
332,,IMR.AX,"Imricor Medical Systems, Inc. Shs Chess Depository Interests Repr 1 Sh",Health technology,Medical specialties,mid,1.89,77.68,-0.0199,0.0347,0.4241,STRONG_DOWN,34.52,34.04,281.82,-32.68,44.05,62.28,1.648,HIGH,-,2.034,1.952,1.5647,1,24.0779,LEADER,18.4248
356,-27.0,ATX.AX,Amplia Therapeutics Ltd.,Health technology,Biotechnology,small,0.1125,83.93,-0.018,0.0458,-0.0174,FLAT,-29.69,52.03,46.1,-69.01,32.14,87.32,0.1653,LOW,-,0.1181,0.131,0.159,0,19.1497,LAGGARD,17.856
387,,NC6.AX,Nanollose Ltd,Health technology,Biotechnology,small,0.071,86.61,0.0896,0.1083,0.8419,STRONG_DOWN,14.52,65.12,173.08,-55.29,40.48,91.61,0.7575,LOW,-,0.0698,0.0671,0.0624,1,28.7731,LEADER,17.2891
395,-6.0,AT1.AX,Atomo Diagnostics Ltd.,Health technology,Medical specialties,small,0.038,91.96,0.0725,0.0351,0.1784,FLAT,90.0,111.11,40.74,-36.36,29.76,80.71,0.0968,LOW,-,0.0385,0.0385,0.0273,1,40.9697,LEADER,17.1425
403,-53.0,RHY.AX,Rhythm Biosciences Limited,Health technology,Medical specialties,small,0.21,96.43,-0.0222,0.1083,1.3619,STRONG_DOWN,128.26,135.96,121.05,-43.33,39.68,148.71,0.5895,LOW,-,0.2048,0.1842,0.109,1,36.2766,LEADER,16.9115
444,-18.0,CMB.AX,Cambium Bio Ltd,Health technology,Biotechnology,small,0.48,78.57,0.0777,-0.0947,0.1211,FLAT,128.57,37.14,20.0,-45.71,26.63,57.28,2.7759,HIGH,-,0.5322,0.508,,0,17.2681,LAGGARD,16.0401
447,-20.0,CC5.AX,Clever Culture Systems Limited,Health technology,Medical specialties,small,0.025,89.29,0.007,-0.0326,0.0442,FLAT,-28.57,92.31,0.0,-32.43,28.17,58.92,0.3055,LOW,-,0.0264,0.0278,0.0282,0,44.1329,LAGGARD,15.9744
529,,PTX.AX,Prescient Therapeutics Limited,Health technology,Biotechnology,small,0.058,76.79,0.0455,0.0437,-0.2271,STRONG_UP,34.88,31.82,9.43,-47.62,38.1,84.0,0.434,LOW,-,0.0617,0.0708,0.0567,1,14.4318,LEADER,14.809
531,-41.0,IMM.AX,Immutep Ltd,Health technology,Biotechnology,small,0.051,1.79,-0.8264,-0.7622,-0.7129,STRONG_DOWN,-79.18,-82.71,-86.03,-90.22,38.89,201.12,6.95,HIGH,-,0.3371,0.3824,0.303,0,-15.9938,WEAK,14.783
558,,AVR.AX,Anteris Technologies Global Corp.,Health technology,Medical specialties,mid,8.49,42.86,0.0037,0.1682,0.3192,STRONG_DOWN,3.66,-20.8,-58.81,-58.96,39.68,94.1,0.3054,LOW,-,8.6065,8.22,6.8924,1,-8.7719,LAGGARD,14.494
619,,AVE.AX,Avecho Biotechnology Limited,Health technology,Pharmaceuticals: major,small,0.01,81.25,-0.0464,0.2194,0.1514,FLAT,42.86,42.86,233.33,-50.0,28.57,111.6,0.8661,LOW,-,0.01,0.0098,0.0071,1,10.9716,LEADER,13.7488
623,81.0,IBX.AX,Imagion Biosystems Ltd.,Health technology,Medical specialties,small,0.02,69.64,-0.0032,-0.0614,0.1038,FLAT,-48.72,17.65,-75.31,-61.22,29.76,83.82,0.2864,LOW,-,0.0216,0.0243,0.0225,0,6.2655,LAGGARD,13.7323
629,120.0,TLX.AX,Telix Pharmaceuticals Limited,Health technology,Biotechnology,mid,11.7,14.29,0.1328,0.4318,0.0398,FLAT,-15.95,-56.91,-6.4,-70.57,44.44,67.62,1.1145,MED,SHIFT,10.179,10.4044,15.8135,0,-37.3988,WEAK,13.6938
650,-204.0,BP8.AX,BPH Global Limited,Health technology,Pharmaceuticals: other,small,0.002,37.5,0.0455,0.1083,0.1514,STRONG_DOWN,0.0,-33.33,-60.0,-80.0,11.44,394.6,0.0208,LOW,-,0.0022,0.0019,0.0022,0,-0.9664,WEAK,13.534
655,-58.0,ADR.AX,Adherium Ltd.,Health technology,Medical specialties,small,0.0025,2.68,0.0455,-0.3947,-0.2257,FLAT,-50.0,-77.27,-94.19,-83.33,17.65,256.13,0.2468,LOW,-,0.0028,0.0046,,0,-5.3247,WEAK,13.5199
668,0.0,PEB.AX,Pacific Edge Limited,Health technology,Biotechnology,small,0.16,85.71,0.0455,-0.0526,0.3366,FLAT,-3.03,60.0,100.0,-44.0,25.79,107.4,0.012,LOW,-,0.18,0.1742,0.1401,1,14.4078,LEADER,13.4043
673,-262.0,CHM.AX,Chimeric Therapeutics Limited,Health technology,Biotechnology,small,0.002,8.93,0.0455,0.1083,-0.3507,FLAT,-33.33,-65.0,-92.86,-81.25,17.86,230.98,0.0228,LOW,-,0.002,0.0021,0.0032,0,-5.0258,WEAK,13.3578
676,-58.0,OSX.AX,Osteopore Ltd.,Health technology,Medical specialties,small,0.007,6.25,-0.0805,-0.1169,0.1514,FLAT,-36.36,-69.57,-89.39,-82.35,23.41,263.64,0.1119,LOW,-,0.008,0.0101,0.0105,0,-6.1771,WEAK,13.3339
679,229.0,ANR.AX,Anatara Lifesciences Ltd,Health technology,Pharmaceuticals: major,small,0.009,75.89,-0.0555,0.0083,-0.1007,FLAT,-35.71,28.57,-76.92,-47.06,17.46,111.38,2.0014,HIGH,-,0.0103,0.0116,0.0109,0,4.4789,LAGGARD,13.3259
683,,NEU.AX,Neuren Pharmaceuticals Limited,Health technology,Pharmaceuticals: generic,mid,11.4,57.14,-0.0472,-0.0041,-0.2595,FLAT,-41.96,-7.32,-44.39,-48.13,49.6,56.68,0.8162,LOW,EARLY,12.493,14.8972,17.2346,0,-6.4031,LAGGARD,13.2911
704,-48.0,MEM.AX,Memphasys Ltd,Health technology,Biotechnology,small,0.006,52.68,0.0455,0.1083,1.1514,STRONG_DOWN,33.33,-14.29,-50.0,-70.0,18.65,215.88,0.6194,LOW,-,0.0061,0.0062,0.0047,1,-1.2342,CONTENDER,12.9925
705,128.0,COH.AX,Cochlear Limited,Health technology,Medical specialties,large,173.7,34.82,-0.0085,-0.0254,-0.1942,STRONG_UP,-40.9,-34.3,-46.27,-45.42,49.6,43.0,1.827,HIGH,EARLY,188.265,229.9046,273.2289,0,-39.562,WEAK,12.9919
719,-82.0,BOT.AX,Botanix Pharmaceuticals Limited,Health technology,Pharmaceuticals: major,small,0.047,0.0,-0.0852,-0.1826,-0.4591,STRONG_UP,-63.85,-88.54,-74.59,-90.11,32.94,103.04,1.092,MED,-,0.0553,0.0948,0.1475,0,-28.3035,WEAK,12.8366
724,-33.0,1AD.AX,AdAlta Ltd.,Health technology,Biotechnology,small,0.004,29.46,0.0455,0.1083,0.4847,STRONG_DOWN,14.29,-40.47,-80.16,-76.19,18.25,238.02,0.0186,LOW,-,0.0042,0.0048,0.0034,1,-3.1028,LAGGARD,12.8045
791,-152.0,ACW.AX,Actinogen Medical Limited,Health technology,Pharmaceuticals: other,small,0.037,64.29,-0.0068,-0.0241,-0.2128,STRONG_UP,15.62,8.82,19.35,-48.65,39.29,62.29,0.17,LOW,-,0.0405,0.0458,0.0375,0,5.5655,LAGGARD,12.2014
